Chromosome Arm	AC_WGS_10	AC_WGS_11	AC_WGS_12	AC_WGS_13T	AC_WGS_15	AC_WGS_17	AC_WGS_18T	AC_WGS_1T	AC_WGS_20T	AC_WGS_22	AC_WGS_23	AC_WGS_24	AC_WGS_25	AC_WGS_26	AC_WGS_27	AC_WGS_2T	AC_WGS_30	AC_WGS_31	AC_WGS_32	AC_WGS_33	AC_WGS_34	AC_WGS_35	AC_WGS_36	AC_WGS_37	AC_WGS_39	AC_WGS_4	AC_WGS_40	AC_WGS_41	AC_WGS_42	AC_WGS_43	AC_WGS_44	AC_WGS_45	AC_WGS_46	AC_WGS_49	AC_WGS_5	AC_WGS_50	AC_WGS_51	AC_WGS_52	AC_WGS_53	AC_WGS_6	AC_WGS_9T	PGENE_10T	PGENE_1T	PGENE_2T	PGENE_4T	PGENE_5T	PGENE_6T	PGENE_8T	PGENE_9T	RC596TH1	RC597TH1	RC598TH1	RC599TH1	RC602TH1	RC603TH1
1p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.197	0.000	0.000	0.120	0.000	0.171	-0.670	0.000	0.000	0.000	0.150	0.559	0.000	1.042	-0.123	1.580	0.000	0.000	0.658	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.276	0.982	0.000	0.477	0.000	0.139	1.431	0.000	0.000	0.000	0.000	0.000	-0.273	0.000	0.000	0.000	0.647	0.000	-0.252
1q	0.000	0.956	0.000	0.000	0.000	0.000	0.000	1.859	0.000	0.880	0.466	0.000	0.120	0.125	0.171	0.495	0.000	0.000	0.000	0.000	0.559	0.000	0.000	-0.123	1.580	0.000	0.000	0.658	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.559	0.276	0.982	0.000	0.477	0.000	0.139	1.431	0.000	0.000	0.000	0.000	0.000	-0.273	0.000	0.000	0.000	0.647	0.000	0.004
2p	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.217	0.154	0.000	0.155	0.000	-0.123	0.000	-0.228	0.000	0.108	-0.103	0.604	0.000	-0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.330	0.421	0.000	0.000	0.000	0.000	-0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.418	0.000	0.000	0.101	0.692	0.706	-0.242
2q	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.000	0.155	0.000	-0.123	0.000	-0.228	0.000	0.108	-0.103	0.604	0.000	-0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.330	0.421	0.000	0.000	0.000	0.000	-0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.418	0.000	0.000	0.101	0.692	0.000	-0.242
3p	0.797	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.409	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.105	-0.602	0.000	0.553	0.252	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.113	-0.150	0.000	0.000	0.573	0.000	0.428	0.000	0.000	-0.973	-0.696	0.000	0.000	0.000	0.000	0.000	-0.927	0.286	0.000	1.388
3q	0.797	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.409	0.119	0.000	-1.293	0.000	0.000	0.000	0.000	0.000	0.000	0.105	-0.602	0.000	0.553	0.252	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.113	-0.150	0.000	0.000	0.573	0.000	0.428	0.000	0.000	-0.973	-0.696	0.000	0.000	0.000	0.000	0.000	-0.927	0.286	0.000	1.388
4p	0.000	0.000	0.000	0.000	-0.629	3.657	0.000	0.000	0.000	0.921	0.000	0.000	0.000	0.000	0.201	0.663	0.000	0.000	0.740	-0.144	0.444	0.000	0.000	0.000	0.683	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.382	0.142	0.000	0.162	0.559	-0.249	0.000	0.607	0.000	0.000	0.000	0.000	0.000	-0.373	-0.939	0.000	0.000	0.000	0.000	0.179
4q	0.000	0.000	0.000	0.000	-0.629	3.657	0.000	0.000	0.000	0.921	0.000	0.000	0.000	0.000	0.201	0.663	0.000	0.000	0.740	-0.144	-0.107	0.000	0.000	0.000	0.683	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.382	0.142	0.000	0.162	0.000	-0.249	0.000	0.607	0.000	0.000	0.000	0.000	0.000	-0.373	-0.939	0.000	0.000	0.000	0.000	0.000
5p	3.657	0.000	0.000	0.000	0.000	0.000	0.000	0.998	0.000	0.361	-0.312	0.000	0.138	0.000	0.258	0.000	0.000	0.000	0.295	0.000	0.588	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.243	0.449	-0.878	0.266	0.000	0.000	0.493	0.000	0.000	-0.987	0.000	-0.128	0.000	-0.336	0.000	0.106	0.000	0.000	0.000	0.409
5q	3.657	0.000	0.000	0.000	0.000	0.000	0.000	0.998	0.000	0.361	-0.312	0.000	0.138	0.000	0.258	0.000	0.000	0.000	0.000	0.000	0.588	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.243	0.449	-0.878	0.266	3.657	0.000	0.493	0.000	0.000	0.000	0.000	-0.128	0.000	-0.336	0.000	0.106	0.000	0.000	0.000	0.409
