# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
AC_WGS_10	-1.132000	3.757000
AC_WGS_11	-1.393000	1.863000
AC_WGS_12	-1.054000	1.157000
AC_WGS_13T	-1.041000	2.109000
AC_WGS_15	-0.729000	1.744000
AC_WGS_17	-0.991000	3.757000
AC_WGS_18T	-0.602000	0.100000
AC_WGS_1T	-0.296000	3.757000
AC_WGS_20T	-0.546000	0.250000
AC_WGS_22	-0.934000	2.519000
AC_WGS_23	-0.771000	1.562000
AC_WGS_24	-0.100000	0.207000
AC_WGS_25	-1.393000	1.792000
AC_WGS_26	-0.738000	1.692000
AC_WGS_27	-0.893000	1.311000
AC_WGS_2T	-1.393000	1.325000
AC_WGS_30	-1.081000	3.757000
AC_WGS_31	-0.100000	0.100000
AC_WGS_32	-0.714000	1.218000
AC_WGS_33	-1.393000	1.344000
AC_WGS_34	-1.161000	3.757000
AC_WGS_35	-0.780000	0.519000
AC_WGS_36	-1.086000	1.663000
AC_WGS_37	-0.761000	0.564000
AC_WGS_39	-1.393000	2.061000
AC_WGS_4	-1.393000	0.411000
AC_WGS_40	-1.393000	0.100000
AC_WGS_41	-0.731000	3.757000
AC_WGS_42	-0.466000	0.100000
AC_WGS_43	-0.586000	0.259000
AC_WGS_44	-0.100000	0.100000
AC_WGS_45	-0.100000	0.100000
AC_WGS_46	-1.393000	0.100000
AC_WGS_49	-1.097000	0.100000
AC_WGS_5	-1.352000	1.992000
AC_WGS_50	-1.393000	1.222000
AC_WGS_51	-0.882000	0.630000
AC_WGS_52	-1.032000	1.082000
AC_WGS_53	-1.393000	0.366000
AC_WGS_6	-1.063000	3.757000
AC_WGS_9T	-1.053000	0.524000
PGENE_10T	-0.762000	1.754000
PGENE_1T	-0.743000	1.970000
PGENE_2T	-0.100000	0.100000
PGENE_4T	-1.087000	0.100000
PGENE_5T	-1.100000	1.174000
PGENE_6T	-0.948000	1.067000
PGENE_8T	-1.084000	3.757000
PGENE_9T	-1.158000	1.228000
RC596TH1	-1.111000	0.720000
RC597TH1	-0.767000	1.000000
RC598TH1	-1.027000	0.201000
RC599TH1	-1.393000	0.792000
RC602TH1	-1.393000	3.757000
RC603TH1	-0.750000	1.488000
