sample	segment_count	included
AC_WGS_10	141	yes
AC_WGS_11	175	yes
AC_WGS_12	136	yes
AC_WGS_13T	329	yes
AC_WGS_15	191	yes
AC_WGS_17	317	yes
AC_WGS_18T	422	yes
AC_WGS_1T	158	yes
AC_WGS_20T	361	yes
AC_WGS_22	656	yes
AC_WGS_23	218	yes
AC_WGS_24	56	yes
AC_WGS_25	627	yes
AC_WGS_26	134	yes
AC_WGS_27	977	yes
AC_WGS_2T	965	yes
AC_WGS_30	159	yes
AC_WGS_31	39	yes
AC_WGS_32	440	yes
AC_WGS_33	298	yes
AC_WGS_34	269	yes
AC_WGS_35	793	yes
AC_WGS_36	839	yes
AC_WGS_37	519	yes
AC_WGS_39	295	yes
AC_WGS_4	1401	yes
AC_WGS_40	957	yes
AC_WGS_41	535	yes
AC_WGS_42	179	yes
AC_WGS_43	94	yes
AC_WGS_44	39	yes
AC_WGS_45	37	yes
AC_WGS_46	891	yes
AC_WGS_49	82	yes
AC_WGS_5	240	yes
AC_WGS_50	212	yes
AC_WGS_51	864	yes
AC_WGS_52	204	yes
AC_WGS_53	1034	yes
AC_WGS_6	636	yes
AC_WGS_9T	184	yes
PGENE_10T	219	yes
PGENE_1T	228	yes
PGENE_2T	55	yes
PGENE_4T	239	yes
PGENE_5T	160	yes
PGENE_6T	148	yes
PGENE_8T	239	yes
PGENE_9T	139	yes
RC596TH1	108	yes
RC597TH1	193	yes
RC598TH1	210	yes
RC599TH1	243	yes
RC602TH1	157	yes
RC603TH1	396	yes
