gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
NRAS	600650	472	11	75978	19602	0	14	0	0	50	2	3189942	1.407430e-12	2.654694e-08
POLR3GL	NaN	NaN	NaN	88344	22626	0	3	0	0	50	6	6036282	3.157416e-05	2.977759e-01
NUDCD2	226025	696	12	62262	16794	0	2	0	0	50	3	2802978	7.021095e-04	1
BRAF	305191	616	25	299592	84510	0	6	0	0	50	0	3597372	1.141128e-03	1
HNRNPF	368953	270	7	158760	44064	0	2	0	0	50	1	3753108	1.772352e-03	1
DNAJC1	197451	608	2	217620	59238	0	3	0	0	50	2	3280284	5.791425e-03	1
RPA3	218130	434	16	49356	12204	0	1	0	0	50	0	3122766	1.708639e-02	1
STK24	513130	468	59	180954	48438	0	2	0	0	50	0	2523690	1.951367e-02	1
C5orf23	477035	487	-15	46386	12906	0	1	0	0	50	3	3445524	1.997569e-02	1
CCDC76	293698	518	8	192780	48600	0	2	0	0	50	2	3302100	2.087120e-02	1
CUZD1	301441	588	12	237114	63558	0	3	0	0	50	0	2925396	2.163542e-02	1
ACOXL	NaN	NaN	NaN	229986	63396	0	2	0	0	50	6	6077052	2.225909e-02	1
BANF2	594840	432	1	39852	9720	0	1	0	0	50	3	2677212	2.280994e-02	1
CMTM6	436595	592	31	70362	21006	0	1	0	0	50	1	3765474	2.362732e-02	1
ATP8A1	189404	856	28	477792	124362	0	2	0	0	50	1	3449196	2.643355e-02	1
COL10A1	NaN	NaN	NaN	243432	88830	0	4	0	0	50	6	6102486	2.656268e-02	1
SMG7	716427	385	25	493830	134568	0	3	0	0	50	2	4414554	2.716176e-02	1
TMEM44	370452	255	34	192564	50760	0	2	0	0	50	1	2874258	2.745678e-02	1
POLR2F	1370748	203	50	51462	13338	0	1	0	0	50	2	2788236	2.799169e-02	1
COMMD10	312789	981	8	81540	21330	0	1	0	0	50	0	3094416	2.965902e-02	1
FUNDC1	91432	NaN	20	62046	16362	0	1	0	0	50	4	3640734	2.993902e-02	1
SYS1	1005559	233	36	59454	18792	0	2	0	0	50	1	2661876	3.052200e-02	1
NKPD1	1230654	243	41	305964	100818	0	3	0	0	50	3	3732912	3.208128e-02	1
MMP26	97256	1024	-11	104652	26244	0	2	0	0	50	1	3841398	3.501686e-02	1
EIF3J	667670	534	30	105840	24570	0	1	0	0	50	0	3510000	3.502880e-02	1
SCAMP5	840042	199	44	94176	24408	0	1	0	0	50	0	3120984	3.532640e-02	1
RAN	214809	440	-6	87102	22248	0	1	0	0	50	1	3147282	3.620357e-02	1
MED6	243988	706	29	100386	24516	0	1	0	0	50	0	3098574	3.689609e-02	1
OR51L1	97256	1024	-11	116370	36882	0	1	0	0	50	1	3841398	3.914002e-02	1
PSD3	129089	682	-9	413100	111618	0	2	0	0	50	1	4486698	4.001457e-02	1
CENPH	422005	232	38	103356	22680	0	1	0	0	50	0	2890674	4.164484e-02	1
FGFR2	204200	386	-9	354402	96282	0	2	0	0	50	0	3317274	4.223788e-02	1
RAB2A	234041	512	24	86778	21276	0	2	0	0	50	2	3073680	4.270940e-02	1
KRAS	259193	512	16	92556	22302	0	2	0	0	50	2	3112560	4.348744e-02	1
SYCE2	1886809	335	40	91152	22734	0	1	0	0	50	1	2759184	4.487994e-02	1
CACNB1	1426821	212	31	263790	78192	0	4	0	0	50	1	2981826	4.548747e-02	1
CXCR6	NaN	NaN	NaN	130626	36720	0	1	0	0	50	6	6050376	4.549858e-02	1
GRM7	4936	1156	-6	361206	102276	0	3	0	0	50	1	3889296	4.558481e-02	1
MYOZ3	1107515	211	54	97254	28944	0	1	0	0	50	3	3954528	4.603012e-02	1
FAM92B	553233	273	36	120258	32508	0	1	0	0	50	0	3134538	4.629720e-02	1
PHOSPHO1	763613	346	27	114858	36450	0	1	0	0	50	0	3482460	4.684110e-02	1
FTSJ1	726793	NaN	2	131814	36666	0	1	0	0	50	0	3424356	4.788121e-02	1
FKBP11	1737773	214	55	84888	25758	0	1	0	0	50	2	2817234	4.805103e-02	1
BCAT1	252342	905	2	159084	43740	0	1	0	0	50	0	3855438	4.899853e-02	1
TOMM6	NaN	NaN	NaN	29106	8640	0	1	0	0	50	6	6022296	4.973747e-02	1
KIT	92734	649	0	387126	100980	0	3	0	0	50	0	3207762	4.987516e-02	1
FITM2	813168	376	10	99522	29592	0	1	0	0	50	0	2433132	5.064630e-02	1
RRAD	942986	142	34	116208	37206	0	2	0	0	50	0	3267594	5.080773e-02	1
MS4A6A	336539	784	-2	103302	25650	0	1	0	0	50	3	3356046	5.127667e-02	1
SULT1E1	9735	1009	4	120906	27000	0	1	0	0	50	2	3445794	5.238453e-02	1
GKAP1	468451	384	5	149958	35532	0	1	0	0	50	0	3320082	5.240250e-02	1
CDK2	2080397	229	31	114858	34344	0	1	0	0	50	1	3078000	5.294115e-02	1
GFRA3	1219794	273	43	154494	44928	0	1	0	0	50	1	4252554	5.367265e-02	1
DEAF1	1774224	236	57	216378	65826	0	2	0	0	50	2	2710260	5.386005e-02	1
TSPAN4	1799017	232	51	93258	27432	0	1	0	0	50	2	2846178	5.463765e-02	1
ELANE	2168802	198	28	99738	33750	0	2	0	0	50	2	3424896	5.542739e-02	1
DLST	884998	232	41	177714	52326	0	1	0	0	50	0	3986820	5.558384e-02	1
