GENE_ID	MUTS	MUTS_RECURRENCE	SAMPLES	P_VALUE	Q_VALUE	P_VALUE_NEG	Q_VALUE_NEG	SNP	MNP	INDELS	SYMBOL
gc19_pc.cds::gencode::CDH2::ENSG00000170558.4	1	1	1	0.00135		0.99876		1	0	0	gc19_pc.cds::gencode::CDH2::ENSG00000170558.4
gc19_pc.cds::gencode::HIVEP1::ENSG00000095951.12	1	1	1	0.00173		0.99904		1	0	0	gc19_pc.cds::gencode::HIVEP1::ENSG00000095951.12
gc19_pc.cds::gencode::GPR150::ENSG00000178015.4	1	1	1	0.0021		0.99803		1	0	0	gc19_pc.cds::gencode::GPR150::ENSG00000178015.4
gc19_pc.cds::gencode::ELFN2::ENSG00000166897.10	2	2	1	0.00307		0.99693		2	0	0	gc19_pc.cds::gencode::ELFN2::ENSG00000166897.10
gc19_pc.cds::gencode::NRAS::ENSG00000213281.4	14	5	14	0.00377	0.50302625	0.99623	0.99623	14	0	0	gc19_pc.cds::gencode::NRAS::ENSG00000213281.4
gc19_pc.cds::gencode::NXNL1::ENSG00000171773.2	1	1	1	0.00457		0.99698		1	0	0	gc19_pc.cds::gencode::NXNL1::ENSG00000171773.2
gc19_pc.cds::gencode::CMTM6::ENSG00000091317.7	1	1	1	0.00496		0.99577		1	0	0	gc19_pc.cds::gencode::CMTM6::ENSG00000091317.7
gc19_pc.cds::gencode::NOTCH2::ENSG00000134250.13	1	1	1	0.00571		0.9944		1	0	0	gc19_pc.cds::gencode::NOTCH2::ENSG00000134250.13
gc19_pc.cds::gencode::PIK3CG::ENSG00000105851.6	2	2	2	0.0083	0.50302625	0.9917	0.99623	2	0	0	gc19_pc.cds::gencode::PIK3CG::ENSG00000105851.6
gc19_pc.cds::gencode::GRIA1::ENSG00000155511.13	1	1	1	0.00899		0.99145		1	0	0	gc19_pc.cds::gencode::GRIA1::ENSG00000155511.13
gc19_pc.cds::gencode::SLC24A1::ENSG00000074621.9	1	1	1	0.00902		0.99313		1	0	0	gc19_pc.cds::gencode::SLC24A1::ENSG00000074621.9
