Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
PGENE_1T	1	0	0	0	0	8	1	0	0	0
PGENE_2T	1	0	0	0	0	0	0	0	0	0
PGENE_4T	106	3	0	0	0	0	0	0	0	9
PGENE_5T	0	0	3	0	0	0	1	0	0	0
PGENE_8T	5	1	0	0	0	6	0	0	0	11
PGENE_9T	1	0	0	1	4	0	0	0	0	0
PGENE_10T	0	0	0	0	0	0	5	0	0	0
AC_WGS_1T	0	0	0	0	0	0	0	0	5	0
AC_WGS_2T	14	16	193	0	0	0	3	0	1	4
AC_WGS_4	14	0	0	0	0	0	2	2	0	2
AC_WGS_5	0	214	1	0	0	0	0	0	0	0
AC_WGS_6	6	2	0	2	12	0	4	2	0	2
AC_WGS_9T	0	0	0	0	5	0	4	5	0	0
AC_WGS_10	5	0	0	0	10	0	3	0	0	2
AC_WGS_44	0	0	0	1	0	0	0	0	0	0
AC_WGS_12	3	0	0	0	0	0	0	0	5	0
AC_WGS_13T	0	0	0	4	3	0	4	0	0	0
AC_WGS_15	1	0	0	0	0	2	0	0	0	0
AC_WGS_17	3	0	0	0	9	0	2	0	4	0
AC_WGS_22	1	0	0	0	0	0	0	0	3	0
AC_WGS_23	31	0	0	0	0	0	19	3	4	0
AC_WGS_25	2	0	0	0	0	0	0	6	1	0
AC_WGS_26	1	0	0	1	0	0	0	0	0	0
AC_WGS_27	1	0	0	0	0	0	1	0	0	7
AC_WGS_30	0	0	0	9	0	0	0	0	0	0
AC_WGS_32	2	0	0	0	0	0	0	24	0	1
AC_WGS_33	139	0	0	109	0	0	0	0	0	0
AC_WGS_34	2	0	0	2	3	0	14	3	0	0
AC_WGS_35	1	0	0	0	0	0	0	0	0	0
AC_WGS_36	2	0	0	1	1	0	0	2	0	7
AC_WGS_39	0	0	0	0	0	0	0	1	4	4
AC_WGS_41	7	0	0	12	0	0	9	9	2	0
AC_WGS_49	2	0	0	0	0	0	5	0	2	0
AC_WGS_50	0	7	21	0	14	12	0	5	0	0
AC_WGS_51	6	0	1	0	2	0	0	6	0	0
AC_WGS_52	8	0	0	0	6	0	0	0	1	4
AC_WGS_53	3	0	0	0	0	3	0	0	0	0
AC_WGS_11	1	0	1	0	0	0	0	3	7	0
AC_WGS_37	2	0	0	0	2	0	0	2	0	0
RC596TH1	1	0	0	0	0	2	0	0	7	0
RC597TH1	0	0	0	0	0	6	0	0	0	0
RC598TH1	2	0	0	0	0	4	0	0	0	0
RC599TH1	1	0	0	4	0	0	0	0	0	4
RC602TH1	8	0	2	0	0	0	0	2	5	2
RC603TH1	232	4	0	0	38	54	1	0	14	2
