Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
PGENE_1T	1.01E-01	1.06E-02	6.45E-02	0.00E+00	4.62E-02	7.47E-02	1.02E-01	5.76E-02	8.94E-02	8.97E-02
PGENE_2T	1.00E-03	0.00E+00	1.00E-03	0.00E+00	2.64E-03	1.00E-03	1.41E-03	1.00E-03	1.00E-03	0.00E+00
PGENE_4T	1.33E-01	3.00E-03	1.74E-01	5.82E-02	4.57E-01	1.43E-01	2.75E-01	3.07E-01	1.68E-01	6.66E-02
PGENE_5T	3.52E-02	5.09E-02	1.93E-02	1.37E-02	0.00E+00	2.25E-02	2.14E-02	2.30E-02	2.25E-02	2.21E-02
PGENE_8T	7.30E-02	2.03E-02	9.57E-02	3.22E-02	8.81E-02	8.63E-02	1.19E-01	2.00E-01	9.50E-02	6.92E-02
PGENE_9T	4.67E-02	2.72E-02	4.48E-02	9.35E-03	3.01E-02	4.82E-02	4.04E-02	2.10E-02	7.09E-02	2.53E-02
PGENE_10T	6.28E-02	2.79E-02	2.58E-02	0.00E+00	0.00E+00	2.04E-02	2.48E-02	2.23E-02	2.20E-02	4.32E-02
AC_WGS_1T	3.77E-02	6.84E-03	3.11E-02	0.00E+00	0.00E+00	4.06E-02	2.82E-02	2.91E-02	2.35E-02	6.34E-02
AC_WGS_2T	3.21E-01	1.06E+00	3.38E-01	5.71E-01	3.94E-01	5.38E-02	1.94E-01	1.39E-01	5.46E-02	6.05E-02
AC_WGS_4	6.04E-02	4.04E-02	6.36E-02	3.00E-03	9.04E-02	3.52E-02	6.87E-02	7.26E-02	2.47E-02	3.54E-02
AC_WGS_5	4.00E-03	0.00E+00	1.30E-02	3.39E-02	6.51E-03	2.92E-02	0.00E+00	2.00E-03	0.00E+00	8.24E-03
AC_WGS_6	1.63E-01	5.49E-02	1.93E-01	4.76E-02	9.07E-02	1.66E-01	2.11E-01	1.73E-01	2.55E-01	8.58E-02
AC_WGS_9T	1.36E-01	7.05E-02	1.25E-01	5.47E-03	0.00E+00	5.61E-02	6.39E-02	5.11E-02	1.45E-01	4.13E-02
AC_WGS_10	1.50E-01	3.62E-02	9.24E-02	1.73E-03	7.50E-02	9.11E-02	1.16E-01	1.46E-01	1.70E-01	8.56E-02
AC_WGS_44	7.74E-03	3.58E-03	8.58E-03	0.00E+00	0.00E+00	1.46E-02	1.15E-02	9.05E-03	1.30E-02	8.13E-03
AC_WGS_12	1.45E-02	1.26E-02	2.27E-02	1.30E-02	5.05E-02	2.28E-02	2.33E-02	2.12E-02	2.44E-02	6.21E-02
AC_WGS_13T	1.15E-01	6.65E-02	9.52E-02	7.12E-03	0.00E+00	1.09E-01	7.35E-02	6.20E-02	1.14E-01	6.16E-02
AC_WGS_15	9.74E-03	3.00E-03	1.00E-02	0.00E+00	2.72E-02	1.32E-02	1.88E-02	1.97E-02	1.68E-02	1.47E-02
AC_WGS_17	1.28E-01	2.38E-02	5.74E-02	3.00E-03	6.39E-02	5.50E-02	8.18E-02	5.53E-02	1.44E-01	1.23E-01
AC_WGS_22	3.21E-02	1.18E-02	2.68E-02	0.00E+00	2.64E-02	1.72E-02	1.76E-02	2.42E-02	1.12E-02	4.41E-02
AC_WGS_23	2.80E-01	4.23E-02	1.54E-01	0.00E+00	1.74E-01	9.60E-02	1.51E-01	8.18E-02	1.13E-01	1.87E-01
AC_WGS_25	2.10E-02	3.89E-02	8.81E-02	0.00E+00	4.59E-02	6.49E-02	6.51E-02	4.19E-02	2.55E-02	6.70E-02
AC_WGS_26	1.77E-02	2.82E-03	1.69E-02	0.00E+00	2.29E-02	1.92E-02	1.35E-02	3.15E-03	1.30E-02	9.57E-03
AC_WGS_27	4.23E-02	1.74E-02	2.79E-02	0.00E+00	4.17E-02	1.64E-02	3.16E-02	7.89E-02	4.26E-02	2.19E-02
AC_WGS_30	8.68E-02	1.34E-02	1.08E-01	0.00E+00	0.00E+00	9.99E-02	9.06E-02	7.74E-02	1.01E-01	6.88E-02
AC_WGS_32	1.13E-01	7.60E-02	3.30E-01	0.00E+00	4.45E-02	1.78E-01	1.25E-01	1.67E-01	1.71E-01	1.69E-01
AC_WGS_33	1.51E-02	0.00E+00	3.85E-01	0.00E+00	1.92E+00	1.61E+00	3.35E+00	5.08E-02	1.38E-01	1.03E-01
AC_WGS_34	2.64E-01	1.26E-01	1.77E-01	0.00E+00	4.64E-02	1.19E-01	1.38E-01	1.05E-01	1.63E-01	8.51E-02
AC_WGS_35	1.00E-03	0.00E+00	1.00E-03	0.00E+00	2.64E-03	1.00E-03	1.41E-03	1.00E-03	1.00E-03	0.00E+00
AC_WGS_36	3.86E-02	2.55E-02	7.56E-02	1.17E-02	4.48E-02	6.94E-02	8.54E-02	1.21E-01	7.52E-02	6.68E-02
AC_WGS_39	2.22E-02	2.48E-02	7.04E-02	1.01E-02	0.00E+00	2.85E-02	3.82E-02	8.85E-02	3.64E-02	9.74E-02
AC_WGS_41	3.16E-01	1.09E-01	3.07E-01	0.00E+00	1.31E-01	2.58E-01	2.71E-01	1.23E-01	1.36E-01	1.80E-01
AC_WGS_49	8.81E-02	2.66E-02	3.91E-02	0.00E+00	4.24E-02	3.25E-02	4.33E-02	3.24E-02	3.40E-02	7.53E-02
AC_WGS_50	1.85E-01	3.75E-01	4.65E-01	1.56E-01	7.55E-02	3.61E-01	4.15E-01	1.38E-01	5.05E-01	1.39E-01
AC_WGS_51	4.36E-02	7.43E-02	9.93E-02	2.07E-02	7.17E-02	6.03E-02	7.46E-02	3.23E-02	9.03E-02	4.02E-02
AC_WGS_52	2.42E-02	4.24E-03	5.31E-02	0.00E+00	1.06E-01	8.05E-02	1.21E-01	1.06E-01	1.07E-01	6.38E-02
AC_WGS_53	3.46E-02	6.66E-03	2.75E-02	6.84E-03	4.48E-02	2.74E-02	3.91E-02	3.17E-02	3.61E-02	3.30E-02
AC_WGS_11	6.20E-02	5.36E-02	1.12E-01	0.00E+00	2.98E-02	4.80E-02	6.04E-02	5.11E-02	4.85E-02	1.33E-01
AC_WGS_37	2.74E-02	2.03E-02	4.45E-02	0.00E+00	4.00E-02	3.50E-02	3.86E-02	2.70E-02	5.63E-02	1.97E-02
RC596TH1	4.46E-02	1.20E-02	6.23E-02	0.00E+00	3.20E-02	6.46E-02	7.63E-02	6.04E-02	5.08E-02	1.22E-01
RC597TH1	3.82E-02	4.89E-03	4.78E-02	0.00E+00	3.04E-02	4.93E-02	5.98E-02	4.96E-02	4.29E-02	5.03E-02
RC598TH1	2.52E-02	8.98E-03	3.79E-02	1.00E-03	4.77E-02	3.70E-02	5.62E-02	5.20E-02	5.19E-02	3.70E-02
RC599TH1	4.69E-02	2.54E-02	6.73E-02	0.00E+00	3.36E-02	8.20E-02	7.84E-02	1.10E-01	5.10E-02	5.88E-02
