Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K
PGENE_1T	0	0	0	0	0	9	1	0	0	0	0
PGENE_2T	1	0	0	0	0	0	0	0	0	0	0
PGENE_4T	107	3	0	0	0	0	0	0	0	8	0
PGENE_5T	0	0	2	0	0	0	1	0	0	0	1
PGENE_8T	4	1	0	0	1	8	0	0	0	9	0
PGENE_9T	0	0	0	1	4	0	0	0	0	0	1
PGENE_10T	0	0	0	0	0	0	5	0	0	0	0
AC_WGS_1T	0	0	0	0	0	0	0	0	5	0	0
AC_WGS_2T	13	10	199	1	0	0	3	0	1	4	0
AC_WGS_4	14	0	0	0	0	0	2	2	0	2	0
AC_WGS_5	0	213	0	0	0	0	0	0	0	0	2
AC_WGS_6	6	2	0	2	10	0	4	2	0	2	2
AC_WGS_9T	0	0	0	0	5	0	4	4	0	0	1
AC_WGS_10	5	0	0	0	8	0	3	0	0	2	2
AC_WGS_44	0	0	0	1	0	0	0	0	0	0	0
AC_WGS_12	3	0	0	0	0	0	0	0	4	0	1
AC_WGS_13T	0	0	0	2	1	0	3	0	0	0	5
AC_WGS_15	1	0	0	0	0	2	0	0	0	0	0
AC_WGS_17	3	0	0	0	9	0	2	0	4	0	0
AC_WGS_22	0	0	0	0	0	2	0	0	2	0	0
AC_WGS_23	31	0	0	0	0	0	18	4	4	0	0
AC_WGS_25	2	0	0	0	0	0	0	5	2	0	0
AC_WGS_26	1	0	0	1	0	0	0	0	0	0	0
AC_WGS_27	1	0	0	0	0	0	1	0	0	7	0
AC_WGS_30	0	0	0	8	0	0	0	0	0	0	1
AC_WGS_32	1	0	0	1	2	0	0	21	1	1	0
AC_WGS_33	138	0	0	110	0	0	0	0	0	0	0
AC_WGS_34	1	0	0	2	4	4	10	3	0	0	0
AC_WGS_35	1	0	0	0	0	0	0	0	0	0	0
AC_WGS_36	2	0	0	0	1	0	0	2	0	5	3
AC_WGS_39	0	0	0	0	0	0	0	1	4	4	0
AC_WGS_41	7	0	0	13	0	0	8	9	2	0	0
AC_WGS_49	2	0	0	0	0	0	5	0	2	0	0
AC_WGS_50	2	7	18	0	9	0	0	5	0	0	18
AC_WGS_51	5	0	0	0	0	0	0	4	0	0	6
AC_WGS_52	8	0	0	0	6	0	0	0	1	4	0
AC_WGS_53	3	0	0	0	0	2	0	0	0	0	1
AC_WGS_11	1	0	2	0	0	0	0	4	5	0	0
AC_WGS_37	1	0	0	0	3	0	0	2	0	0	0
RC596TH1	0	0	0	0	0	4	0	0	6	0	0
RC597TH1	0	0	0	1	0	5	0	0	0	0	0
RC598TH1	2	0	0	0	0	4	0	0	0	0	0
RC599TH1	0	0	0	2	0	4	0	0	0	3	0
RC602TH1	7	0	0	0	0	0	0	1	4	1	6
RC603TH1	227	4	0	0	41	59	1	0	12	1	0
