Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K
PGENE_1T	1.41E-03	5.85E-02	8.64E-02	4.66E-02	4.41E-02	9.06E-02	0.00E+00	9.64E-02	8.42E-02	7.91E-02	8.04E-02
PGENE_2T	0.00E+00	0.00E+00	0.00E+00	1.00E-03	1.00E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PGENE_4T	0.00E+00	1.21E-01	1.11E-01	3.03E-01	4.10E-01	5.97E-02	5.76E-02	3.23E-01	7.04E-02	5.80E-02	5.13E-02
PGENE_5T	4.93E-02	1.24E-02	3.66E-02	1.99E-02	0.00E+00	3.26E-02	1.05E-02	1.18E-02	2.24E-02	1.70E-02	1.49E-02
PGENE_8T	1.50E-02	7.74E-02	9.77E-02	1.91E-01	9.24E-02	5.81E-02	3.17E-02	1.16E-01	5.51E-02	8.06E-02	1.05E-01
PGENE_9T	1.81E-02	4.15E-02	5.90E-02	1.98E-02	2.97E-02	4.44E-02	8.59E-03	2.41E-02	2.11E-02	4.53E-02	6.92E-02
PGENE_10T	2.13E-02	2.24E-02	2.69E-02	1.72E-02	0.00E+00	6.10E-02	0.00E+00	2.40E-02	3.62E-02	2.47E-02	2.89E-02
AC_WGS_1T	1.00E-03	2.47E-02	3.46E-02	2.72E-02	0.00E+00	3.25E-02	0.00E+00	2.64E-02	6.26E-02	3.79E-02	2.60E-02
AC_WGS_2T	9.51E-01	3.43E-01	1.29E-01	1.37E-01	3.85E-01	1.99E-01	4.69E-01	6.29E-02	6.67E-02	6.01E-02	5.63E-02
AC_WGS_4	3.50E-02	6.04E-02	3.72E-02	6.87E-02	8.09E-02	5.92E-02	0.00E+00	5.00E-02	3.26E-02	3.35E-02	2.22E-02
