Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	10.857	79.224	3.307	50.028	0.718
2	10.706	80.351	3.306	51.637	0.773
3	10.849	79.359	3.351	51.264	0.743
4	10.581	73.327	3.183	47.676	0.66
5	11.407	76.146	3.44	49.507	0.686
6	10.971	82.539	3.347	53.516	0.779
7	11.641	79.73	3.467	52.169	0.697
8	12.633	86.154	3.573	54.302	0.836
9	10.695	73.434	3.106	48.85	0.655
10	9.88	65.44	2.966	44.02	0.577
11	9.944	77.857	3.117	50.901	0.702
12	10.054	75.389	3.122	50.088	0.672
13	10.997	76.657	3.291	48.471	0.714
14	10.206	72.04	3.235	48.274	0.682
15	10.276	71.017	3.089	48.104	0.661
16	11.637	80.324	3.394	51.15	0.731
17	10.095	77.371	3.169	50.984	0.684
18	12.746	85.753	3.987	55.115	0.774
19	11.606	80.023	3.426	52.286	0.765
20	10.658	73.78	3.161	48.78	0.674
21	10.403	80.435	3.147	50.668	0.735
22	10.443	82.411	3.263	52.959	0.759
23	10.749	74.537	3.36	48.838	0.7
24	12.463	76.422	3.813	50.461	0.677
25	10.245	74.908	3.117	48.761	0.673
26	11.328	80.412	3.358	52.173	0.754
27	11.011	81.195	3.363	52.896	0.767
28	11.293	75.204	3.626	49.438	0.643
29	11.168	77.412	3.27	49.718	0.758
30	10.699	75.928	3.214	47.774	0.686
31	9.923	77.373	3.077	50.086	0.737
32	11.422	81.385	3.247	50.78	0.753
33	11.204	76.267	3.237	48.886	0.647
34	10.306	75.494	3.058	49.152	0.705
35	9.649	72.606	2.972	48.4	0.651
36	11.072	76.815	3.246	50.807	0.671
37	10.654	79.31	3.389	51.602	0.727
38	10.503	68.738	3.043	46.103	0.608
39	12.082	79.046	3.799	51.78	0.708
40	11.728	79.802	3.56	52.294	0.727
41	10.557	74.739	3.29	50.518	0.685
42	11.693	78.318	3.409	50.087	0.719
43	12.336	78.756	3.501	52.286	0.69
44	10.693	74.352	3.232	49.208	0.667
45	10.471	75.028	3.225	49.345	0.707
46	11.724	81.851	3.642	52.748	0.751
47	9.874	75.634	2.964	49.699	0.693
48	10.006	71.569	2.935	46.879	0.654
49	10.929	77.514	3.213	51.006	0.752
50	10.379	78.288	3.199	52.038	0.734
51	9.579	79.443	2.95	52.095	0.729
52	12.785	80.666	3.738	54.414	0.744
53	10.916	73.025	3.175	47.544	0.657
54	11.32	82.364	3.437	53.289	0.75
55	10.757	81.507	3.391	53.537	0.75
56	11.418	84.695	3.65	54.898	0.784
57	10.838	78.955	3.285	51.865	0.738
58	11.279	75.356	3.344	48.878	0.689
59	11.266	79.766	3.187	50.074	0.717
60	10.424	75.233	3.09	48.52	0.69
61	11.81	83.941	3.414	54.647	0.774
62	10.076	74.689	2.982	47.906	0.687
63	10.538	75.946	3.195	47.982	0.724
64	10.148	77.429	3.039	50.361	0.708
65	12.521	80.833	3.91	52.128	0.704
66	11.034	77.621	3.292	50.031	0.729
67	10.175	73.022	3.061	47.468	0.68
68	10.092	77.704	3.149	51.532	0.732
69	11.059	76.664	3.304	50.601	0.715
70	11.074	79.185	3.355	51.908	0.746
71	10.672	79.305	3.231	51.584	0.762
72	11.866	78.48	3.559	51.452	0.686
73	11.435	83.544	3.552	53.318	0.777
74	10.991	70.716	3.097	46.665	0.628
75	10.18	76.167	3.069	49.603	0.729
76	10.142	69.622	3.151	46.198	0.619
77	11.162	81.663	3.351	53.431	0.765
78	9.702	77.872	3.065	49.623	0.753
79	9.711	73.971	3.018	49.324	0.662
80	11.609	84.509	3.466	55.478	0.765
81	10.691	82.146	3.272	52.4	0.777
82	10.955	76.123	3.267	49.808	0.692
83	10.597	75.538	3.204	49.628	0.714
84	10.044	71.44	3.085	45.591	0.654
85	11.864	80.78	3.651	52.603	0.695
86	10.065	74.21	2.954	48.462	0.666
87	10.668	78.714	3.127	51.124	0.722
88	10.862	77.768	3.176	51.383	0.736
89	11.971	81.317	3.569	51.784	0.733
90	10.705	76.38	3.335	49.856	0.711
91	11.541	81.709	3.403	53.639	0.757
92	11.327	83.3	3.514	52.7	0.766
93	10.12	79.54	3.077	52.007	0.75
94	10.64	74.589	3.088	48.271	0.654
95	9.663	72.494	2.9	46.617	0.677
96	10.962	77.493	3.308	51.766	0.704
97	11.611	77.233	3.265	48.96	0.668
98	11.539	79.831	3.537	51.369	0.709
99	10.414	79.333	3.104	51.196	0.733
100	10.715	75.851	3.272	49.685	0.738
101	11.247	78.39	3.263	53.193	0.738
102	10.508	75.389	3.244	47.23	0.684
103	10.33	73.736	3.153	48.335	0.679
104	10.881	82.165	3.257	54.014	0.729
105	9.653	72.689	2.953	46.722	0.692
106	11.488	82.543	3.602	53.598	0.707
107	11.045	75.666	3.276	50.01	0.683
108	10.132	79.378	3.077	50.76	0.777
109	10.178	78.155	3.096	49.911	0.709
110	10.612	79.722	3.227	52.112	0.735
111	10.071	81.943	3.088	53.265	0.778
112	9.888	73.489	3.057	47.324	0.67
113	10.572	79.22	3.203	51.44	0.74
114	10.265	76.95	3.279	50.939	0.717
115	10.76	79.355	3.226	51.388	0.719
116	9.877	75.915	3.066	48.918	0.73
117	10.234	70.804	3.008	46.187	0.644
118	11.425	79.071	3.445	52.069	0.698
119	11.171	74.827	3.455	47.425	0.663
120	10.428	73.063	3.135	48.096	0.695
121	12.096	83.11	3.47	52.846	0.731
122	10.104	76.864	3.22	50.284	0.699
123	11.004	83.2	3.329	52.999	0.806
124	10.122	74.91	3.045	49.871	0.688
125	10.628	78.782	3.095	51.628	0.734
126	12.313	81.656	3.57	54.86	0.748
127	10.949	82.553	3.473	54.235	0.748
128	9.58	77.778	3.056	51.362	0.704
129	10.691	83.275	3.267	54.094	0.798
130	10.69	76.443	3.244	50.42	0.716
131	11.39	79.574	3.3	50.739	0.742
132	9.793	74.899	2.902	48.196	0.721
133	11.675	79.209	3.59	51.308	0.707
134	10.932	73.803	3.148	47.587	0.645
135	9.872	65.923	2.996	42.923	0.597
136	9.869	77.824	3.086	50.343	0.7
137	10.242	75.47	3.077	50.307	0.687
138	10.556	73.523	3.155	49.117	0.674
139	10.633	77.126	3.055	49.999	0.706
140	11.449	75.202	3.457	48.314	0.679
141	11.792	79.704	3.62	52.149	0.728
142	9.884	76.675	3.039	49.789	0.721
143	11.164	70.208	3.245	45.595	0.625
