Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
PGENE_1T	0	0	0	0	0	9	0	0	1	0	0	0
PGENE_2T	1	0	0	0	0	0	0	0	0	0	0	0
PGENE_4T	106	3	0	0	0	1	0	0	0	0	8	0
PGENE_5T	0	0	2	0	0	0	1	0	0	0	0	1
PGENE_8T	6	1	0	0	0	0	0	0	8	0	8	0
PGENE_9T	0	0	0	0	4	0	0	0	0	0	0	2
PGENE_10T	0	0	0	0	0	0	5	0	0	0	0	0
AC_WGS_1T	0	0	0	0	0	0	0	0	0	5	0	0
AC_WGS_2T	13	7	202	1	1	0	3	0	0	1	3	0
AC_WGS_4	13	0	0	0	0	0	2	1	2	0	2	0
AC_WGS_5	0	213	1	0	0	0	0	0	0	0	0	1
AC_WGS_6	6	2	0	2	9	0	4	2	2	0	2	1
AC_WGS_9T	0	0	0	0	4	0	4	4	1	0	0	1
AC_WGS_10	4	0	0	0	9	0	2	0	0	0	2	3
AC_WGS_44	0	0	0	1	0	0	0	0	0	0	0	0
AC_WGS_12	3	0	0	0	0	0	0	0	0	4	0	1
AC_WGS_13T	0	0	0	2	1	0	3	0	0	0	0	5
AC_WGS_15	1	0	0	0	0	2	0	0	0	0	0	0
AC_WGS_17	3	0	0	0	9	0	2	0	0	4	0	0
AC_WGS_22	1	0	0	0	0	0	0	0	2	1	0	0
AC_WGS_23	32	0	0	0	0	0	17	4	1	3	0	0
AC_WGS_25	2	0	0	0	0	0	0	5	1	1	0	0
AC_WGS_26	1	0	0	1	0	0	0	0	0	0	0	0
AC_WGS_27	1	0	0	0	0	0	1	0	0	0	7	0
AC_WGS_30	0	0	0	9	0	0	0	0	0	0	0	0
AC_WGS_32	1	0	0	0	2	0	0	19	3	1	1	0
AC_WGS_33	135	0	0	112	0	0	0	0	1	0	0	0
AC_WGS_34	2	0	0	0	4	0	9	2	7	0	0	0
AC_WGS_35	1	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_36	1	0	0	1	0	0	0	2	0	0	7	2
AC_WGS_39	0	0	0	0	0	0	0	1	0	4	3	1
AC_WGS_41	7	0	0	14	0	0	7	9	0	2	0	0
AC_WGS_49	2	0	0	0	0	0	5	0	0	2	0	0
AC_WGS_50	1	7	19	0	9	4	0	5	0	0	0	14
AC_WGS_51	5	0	0	0	0	0	0	4	0	0	0	6
AC_WGS_52	8	0	0	0	6	0	0	0	0	1	4	0
AC_WGS_53	3	0	0	0	0	3	0	0	0	0	0	0
AC_WGS_11	1	0	1	0	0	0	0	2	3	5	0	0
AC_WGS_37	2	0	0	0	2	0	0	2	0	0	0	0
RC596TH1	0	0	0	0	0	4	0	0	0	6	0	0
RC597TH1	1	0	0	0	0	0	0	0	5	0	0	0
RC598TH1	1	0	0	0	0	5	0	0	0	0	0	0
RC599TH1	1	0	0	0	0	0	0	0	6	0	2	0
RC602TH1	6	0	0	0	0	0	0	1	0	4	2	6
RC603TH1	226	4	0	0	37	51	0	0	14	11	2	0
