Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
PGENE_1T	5.71E-02	7.42E-02	7.29E-02	7.60E-02	8.95E-02	1.01E-01	8.42E-02	5.19E-02	0.00E+00	4.35E-02	8.28E-02	7.00E-03
PGENE_2T	1.41E-03	1.00E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-03	1.00E-03	0.00E+00
PGENE_4T	3.02E-01	1.24E-01	7.49E-02	7.53E-02	4.28E-01	6.31E-02	1.27E-01	1.28E-01	5.71E-02	5.19E-01	1.88E-01	1.30E-02
PGENE_5T	2.11E-02	1.79E-02	2.00E-02	1.53E-02	1.17E-02	1.40E-02	3.05E-02	1.02E-02	7.03E-03	0.00E+00	3.82E-02	4.78E-02
PGENE_8T	1.97E-01	8.28E-02	3.79E-02	5.49E-02	1.03E-01	1.65E-01	5.42E-02	5.21E-02	3.21E-02	9.23E-02	6.01E-02	0.00E+00
PGENE_9T	1.48E-02	7.13E-02	1.66E-02	4.00E-02	2.57E-02	1.60E-02	3.75E-02	3.87E-02	5.54E-03	2.87E-02	6.34E-02	1.37E-02
PGENE_10T	1.69E-02	2.27E-02	3.43E-02	2.19E-02	2.18E-02	3.65E-02	6.06E-02	1.96E-02	0.00E+00	0.00E+00	2.49E-02	1.63E-02
AC_WGS_1T	2.18E-02	1.89E-02	6.21E-02	3.49E-02	2.52E-02	4.14E-02	2.84E-02	2.17E-02	0.00E+00	0.00E+00	3.06E-02	0.00E+00
AC_WGS_2T	1.32E-01	6.14E-02	7.10E-02	4.50E-02	4.44E-02	4.31E-02	2.82E-01	2.02E-01	3.76E-01	3.88E-01	9.33E-02	8.11E-01
AC_WGS_4	7.09E-02	2.89E-02	2.45E-02	2.59E-02	3.91E-02	5.67E-02	5.74E-02	5.60E-02	0.00E+00	8.37E-02	3.54E-02	3.15E-02
