MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
AC>CA	0.0003360876166692895	2.570005912991364e-07	2.5665631485906795e-07	0.008902007220150169	0.008627548859146267	0.009538311939252891	0.03627815122867425	0.004634827006798785	0.015185096565931592	0.004901540420126882	0.004245479697091549	0.008113488847255513
AC>CG	0.0009866657118236238	4.057533837116474e-07	3.44775050880223e-05	0.0002733009964210993	0.0003714821656672207	0.002464318648809541	0.0002386020939313127	0.0015437097869713846	0.0006272089311034513	0.0005178774348921584	0.005512564231423022	0.0010135975266654129
AC>CT	0.0009160484465598908	2.859456070224496e-07	0.0002052607799089369	0.010118726076323144	0.028236843256316937	0.009543410260498413	0.003670043595721039	0.007066906594719327	0.012824474442430974	0.0049286223974705	0.005214957176009354	0.01506230923439468
AC>GA	0.0007612181795790406	2.2669465698017382e-07	0.0002209520592923003	0.009507942066732276	0.0106299738457421	0.012247728834829746	0.00423127910740543	0.03005536619668783	0.010966045195302102	0.006263537721830185	0.016942230954120518	0.016366070953212096
AC>GG	0.0009152389845089827	4.04635293090222e-07	3.6075287440167117e-07	0.0003501160469484946	0.0004252397502043185	0.002931750300320302	0.0004028706630077197	0.0013940841013573872	0.0006515604223864485	0.0006801894290717933	0.005286691647207786	0.0010898094609808932
AC>GT	0.001357395008402138	0.0046121704194356655	0.004168496845736431	0.002696549299998006	0.005598165248877258	0.0032184634692045315	0.008264662924226436	0.00288323793754098	0.004805416544366481	0.013486399467291146	0.002412349687114345	0.007529831390748512
AC>TA	0.001653764830812748	0.0043165867592208805	0.004229299872473659	0.007988324239292714	0.01135340908410527	0.008338188464064573	0.002874701723177297	0.002373162842943759	0.005478085193032075	0.009847618738688762	0.005695139218648418	0.013103146421752155
AC>TG	1.3206740345211467e-06	4.435260064776992e-07	5.007378944003949e-07	3.5429105650709272e-06	5.586185164913059e-06	4.075016507152672e-06	7.417918811707051e-06	6.500691871386605e-06	9.684297227340526e-06	1.2031894693827802e-05	8.981277235349274e-06	8.67587913548832e-06
AC>TT	0.0018043653977899852	1.5216189806718193e-07	2.0546571833697107e-07	0.019884094537084337	0.012491498119531735	0.016957191733790764	0.00965338243803824	0.0084729886160566	0.02204400021758553	0.0540493870591311	0.01021486696645922	0.012210830395353771
AT>CA	0.0002755815759665615	3.9092364711999445e-07	4.0051031628278786e-05	0.004011660175264032	0.00335280290732757	0.0037895529013668556	0.0011181225651586977	0.0037786994395759706	0.003828185091803495	0.0009665972467837475	0.001357080880152763	0.005037840774363809
AT>CC	0.00037774755440680963	4.30832591735335e-07	4.27004380964517e-07	0.0008888656717369541	0.0018445935243652195	0.0007228825006349266	8.734116410530468e-05	0.0002891022273764038	0.0007217812315664121	0.0004812731734736554	0.00013420208172322502	0.0006613230191524285
AT>CG	1.3206740345211467e-06	4.435260064776992e-07	5.007378944003949e-07	3.5429105650709272e-06	5.586185164913059e-06	4.075016507152672e-06	7.417918811707051e-06	6.500691871386605e-06	9.684297227340526e-06	1.2031894693827802e-05	8.981277235349274e-06	8.67587913548832e-06
AT>GA	0.00011119432966224833	3.083183004250179e-07	3.1514789088190016e-05	0.023301717516725308	0.009761326326400968	0.012073387969274294	0.001962814834357908	0.005872442475111045	0.01742087854928788	0.010883717588124633	0.007096018236721524	0.012791591025503245
AT>GC	0.0003830194324007038	0.004361201942763745	4.7277075958355296e-05	0.0020154914974820715	0.0036513360047574295	0.0032146709889430943	0.0008634085816473238	0.0019308252040015285	0.00603049478734832	0.0021943843032334316	0.0018855981289775678	0.0028250334372835672
AT>TA	0.0010925616567173503	2.240749996482447e-07	0.005025537860394838	0.022308657491491142	0.010156686324032178	0.017658755299167845	0.0024021703904273583	0.011681212609387866	0.011814193215988877	0.0019496068238884564	0.01301049404377009	0.031229923747399434
CC>AA	0.003917344001254341	0.07917060865105778	0.11923067085390184	0.040856949247759795	0.02413535565330365	0.02132424389883948	0.034518254862979714	0.24495045546709687	0.02706154678531983	0.026623451262045645	0.01794247949775015	0.04146316189306833
CC>AG	0.002487073309828388	0.014465323919644443	0.018577959515141327	0.012944279657923573	0.021354766204306378	0.01491001131607903	0.003215855651761777	0.01342809790487544	0.01290882177076641	0.0023932007554686363	0.00629035937221712	0.030138955358322884
CC>AT	0.0005085106836659972	0.009048560321431177	0.045820235327390914	0.05400660591958207	0.24204971216085994	0.03194341697821528	0.056842398516767256	0.050350823106913516	0.027167163251408662	0.006781673633181393	0.046062001282168454	0.07175024288560444
CC>GA	9.682387206615992e-05	2.6731679308142157e-07	0.004628154635251164	0.005423807469204406	0.010139059902233913	0.005046555088577176	0.008030900317647405	0.02972050868218611	0.01681213456261996	0.009188902011478447	0.002602594018303822	0.010921697545040434
CC>GG	0.0019476240298957346	3.1120507774061154e-07	0.004324098656352671	0.002318835219533023	0.002127820316192147	0.009935971521119054	0.001299260810966631	0.006048176176615886	0.005267692999713229	0.002861808201553777	0.015370130171281285	0.0037560663048603563
CC>GT	0.004912485483310339	1.4691758795969696e-07	0.004268007675595453	0.016232429441247587	0.0394820680861056	0.015609935014525149	0.027935338722516485	0.013446397543571563	0.04478013041414605	0.004221611026166522	0.018227099150277107	0.021662103501681674
CC>TA	0.007212644894082849	0.004389589483494497	0.026642690379393492	0.006772590374776637	0.011976067309289113	0.013402228930653287	0.002865053879850917	0.012379576620328356	0.021247565026871966	0.008497763080512245	0.4014150865665717	0.00931321025290593
CC>TG	0.0002835806063537821	0.004440434960583123	0.0002635661300816303	0.02754175862291411	0.02190804497462058	0.03208786723503853	0.004788240438602734	0.005740747579003557	0.056065548420197286	0.02167293594729659	0.025419735513244043	0.020924335403120498
