Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
PGENE_1T	5.96E-02	7.27E-02	6.24E-02	7.13E-02	1.28E-01	3.54E-02	4.34E-02	4.25E-02	0.00E+00	5.79E-02	5.99E-02	0.00E+00	4.84E-02
PGENE_2T	1.00E-03	0.00E+00	0.00E+00	1.00E-03	0.00E+00	0.00E+00	2.00E-03	1.41E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PGENE_4T	2.27E-01	5.13E-02	6.20E-02	3.90E-01	1.25E-01	1.17E-01	5.29E-01	3.44E-01	5.58E-02	6.87E-02	1.02E-01	1.20E-02	1.28E-01
PGENE_5T	1.41E-02	3.26E-02	1.94E-02	1.04E-02	1.25E-02	1.06E-02	0.00E+00	2.04E-02	6.30E-03	1.89E-02	4.02E-02	4.74E-02	1.46E-02
PGENE_8T	1.60E-01	4.26E-02	7.24E-02	8.81E-02	1.12E-01	2.91E-02	9.28E-02	1.95E-01	2.95E-02	2.68E-02	4.32E-02	0.00E+00	5.01E-02
PGENE_9T	1.40E-02	3.89E-02	6.86E-02	1.93E-02	1.14E-02	3.87E-02	2.86E-02	1.52E-02	3.73E-03	1.59E-02	6.24E-02	8.73E-03	4.74E-02
PGENE_10T	2.05E-02	6.08E-02	2.12E-02	1.50E-02	4.87E-02	1.70E-02	0.00E+00	1.32E-02	0.00E+00	2.59E-02	1.70E-02	1.59E-02	1.92E-02
AC_WGS_1T	3.32E-02	3.00E-02	1.97E-02	2.48E-02	4.54E-02	2.00E-02	0.00E+00	1.79E-02	0.00E+00	6.25E-02	2.64E-02	2.00E-03	2.50E-02
AC_WGS_2T	7.68E-02	2.27E-01	4.39E-02	7.04E-02	3.57E-02	2.79E-01	3.81E-01	1.45E-01	3.05E-01	6.38E-02	1.39E-01	7.84E-01	6.35E-02
AC_WGS_4	5.65E-02	5.31E-02	1.47E-02	4.29E-02	3.55E-02	5.28E-02	8.38E-02	6.71E-02	0.00E+00	2.63E-02	3.65E-02	2.37E-02	2.77E-02
AC_WGS_5	5.38E-03	8.77E-03	7.07E-03	6.00E-03	1.16E-02	1.31E-02	1.13E-02	6.99E-03	3.47E-02	1.00E-02	2.18E-02	0.00E+00	3.00E-03
AC_WGS_6	1.93E-01	1.35E-01	2.43E-01	1.63E-01	1.12E-01	1.74E-01	8.81E-02	1.37E-01	4.72E-02	5.61E-02	1.83E-01	2.03E-02	1.68E-01
AC_WGS_9T	9.73E-02	1.23E-01	1.36E-01	3.78E-02	5.03E-02	1.08E-01	0.00E+00	3.00E-02	1.41E-03	2.26E-02	9.92E-02	3.31E-02	5.39E-02
AC_WGS_10	7.58E-02	1.16E-01	1.54E-01	9.40E-02	1.30E-01	5.15E-02	7.43E-02	1.13E-01	0.00E+00	4.84E-02	1.39E-01	1.55E-02	7.25E-02
AC_WGS_44	9.10E-03	5.81E-03	1.27E-02	8.78E-03	1.19E-02	6.90E-03	0.00E+00	8.87E-03	0.00E+00	6.35E-03	8.13E-03	1.73E-03	1.18E-02
AC_WGS_12	2.13E-02	8.55E-03	1.20E-02	1.72E-02	2.46E-02	1.01E-02	4.75E-02	1.34E-02	5.88E-03	5.98E-02	3.77E-02	3.31E-03	1.25E-02
AC_WGS_13T	5.63E-02	9.34E-02	1.02E-01	6.66E-02	8.99E-02	6.47E-02	0.00E+00	4.32E-02	2.00E-03	3.71E-02	1.28E-01	3.83E-02	9.17E-02
AC_WGS_15	1.74E-02	6.05E-03	1.09E-02	1.57E-02	2.00E-02	5.54E-03	2.68E-02	1.33E-02	0.00E+00	1.11E-02	8.64E-03	0.00E+00	8.78E-03
AC_WGS_17	7.28E-02	1.11E-01	1.43E-01	5.73E-02	7.73E-02	4.02E-02	6.36E-02	3.11E-02	0.00E+00	1.07E-01	1.08E-01	5.38E-03	5.61E-02
AC_WGS_22	3.66E-02	2.50E-02	7.74E-03	9.76E-03	1.41E-02	1.69E-02	2.72E-02	1.97E-02	0.00E+00	4.08E-02	1.11E-02	2.00E-03	1.03E-02
AC_WGS_23	1.62E-01	2.96E-01	1.04E-01	1.25E-01	1.38E-01	1.48E-01	1.92E-01	3.70E-02	0.00E+00	1.37E-01	9.66E-02	1.08E-02	1.38E-01
AC_WGS_25	6.36E-02	1.39E-02	2.21E-02	5.34E-02	2.26E-02	8.68E-02	4.28E-02	2.93E-02	0.00E+00	6.51E-02	2.74E-02	2.39E-02	5.89E-02
AC_WGS_26	6.42E-03	1.53E-02	1.29E-02	1.08E-02	4.97E-03	1.54E-02	2.30E-02	3.99E-03	0.00E+00	4.10E-03	1.45E-02	2.00E-03	1.87E-02
AC_WGS_27	4.74E-02	3.88E-02	3.74E-02	1.66E-02	6.47E-03	1.69E-02	4.15E-02	7.89E-02	0.00E+00	9.76E-03	9.01E-03	1.01E-02	8.24E-03
AC_WGS_30	8.74E-02	6.02E-02	6.60E-02	8.08E-02	8.62E-02	9.33E-02	0.00E+00	4.67E-02	0.00E+00	3.67E-02	1.05E-01	9.00E-03	1.02E-01
AC_WGS_32	1.83E-01	6.65E-02	1.49E-01	1.10E-01	8.42E-02	3.26E-01	4.63E-02	1.33E-01	0.00E+00	1.23E-01	9.14E-02	1.86E-02	1.87E-01
AC_WGS_33	2.97E-01	5.00E-03	2.49E-01	3.70E+00	1.34E-01	3.23E-01	2.09E+00	3.22E-02	0.00E+00	6.46E-02	8.63E-02	0.00E+00	1.68E+00
AC_WGS_34	2.24E-01	2.48E-01	1.69E-01	9.74E-02	1.16E-01	1.55E-01	4.53E-02	5.79E-02	0.00E+00	3.11E-02	8.51E-02	6.84E-02	1.28E-01
AC_WGS_35	1.00E-03	0.00E+00	0.00E+00	1.00E-03	0.00E+00	0.00E+00	2.00E-03	1.41E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
AC_WGS_36	7.64E-02	2.30E-02	6.70E-02	6.10E-02	5.35E-02	6.26E-02	4.51E-02	1.19E-01	4.23E-03	4.25E-02	8.09E-02	8.10E-03	5.86E-02
AC_WGS_39	3.82E-02	1.85E-02	2.04E-02	2.46E-02	3.18E-02	6.10E-02	0.00E+00	8.38E-02	7.33E-03	9.52E-02	6.65E-02	1.22E-02	2.08E-02
AC_WGS_41	1.01E-01	2.96E-01	1.31E-01	2.69E-01	1.94E-01	2.98E-01	1.33E-01	1.03E-01	0.00E+00	1.73E-01	1.20E-01	5.08E-02	3.14E-01
AC_WGS_49	3.06E-02	7.97E-02	2.71E-02	3.43E-02	5.16E-02	2.79E-02	3.89E-02	1.92E-02	0.00E+00	6.44E-02	3.90E-02	1.27E-02	3.65E-02
AC_WGS_50	2.36E-01	1.56E-01	4.80E-01	2.73E-01	2.72E-01	4.40E-01	7.67E-02	7.08E-02	1.57E-01	8.82E-02	6.08E-01	3.48E-01	3.48E-01
AC_WGS_51	3.39E-02	2.16E-02	6.86E-02	3.92E-02	1.54E-02	9.43E-02	6.71E-02	1.76E-02	1.01E-02	2.78E-02	1.02E-01	3.75E-02	4.47E-02
AC_WGS_52	5.56E-02	2.24E-02	1.04E-01	9.96E-02	6.84E-02	4.77E-02	1.01E-01	1.06E-01	0.00E+00	5.64E-02	5.14E-02	1.00E-03	6.37E-02
AC_WGS_53	3.29E-02	2.82E-02	2.69E-02	2.96E-02	3.35E-02	2.12E-02	4.42E-02	2.21E-02	2.00E-03	2.81E-02	3.53E-02	3.86E-03	2.18E-02
AC_WGS_11	1.02E-01	3.51E-02	3.62E-02	5.74E-02	6.59E-02	1.05E-01	2.97E-02	2.92E-02	0.00E+00	1.30E-01	4.29E-02	4.50E-02	4.51E-02
AC_WGS_37	3.17E-02	2.25E-02	5.34E-02	2.58E-02	2.71E-02	4.25E-02	3.82E-02	2.36E-02	0.00E+00	1.31E-02	2.67E-02	1.10E-02	2.30E-02
RC596TH1	5.52E-02	2.42E-02	3.38E-02	5.04E-02	1.14E-01	3.97E-02	3.03E-02	3.22E-02	0.00E+00	1.21E-01	5.18E-02	0.00E+00	4.02E-02
RC597TH1	6.14E-02	2.82E-02	2.57E-02	3.52E-02	6.49E-02	3.17E-02	2.92E-02	3.48E-02	1.00E-03	3.68E-02	2.88E-02	0.00E+00	3.19E-02
RC598TH1	4.50E-02	1.65E-02	3.85E-02	4.89E-02	5.41E-02	3.16E-02	4.61E-02	4.15E-02	0.00E+00	2.94E-02	3.79E-02	0.00E+00	2.75E-02
RC599TH1	1.09E-01	2.71E-02	3.12E-02	4.93E-02	3.31E-02	3.26E-02	3.09E-02	9.98E-02	0.00E+00	3.70E-02	5.37E-02	1.01E-02	5.06E-02
RC602TH1	7.15E-02	2.76E-02	3.30E-02	6.25E-02	4.53E-02	7.08E-02	8.48E-02	8.16E-02	3.16E-03	1.14E-01	1.09E-01	2.29E-02	5.33E-02
RC603TH1	2.08E+00	8.50E-01	1.73E+00	2.69E+00	1.85E+00	7.67E-01	2.88E+00	1.37E+00	9.38E-02	7.85E-01	1.32E+00	1.08E-01	1.49E+00
