Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.778	10.478	104.78%	2.178	62.873%	1.0232
PGENE_2T	1	1.0	0.122	12.2%	0.062	6.2%	0.0628
PGENE_4T	118	0.999	18.129	15.364%	3.477	3.614%	0.1217
PGENE_5T	4	0.662	5.677	141.925%	1.564	78.2%	1.5633
PGENE_8T	23	0.957	16.968	73.774%	3.24	35.564%	0.5284
PGENE_9T	6	0.804	7.696	128.267%	2.161	68.337%	1.1692
PGENE_10T	5	0.837	6.428	128.56%	1.728	65.312%	1.1116
AC_WGS_1T	5	0.774	5.985	119.7%	1.691	63.914%	1.5238
AC_WGS_2T	231	1.0	8.521	3.689%	1.367	2.296%	0.0116
AC_WGS_4	20	0.993	10.161	50.805%	2.975	20.932%	0.4072
AC_WGS_5	215	1.0	3.178	1.478%	0.537	0.414%	0.0047
AC_WGS_6	30	0.923	18.886	62.953%	3.211	38.379%	0.5544
AC_WGS_9T	14	0.849	13.056	93.257%	2.647	56.434%	0.786
AC_WGS_10	20	0.922	15.695	78.475%	2.777	40.945%	0.7095
AC_WGS_44	1	0.177	1.933	193.3%	0.984	98.4%	3.3995
AC_WGS_12	8	0.972	6.212	77.65%	1.705	36.351%	0.5684
AC_WGS_13T	11	0.667	12.528	113.891%	2.472	74.534%	1.2009
AC_WGS_15	3	0.905	2.058	68.6%	0.959	42.888%	0.9478
AC_WGS_17	18	0.938	13.093	72.739%	2.397	38.884%	0.5568
AC_WGS_22	4	0.794	4.075	101.875%	1.259	62.95%	1.0518
AC_WGS_23	57	0.997	14.263	25.023%	2.505	7.863%	0.1727
AC_WGS_25	9	0.834	9.345	103.833%	2.087	57.883%	1.0148
AC_WGS_26	2	0.539	3.381	169.05%	1.243	87.893%	2.0465
AC_WGS_27	9	0.97	6.788	75.422%	1.677	34.968%	0.5117
AC_WGS_30	9	0.433	13.126	145.844%	3.016	90.936%	2.0095
AC_WGS_32	27	0.932	17.808	65.956%	2.974	38.078%	0.4652
AC_WGS_33	248	0.999	45.103	18.187%	7.216	5.264%	0.0863
AC_WGS_34	24	0.899	16.436	68.483%	2.705	43.881%	0.5453
AC_WGS_35	1	1.0	0.122	12.2%	0.062	6.2%	0.0628
AC_WGS_36	13	0.885	11.004	84.646%	2.208	48.183%	0.8465
AC_WGS_39	9	0.843	9.225	102.5%	2.02	56.025%	1.0078
AC_WGS_41	39	0.948	26.202	67.185%	4.63	36.49%	0.4724
AC_WGS_49	9	0.869	7.654	85.044%	1.836	50.921%	0.818
AC_WGS_50	59	0.935	30.158	51.115%	5.082	35.669%	0.3437
AC_WGS_51	15	0.977	11.4	76.0%	2.769	35.453%	0.5319
AC_WGS_52	19	0.966	12.362	65.063%	2.727	27.688%	0.5832
AC_WGS_53	6	0.872	5.756	95.933%	2.01	58.024%	1.4988
AC_WGS_11	12	0.783	11.582	96.517%	2.331	62.299%	0.9232
AC_WGS_37	6	0.859	5.17	86.167%	1.463	51.725%	0.9473
RC596TH1	10	0.758	10.124	101.24%	2.467	65.933%	1.0163
RC597TH1	6	0.662	7.454	124.233%	1.842	75.199%	1.4243
RC598TH1	6	0.73	7.332	122.2%	1.957	69.19%	1.8684
RC599TH1	9	0.772	10.005	111.167%	2.135	64.373%	1.138
RC602TH1	19	0.973	12.991	68.374%	2.469	27.778%	0.5469
RC603TH1	345	0.999	64.371	18.658%	13.135	6.049%	0.0884
