Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N
PGENE_1T	2.92E-02	4.23E-02	6.83E-02	0.00E+00	5.17E-02	6.47E-02	5.41E-02	0.00E+00	4.81E-02	1.28E-01	4.37E-02	3.68E-02	7.50E-02	5.46E-02
PGENE_2T	1.41E-03	2.00E-03	0.00E+00	0.00E+00	0.00E+00	1.00E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-03	0.00E+00
PGENE_4T	3.31E-01	5.77E-01	4.81E-01	5.64E-02	1.08E-01	1.60E-01	2.67E-02	1.32E-02	4.06E-02	7.22E-02	1.32E-01	1.61E-01	2.09E-01	8.09E-02
PGENE_5T	1.87E-02	0.00E+00	1.14E-02	7.18E-03	4.19E-02	1.50E-02	3.25E-02	4.55E-02	1.43E-02	1.59E-02	1.55E-02	9.35E-03	1.01E-02	1.84E-02
PGENE_8T	1.89E-01	9.50E-02	7.18E-02	3.17E-02	4.10E-02	1.65E-01	4.34E-02	2.00E-03	3.49E-02	1.27E-01	7.42E-02	3.55E-02	6.49E-02	2.34E-02
PGENE_9T	1.22E-02	2.86E-02	2.19E-02	2.99E-03	6.03E-02	9.85E-03	3.78E-02	5.47E-03	4.68E-02	1.29E-02	6.89E-02	3.36E-02	2.04E-02	1.71E-02
PGENE_10T	8.85E-03	0.00E+00	1.22E-02	0.00E+00	1.51E-02	2.43E-02	6.04E-02	5.91E-03	1.97E-02	5.05E-02	1.76E-02	1.65E-02	1.58E-02	2.55E-02
AC_WGS_1T	1.41E-02	0.00E+00	1.77E-02	0.00E+00	2.66E-02	2.71E-02	2.01E-02	0.00E+00	2.47E-02	4.93E-02	1.63E-02	1.76E-02	1.64E-02	6.10E-02
AC_WGS_2T	1.27E-01	3.82E-01	1.59E-02	2.64E-01	7.69E-02	7.91E-02	2.40E-01	7.47E-01	6.99E-02	3.57E-02	7.08E-02	2.90E-01	1.96E-02	5.92E-02
AC_WGS_4	6.21E-02	8.49E-02	5.16E-02	0.00E+00	2.87E-02	5.85E-02	5.64E-02	1.63E-02	2.18E-02	3.44E-02	1.53E-02	5.20E-02	3.48E-02	2.15E-02
AC_WGS_5	1.30E-02	1.44E-02	7.87E-03	5.22E-02	3.71E-02	5.00E-03	1.61E-02	0.00E+00	1.00E-03	5.00E-03	4.12E-03	2.11E-02	3.00E-03	1.32E-02
AC_WGS_6	1.23E-01	9.41E-02	1.79E-01	4.45E-02	1.74E-01	1.70E-01	1.42E-01	9.84E-03	1.36E-01	9.60E-02	2.42E-01	1.52E-01	2.18E-01	4.39E-02
AC_WGS_9T	2.30E-02	0.00E+00	3.51E-02	0.00E+00	9.10E-02	9.37E-02	1.27E-01	2.10E-02	4.91E-02	4.03E-02	1.39E-01	1.05E-01	7.35E-02	2.00E-02
AC_WGS_10	1.02E-01	7.47E-02	8.06E-02	0.00E+00	1.44E-01	5.75E-02	1.11E-01	3.00E-03	7.75E-02	1.43E-01	1.57E-01	4.02E-02	9.66E-02	4.36E-02
AC_WGS_44	7.27E-03	0.00E+00	7.02E-03	0.00E+00	6.83E-03	9.05E-03	6.49E-03	1.73E-03	1.14E-02	1.28E-02	1.17E-02	5.81E-03	9.70E-03	6.49E-03
AC_WGS_12	1.52E-02	4.69E-02	1.58E-02	4.11E-03	3.94E-02	1.73E-02	3.73E-03	2.82E-03	8.60E-03	1.79E-02	9.93E-03	1.30E-02	1.81E-02	5.80E-02
AC_WGS_13T	3.81E-02	0.00E+00	6.86E-02	0.00E+00	1.20E-01	5.14E-02	9.13E-02	2.89E-02	1.03E-01	9.26E-02	1.04E-01	5.70E-02	4.32E-02	2.83E-02
AC_WGS_15	1.30E-02	2.73E-02	1.28E-02	0.00E+00	1.05E-02	1.77E-02	7.61E-03	0.00E+00	7.22E-03	2.04E-02	9.51E-03	4.77E-03	1.16E-02	1.01E-02
