Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
PGENE_1T	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0
PGENE_2T	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGENE_4T	99	3	0	0	0	0	0	0	0	0	1	7	0	8	0
PGENE_5T	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2
PGENE_8T	5	1	0	0	0	0	0	0	0	3	0	6	8	0	0
PGENE_9T	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1
PGENE_10T	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0
AC_WGS_1T	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0
AC_WGS_2T	13	3	201	1	1	0	0	4	3	1	1	3	0	0	0
AC_WGS_4	13	0	0	0	0	0	0	2	2	2	0	1	0	0	0
AC_WGS_5	0	213	0	0	0	0	0	0	0	0	0	0	0	0	2
AC_WGS_6	3	1	0	0	7	11	0	0	3	2	0	1	1	0	1
AC_WGS_9T	0	0	0	0	4	0	0	3	4	2	0	0	0	0	1
AC_WGS_10	5	0	0	0	7	0	1	0	2	0	0	2	1	0	2
AC_WGS_44	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC_WGS_12	3	0	0	0	0	0	0	0	0	0	3	0	0	0	2
AC_WGS_13T	0	0	0	4	1	0	0	0	2	0	0	0	0	0	4
AC_WGS_15	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AC_WGS_17	3	0	0	0	7	0	0	0	2	0	3	0	2	0	1
AC_WGS_22	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0
AC_WGS_23	31	0	0	1	0	0	3	4	14	1	3	0	0	0	0
AC_WGS_25	2	0	0	0	0	0	0	4	0	2	1	0	0	0	0
AC_WGS_26	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_27	1	0	0	0	1	0	0	0	1	0	0	6	0	0	0
AC_WGS_30	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_32	1	0	0	5	2	0	0	14	0	3	1	1	0	0	0
AC_WGS_33	130	0	0	76	0	0	4	0	0	10	1	0	0	27	0
AC_WGS_34	2	0	0	2	3	0	3	1	7	6	0	0	0	0	0
AC_WGS_35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_36	2	0	0	0	1	0	0	2	0	1	0	5	0	0	2
AC_WGS_39	0	0	0	0	0	0	0	1	0	0	3	3	0	0	2
AC_WGS_41	7	0	0	16	0	0	0	7	6	0	2	1	0	0	0
AC_WGS_49	2	0	0	0	0	0	0	0	4	0	2	0	1	0	0
AC_WGS_50	2	6	19	0	8	4	3	6	0	0	0	0	3	0	8
AC_WGS_51	6	0	0	0	0	0	0	4	0	0	0	0	0	0	5
AC_WGS_52	7	0	0	0	3	0	5	0	0	0	1	3	0	0	0
AC_WGS_53	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0
AC_WGS_11	1	0	1	0	0	0	0	2	0	3	5	0	0	0	0
AC_WGS_37	1	0	0	0	1	0	3	1	0	0	0	0	0	0	0
RC596TH1	1	0	0	0	0	0	0	0	0	0	3	0	6	0	0
RC597TH1	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0
RC598TH1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0
RC599TH1	1	0	0	0	0	0	0	0	0	6	0	2	0	0	0
RC602TH1	8	0	0	0	0	0	0	1	0	1	3	1	0	0	5
RC603TH1	223	4	0	0	22	40	24	0	0	8	9	3	8	4	0
