Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
PGENE_1T	5.27E-02	4.08E-02	6.11E-02	7.85E-02	1.26E-01	0.00E+00	4.34E-02	0.00E+00	4.25E-02	6.16E-02	3.03E-02	5.65E-02	2.65E-02	2.19E-02	3.34E-02
PGENE_2T	0.00E+00	0.00E+00	1.41E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.41E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PGENE_4T	1.22E-01	8.44E-02	4.45E-01	7.00E-02	5.65E-02	1.20E-02	5.39E-02	5.68E-02	6.07E-01	4.72E-01	1.10E-01	9.00E-02	2.43E-01	4.40E-02	5.12E-02
PGENE_5T	3.35E-02	4.16E-02	8.76E-03	1.23E-02	1.45E-02	4.54E-02	1.69E-02	3.31E-03	0.00E+00	1.10E-02	9.11E-03	1.50E-02	1.79E-02	1.30E-02	1.29E-02
PGENE_8T	3.22E-02	2.26E-02	9.98E-02	1.46E-01	5.67E-02	0.00E+00	3.49E-02	3.12E-02	9.32E-02	7.32E-02	3.42E-02	1.38E-01	1.86E-01	2.61E-02	6.93E-02
PGENE_9T	3.62E-02	5.79E-02	2.27E-02	9.65E-03	7.12E-03	7.87E-03	1.21E-02	0.00E+00	2.92E-02	1.64E-02	3.10E-02	1.08E-02	7.31E-03	4.83E-02	6.78E-02
PGENE_10T	5.98E-02	1.89E-02	1.83E-02	3.54E-02	3.80E-02	9.26E-03	2.22E-02	0.00E+00	0.00E+00	2.31E-02	1.56E-02	2.62E-02	1.01E-02	1.72E-02	1.86E-02
AC_WGS_1T	2.09E-02	2.23E-02	1.99E-02	3.67E-02	3.79E-02	0.00E+00	5.98E-02	0.00E+00	0.00E+00	2.36E-02	1.45E-02	3.13E-02	1.64E-02	1.97E-02	1.71E-02
AC_WGS_2T	1.98E-01	8.78E-02	5.19E-02	6.07E-02	1.46E-02	6.55E-01	4.63E-02	1.96E-01	3.81E-01	4.47E-02	2.09E-01	6.67E-02	1.29E-01	6.82E-02	8.77E-02
AC_WGS_4	4.85E-02	2.13E-02	6.23E-02	3.66E-02	1.58E-02	1.45E-02	1.92E-02	0.00E+00	8.08E-02	2.94E-02	4.75E-02	5.51E-02	5.76E-02	2.60E-02	2.15E-02
AC_WGS_5	1.48E-02	5.63E-02	1.09E-02	4.79E-03	0.00E+00	0.00E+00	1.20E-02	7.35E-02	1.50E-02	3.00E-03	3.68E-02	0.00E+00	1.16E-02	7.53E-03	1.39E-02
AC_WGS_6	1.24E-01	1.59E-01	2.52E-01	1.93E-01	8.25E-02	4.89E-03	3.62E-02	4.35E-02	9.59E-02	1.52E-01	1.48E-01	1.69E-01	1.06E-01	1.50E-01	2.40E-01
AC_WGS_9T	1.25E-01	9.63E-02	4.45E-02	5.37E-02	6.69E-02	1.41E-02	1.57E-02	0.00E+00	0.00E+00	3.15E-02	9.71E-02	8.64E-02	2.43E-02	5.88E-02	1.31E-01
AC_WGS_10	1.01E-01	1.51E-01	1.21E-01	9.52E-02	9.91E-02	0.00E+00	3.96E-02	0.00E+00	7.82E-02	7.59E-02	3.98E-02	7.29E-02	9.56E-02	8.33E-02	1.60E-01
AC_WGS_44	3.72E-03	4.54E-03	5.48E-03	5.13E-03	1.58E-02	1.41E-03	5.22E-03	0.00E+00	0.00E+00	5.57E-03	5.65E-03	6.83E-03	6.83E-03	8.63E-03	9.58E-03
AC_WGS_12	8.15E-03	3.93E-02	2.49E-02	1.39E-02	1.89E-02	2.00E-03	5.65E-02	3.87E-03	4.73E-02	1.86E-02	1.20E-02	1.22E-02	1.00E-02	5.90E-03	1.06E-02
