MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
AC>CA	1.35E-03	7.94E-04	9.77E-04	1.03E-03	1.91E-03	6.46E-09	4.48E-04	5.39E-09	2.71E-05	8.54E-04	5.99E-04	9.31E-04	2.97E-04	5.31E-04	7.39E-04
AC>CG	1.24E-04	1.99E-04	3.22E-04	1.99E-04	2.37E-04	7.67E-09	1.12E-04	3.59E-09	8.31E-05	4.23E-04	2.59E-04	2.31E-04	4.94E-04	7.45E-05	1.34E-04
AC>CT	4.23E-04	9.27E-04	7.23E-04	1.27E-03	1.75E-03	6.10E-05	5.90E-04	5.43E-09	7.73E-05	1.00E-03	7.30E-04	8.62E-04	4.77E-04	6.65E-04	1.13E-03
AC>GA	4.59E-04	1.16E-03	1.54E-03	1.34E-03	9.81E-04	3.03E-05	6.04E-04	5.60E-09	8.49E-05	1.79E-03	1.23E-03	1.48E-03	8.03E-04	1.54E-03	1.31E-03
AC>GG	1.61E-04	2.19E-04	3.43E-04	1.73E-04	1.00E-04	7.67E-09	1.33E-04	3.61E-09	8.68E-05	4.53E-04	2.46E-04	1.97E-04	5.13E-04	8.10E-05	1.83E-04
AC>GT	6.03E-04	6.85E-04	4.75E-04	3.45E-04	4.89E-04	1.34E-04	8.11E-04	1.39E-04	8.48E-05	3.92E-04	4.52E-04	5.90E-04	3.23E-04	3.58E-04	3.58E-04
AC>TA	4.01E-04	1.11E-03	5.79E-04	6.73E-04	7.24E-04	1.46E-04	5.84E-04	1.39E-04	8.92E-05	4.83E-04	4.67E-04	6.34E-04	4.33E-04	5.16E-04	7.10E-04
AC>TG	1.10E-07	1.68E-07	1.47E-07	1.95E-07	2.19E-07	7.77E-09	1.38E-07	2.17E-09	2.79E-08	1.64E-07	1.02E-07	1.52E-07	1.05E-07	1.55E-07	1.32E-07
AC>TT	9.58E-04	1.28E-03	1.28E-03	1.80E-03	2.57E-03	6.63E-09	2.22E-03	5.58E-09	1.06E-04	1.88E-03	8.47E-04	1.75E-03	7.65E-04	6.35E-04	8.67E-04
AT>CA	2.99E-04	5.66E-04	7.29E-04	5.53E-04	5.12E-04	6.04E-09	4.55E-04	3.48E-09	2.23E-05	6.26E-04	3.51E-04	5.11E-04	3.05E-04	7.01E-04	2.70E-04
AT>CC	2.22E-05	5.48E-05	1.19E-04	1.24E-04	1.70E-04	7.33E-09	8.01E-05	2.26E-09	2.66E-05	5.29E-05	1.37E-05	8.13E-05	1.71E-05	7.13E-05	1.27E-04
AT>CG	1.10E-07	1.68E-07	1.47E-07	1.95E-07	2.19E-07	7.77E-09	1.38E-07	2.17E-09	2.79E-08	1.64E-07	1.02E-07	1.52E-07	1.05E-07	1.55E-07	1.32E-07
AT>GA	4.87E-04	9.58E-04	8.35E-04	1.16E-03	8.19E-04	3.36E-05	8.10E-04	5.07E-09	2.03E-05	1.10E-03	4.87E-04	1.39E-03	7.15E-04	9.03E-04	8.80E-04
AT>GC	2.02E-04	3.57E-04	5.86E-04	9.58E-04	5.30E-04	6.44E-09	1.93E-04	1.42E-04	2.82E-05	4.42E-04	1.45E-04	3.82E-04	2.48E-04	2.90E-04	3.15E-04
AT>TA	5.95E-04	1.98E-03	9.42E-04	1.02E-03	1.20E-03	1.81E-04	4.07E-04	5.69E-09	9.72E-05	1.12E-03	8.61E-04	1.23E-03	1.20E-03	8.24E-04	8.25E-04
CC>AA	1.73E-03	2.14E-03	1.75E-03	9.20E-04	1.10E-03	8.71E-04	1.82E-03	6.14E-04	1.94E-04	9.82E-04	5.55E-03	2.05E-03	1.38E-03	1.75E-03	1.65E-03
CC>AG	7.61E-04	1.48E-03	1.38E-03	1.42E-03	1.00E-03	3.24E-04	6.09E-04	2.60E-04	1.27E-04	1.28E-03	9.10E-04	1.11E-03	9.14E-04	1.28E-03	1.16E-03
CC>AT	2.19E-03	2.61E-03	1.63E-03	1.54E-03	1.87E-03	5.28E-04	6.92E-04	2.07E-04	5.95E-05	1.02E-03	1.93E-03	1.47E-03	2.15E-03	1.63E-03	6.27E-03
CC>GA	4.89E-04	8.92E-04	1.02E-03	9.28E-04	1.03E-03	1.45E-04	5.92E-04	5.33E-09	1.17E-05	9.20E-04	1.39E-03	1.34E-03	3.80E-04	8.80E-04	8.69E-04
CC>GG	3.03E-04	5.60E-04	7.46E-04	9.88E-04	6.05E-04	1.51E-04	3.21E-04	5.24E-09	1.47E-04	1.18E-03	4.14E-04	6.93E-04	1.05E-03	3.37E-04	4.21E-04
CC>GT	1.53E-03	1.37E-03	1.51E-03	1.85E-03	1.71E-03	1.45E-04	5.67E-04	5.30E-09	1.81E-04	1.54E-03	1.17E-03	2.78E-03	1.36E-03	1.09E-03	2.04E-03
CC>TA	4.67E-04	1.04E-03	1.21E-03	8.38E-04	9.58E-04	4.87E-04	1.01E-03	1.40E-04	3.28E-04	1.47E-03	1.10E-03	2.19E-03	6.91E-03	4.80E-04	1.32E-03
CC>TG	4.22E-04	6.52E-04	1.06E-03	5.13E-03	8.75E-04	6.29E-09	1.33E-03	1.48E-04	3.10E-05	7.02E-04	3.77E-04	1.61E-03	1.18E-03	6.55E-04	1.05E-03
CC>TT	1.60E-03	1.48E-03	7.55E-03	2.30E-03	1.76E-03	1.60E-03	1.04E-03	1.44E-04	1.43E-03	8.13E-03	1.55E-03	1.73E-03	2.52E-03	1.51E-03	1.51E-03
CG>AT	2.23E-04	3.38E-04	4.22E-04	4.85E-04	1.79E-04	6.42E-09	6.27E-05	1.45E-04	1.90E-08	2.74E-04	2.64E-04	3.28E-04	1.77E-04	3.66E-04	4.18E-04
