Samples	DBS78A
PGENE_1T	10
PGENE_2T	1
PGENE_4T	118
PGENE_5T	4
PGENE_8T	23
PGENE_9T	6
PGENE_10T	5
AC_WGS_1T	5
AC_WGS_2T	231
AC_WGS_4	20
AC_WGS_5	215
AC_WGS_6	30
AC_WGS_9T	14
AC_WGS_10	20
AC_WGS_44	1
AC_WGS_12	8
AC_WGS_13T	11
AC_WGS_15	3
AC_WGS_17	18
AC_WGS_22	4
AC_WGS_23	57
AC_WGS_25	9
AC_WGS_26	2
AC_WGS_27	9
AC_WGS_30	9
AC_WGS_32	27
AC_WGS_33	248
AC_WGS_34	24
AC_WGS_35	1
AC_WGS_36	13
AC_WGS_39	9
AC_WGS_41	39
AC_WGS_49	9
AC_WGS_50	59
AC_WGS_51	15
AC_WGS_52	19
AC_WGS_53	6
AC_WGS_11	12
AC_WGS_37	6
RC596TH1	10
RC597TH1	6
RC598TH1	6
RC599TH1	9
RC602TH1	19
RC603TH1	345
