Samples	DBS78A
PGENE_1T	0.00E+00
PGENE_2T	0.00E+00
PGENE_4T	0.00E+00
PGENE_5T	0.00E+00
PGENE_8T	0.00E+00
PGENE_9T	0.00E+00
PGENE_10T	0.00E+00
AC_WGS_1T	0.00E+00
AC_WGS_2T	0.00E+00
AC_WGS_4	0.00E+00
AC_WGS_5	0.00E+00
AC_WGS_6	0.00E+00
AC_WGS_9T	0.00E+00
AC_WGS_10	0.00E+00
AC_WGS_44	0.00E+00
AC_WGS_12	0.00E+00
AC_WGS_13T	0.00E+00
AC_WGS_15	0.00E+00
AC_WGS_17	0.00E+00
AC_WGS_22	0.00E+00
AC_WGS_23	0.00E+00
AC_WGS_25	0.00E+00
AC_WGS_26	0.00E+00
AC_WGS_27	0.00E+00
AC_WGS_30	0.00E+00
AC_WGS_32	0.00E+00
AC_WGS_33	0.00E+00
AC_WGS_34	0.00E+00
AC_WGS_35	0.00E+00
AC_WGS_36	0.00E+00
AC_WGS_39	0.00E+00
AC_WGS_41	0.00E+00
AC_WGS_49	0.00E+00
AC_WGS_50	0.00E+00
AC_WGS_51	0.00E+00
AC_WGS_52	0.00E+00
AC_WGS_53	0.00E+00
AC_WGS_11	0.00E+00
AC_WGS_37	0.00E+00
RC596TH1	0.00E+00
RC597TH1	0.00E+00
RC598TH1	0.00E+00
RC599TH1	0.00E+00
RC602TH1	0.00E+00
RC603TH1	0.00E+00
