Samples	DBS78A	DBS78B
PGENE_1T	10	0
PGENE_2T	1	0
PGENE_4T	118	0
PGENE_5T	0	4
PGENE_8T	17	6
PGENE_9T	3	3
PGENE_10T	0	5
AC_WGS_1T	1	4
AC_WGS_2T	50	181
AC_WGS_4	20	0
AC_WGS_5	0	215
AC_WGS_6	17	13
AC_WGS_9T	1	13
AC_WGS_10	14	6
AC_WGS_44	0	1
AC_WGS_12	7	1
AC_WGS_13T	1	10
AC_WGS_15	3	0
AC_WGS_17	12	6
AC_WGS_22	3	1
AC_WGS_23	53	4
AC_WGS_25	5	4
AC_WGS_26	2	0
AC_WGS_27	6	3
AC_WGS_30	1	8
AC_WGS_32	9	18
AC_WGS_33	243	5
AC_WGS_34	9	15
AC_WGS_35	1	0
AC_WGS_36	7	6
AC_WGS_39	1	8
AC_WGS_41	24	15
AC_WGS_49	6	3
AC_WGS_50	10	49
AC_WGS_51	11	4
AC_WGS_52	18	1
AC_WGS_53	6	0
AC_WGS_11	5	7
AC_WGS_37	4	2
RC596TH1	8	2
RC597TH1	5	1
RC598TH1	6	0
RC599TH1	6	3
RC602TH1	16	3
RC603TH1	345	0
