Samples	DBS78A	DBS78B	DBS78C
PGENE_1T	1.04E-01	2.08E-02	1.02E-01
PGENE_2T	0.00E+00	0.00E+00	0.00E+00
PGENE_4T	5.49E-02	5.51E-02	1.00E-03
PGENE_5T	1.25E-02	4.95E-02	5.00E-02
PGENE_8T	1.39E-01	4.10E-02	1.42E-01
PGENE_9T	4.07E-02	3.02E-02	5.01E-02
PGENE_10T	9.29E-03	2.45E-03	9.60E-03
AC_WGS_1T	5.69E-02	2.60E-02	5.88E-02
AC_WGS_2T	2.15E-01	7.49E-01	7.70E-01
AC_WGS_4	7.97E-02	2.03E-02	8.08E-02
AC_WGS_5	0.00E+00	0.00E+00	0.00E+00
AC_WGS_6	1.49E-01	7.92E-02	1.66E-01
AC_WGS_9T	3.92E-02	2.63E-02	4.71E-02
AC_WGS_10	1.24E-01	5.58E-02	1.38E-01
AC_WGS_44	1.56E-02	1.00E-03	1.56E-02
AC_WGS_12	5.07E-02	3.16E-02	4.97E-02
AC_WGS_13T	2.83E-02	4.55E-02	5.28E-02
AC_WGS_15	1.68E-02	1.03E-02	1.36E-02
AC_WGS_17	1.14E-01	3.42E-02	1.20E-01
AC_WGS_22	4.01E-02	0.00E+00	4.01E-02
AC_WGS_23	1.62E-01	0.00E+00	1.62E-01
AC_WGS_25	7.65E-02	3.38E-02	8.10E-02
AC_WGS_26	2.47E-02	0.00E+00	2.45E-02
AC_WGS_27	7.18E-02	0.00E+00	7.18E-02
AC_WGS_30	8.54E-02	7.44E-02	1.07E-01
AC_WGS_32	7.49E-02	4.12E-03	7.52E-02
AC_WGS_33	7.03E-01	5.38E-03	7.03E-01
AC_WGS_34	7.12E-02	0.00E+00	7.12E-02
AC_WGS_35	0.00E+00	0.00E+00	0.00E+00
AC_WGS_36	1.09E-01	5.01E-02	1.19E-01
AC_WGS_39	5.87E-02	6.45E-02	8.62E-02
AC_WGS_41	1.54E-01	4.03E-02	1.60E-01
AC_WGS_49	6.31E-02	2.96E-02	6.57E-02
AC_WGS_50	1.30E-01	2.63E-01	2.90E-01
AC_WGS_51	8.19E-02	6.45E-02	1.02E-01
AC_WGS_52	1.11E-01	0.00E+00	1.11E-01
AC_WGS_53	5.52E-02	4.81E-02	4.30E-02
AC_WGS_11	8.07E-02	1.14E-02	8.10E-02
AC_WGS_37	6.13E-02	9.27E-03	6.20E-02
RC596TH1	1.20E-01	6.20E-02	1.26E-01
RC597TH1	7.41E-02	3.04E-02	7.52E-02
RC598TH1	3.83E-02	2.85E-02	2.61E-02
RC599TH1	8.11E-02	4.79E-03	8.09E-02
RC602TH1	1.09E-01	7.66E-02	1.26E-01
RC603TH1	3.66E-01	9.75E-02	3.58E-01
