MutationType	DBS78A	DBS78B	DBS78C
AC>CA	1.01E-04	1.31E-05	1.68E-04
AC>CG	3.46E-05	6.24E-09	5.85E-08
AC>CT	1.00E-04	4.40E-05	1.14E-04
AC>GA	6.23E-05	5.06E-05	1.70E-04
AC>GG	3.34E-05	6.33E-09	6.02E-08
AC>GT	8.19E-05	1.55E-04	8.10E-05
AC>TA	1.02E-04	1.59E-04	1.04E-04
AC>TG	8.15E-09	7.62E-09	1.76E-08
AC>TT	1.43E-04	1.55E-05	1.32E-04
AT>CA	4.09E-05	3.98E-05	6.07E-05
AT>CC	3.52E-05	6.44E-09	5.75E-08
AT>CG	8.15E-09	7.62E-09	1.76E-08
AT>GA	9.79E-05	3.32E-05	1.81E-04
AT>GC	4.67E-05	1.35E-04	1.04E-05
AT>TA	9.44E-05	6.15E-05	1.97E-04
CC>AA	1.93E-04	6.69E-04	6.22E-04
CC>AG	9.06E-05	4.67E-04	2.98E-04
CC>AT	2.27E-04	2.18E-04	5.17E-04
CC>GA	5.11E-05	1.16E-05	1.81E-04
CC>GG	6.80E-05	3.70E-05	7.28E-05
CC>GT	1.34E-04	2.92E-06	2.55E-04
CC>TA	2.25E-04	1.65E-04	5.10E-04
CC>TG	1.59E-04	2.17E-04	2.49E-04
CC>TT	1.11E-03	1.46E-04	3.63E-04
CG>AT	4.40E-05	1.34E-04	6.12E-05
CG>GC	8.15E-09	7.62E-09	1.76E-08
CG>GT	1.65E-08	1.04E-04	2.53E-08
CG>TA	8.15E-09	7.62E-09	1.76E-08
CG>TC	3.32E-05	1.48E-04	6.02E-05
CG>TT	3.36E-05	6.26E-09	7.38E-08
CT>AA	1.42E-05	8.47E-04	7.41E-04
CT>AC	4.59E-08	1.85E-03	3.76E-08
CT>AG	3.23E-05	1.58E-04	2.47E-04
CT>GA	6.95E-09	6.75E-05	1.59E-04
CT>GC	3.62E-05	3.11E-05	6.66E-05
CT>GG	5.80E-05	6.05E-05	1.25E-04
CT>TA	1.20E-04	7.07E-08	2.81E-04
CT>TC	1.54E-04	2.61E-05	2.76E-04
CT>TG	8.38E-05	3.39E-05	1.38E-04
GC>AA	2.37E-04	1.73E-04	5.15E-04
GC>AG	1.27E-04	3.54E-04	3.23E-04
GC>AT	5.27E-05	4.87E-06	2.28E-04
GC>CA	7.42E-05	2.25E-04	2.07E-04
GC>CG	8.15E-09	7.62E-09	1.76E-08
GC>TA	6.18E-05	1.77E-04	1.67E-04
TA>AT	9.94E-05	1.63E-04	1.68E-04
TA>CG	3.39E-05	6.34E-09	7.23E-08
TA>CT	8.85E-05	1.26E-04	1.67E-04
TA>GC	8.15E-09	7.62E-09	1.76E-08
TA>GG	8.15E-09	7.62E-09	1.76E-08
TA>GT	5.99E-05	4.31E-09	3.44E-08
TC>AA	5.82E-05	3.34E-04	5.44E-04
TC>AG	8.13E-05	1.54E-05	2.98E-04
TC>AT	2.02E-04	1.01E-08	4.67E-04
TC>CA	1.15E-04	4.91E-06	2.49E-04
TC>CG	1.61E-05	1.47E-04	6.15E-05
TC>CT	1.32E-04	1.45E-04	2.67E-04
TC>GA	4.09E-05	1.79E-04	1.76E-04
TC>GG	4.14E-05	3.61E-05	5.99E-05
TC>GT	9.48E-05	1.42E-04	2.27E-04
TG>AA	8.84E-05	1.94E-04	2.02E-04
TG>AC	7.43E-05	3.38E-09	6.92E-05
TG>AT	2.12E-04	4.12E-04	3.75E-04
TG>CA	9.37E-05	1.03E-05	2.99E-05
TG>CC	6.13E-05	1.67E-04	2.97E-05
TG>CT	2.34E-04	2.03E-04	5.30E-04
TG>GA	7.11E-05	1.16E-05	6.33E-05
TG>GC	3.43E-05	5.92E-09	7.66E-08
TG>GT	9.53E-05	1.05E-03	7.03E-04
TT>AA	1.28E-04	1.93E-04	2.07E-04
TT>AC	6.97E-05	5.25E-05	1.34E-04
TT>AG	5.18E-05	5.49E-05	1.38E-04
TT>CA	1.08E-04	1.84E-05	1.65E-04
TT>CC	1.07E-04	8.88E-05	1.55E-04
TT>CG	5.96E-05	4.46E-09	3.97E-08
TT>GA	8.26E-05	1.75E-04	9.64E-05
TT>GC	3.37E-05	6.48E-09	5.73E-08
TT>GG	8.98E-06	3.25E-05	1.23E-04
