Samples	DBS78A	DBS78B	DBS78C	DBS78D
PGENE_1T	5	1	0	4
PGENE_2T	1	0	0	0
PGENE_4T	115	0	3	0
PGENE_5T	0	4	0	0
PGENE_8T	10	7	1	5
PGENE_9T	1	1	0	4
PGENE_10T	0	5	0	0
AC_WGS_1T	0	2	0	3
AC_WGS_2T	26	164	41	0
AC_WGS_4	16	4	0	0
AC_WGS_5	0	0	215	0
AC_WGS_6	8	8	2	12
AC_WGS_9T	0	11	0	3
AC_WGS_10	7	8	0	5
AC_WGS_44	0	0	0	1
AC_WGS_12	6	1	0	1
AC_WGS_13T	0	4	0	7
AC_WGS_15	3	0	0	0
AC_WGS_17	5	7	0	6
AC_WGS_22	1	2	0	1
AC_WGS_23	39	18	0	0
AC_WGS_25	2	2	0	5
AC_WGS_26	1	0	0	1
AC_WGS_27	2	7	0	0
AC_WGS_30	0	0	0	9
AC_WGS_32	2	9	0	16
AC_WGS_33	166	0	0	82
AC_WGS_34	2	16	0	6
AC_WGS_35	1	0	0	0
AC_WGS_36	3	5	0	5
AC_WGS_39	0	7	0	2
AC_WGS_41	9	10	0	20
AC_WGS_49	2	7	0	0
AC_WGS_50	5	25	12	17
AC_WGS_51	7	4	1	3
AC_WGS_52	11	1	0	7
AC_WGS_53	6	0	0	0
AC_WGS_11	2	6	0	4
AC_WGS_37	2	2	0	2
RC596TH1	2	0	0	8
RC597TH1	2	0	0	4
RC598TH1	5	0	0	1
RC599TH1	2	2	0	5
RC602TH1	10	5	1	3
RC603TH1	298	16	5	26
