Samples	DBS78A	DBS78B	DBS78C	DBS78D
PGENE_1T	1.05E-01	9.20E-02	1.16E-01	1.30E-02
PGENE_2T	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PGENE_4T	6.93E-02	0.00E+00	3.98E-02	5.93E-02
PGENE_5T	5.37E-03	4.56E-02	2.61E-02	3.92E-02
PGENE_8T	1.20E-01	1.70E-01	1.65E-01	3.70E-02
PGENE_9T	3.30E-02	7.70E-02	7.44E-02	2.55E-02
PGENE_10T	5.91E-03	3.34E-02	3.29E-02	2.83E-03
AC_WGS_1T	2.51E-02	6.13E-02	6.38E-02	1.40E-02
AC_WGS_2T	2.70E-01	5.76E-01	2.02E-01	4.49E-01
AC_WGS_4	8.29E-02	8.68E-02	6.51E-02	1.94E-02
AC_WGS_5	0.00E+00	0.00E+00	0.00E+00	0.00E+00
AC_WGS_6	9.96E-02	1.93E-01	2.08E-01	6.39E-02
AC_WGS_9T	2.06E-02	1.48E-01	1.46E-01	1.78E-02
AC_WGS_10	1.08E-01	1.73E-01	1.61E-01	4.49E-02
AC_WGS_44	7.57E-03	1.20E-02	1.34E-02	0.00E+00
AC_WGS_12	5.60E-02	5.04E-02	4.51E-02	2.95E-02
AC_WGS_13T	0.00E+00	1.27E-01	1.28E-01	3.45E-02
AC_WGS_15	2.74E-02	4.46E-03	2.70E-02	5.65E-03
AC_WGS_17	9.52E-02	1.52E-01	1.54E-01	2.00E-02
AC_WGS_22	3.58E-02	4.75E-02	3.93E-02	0.00E+00
AC_WGS_23	1.69E-01	1.85E-01	1.68E-01	0.00E+00
AC_WGS_25	5.79E-02	8.98E-02	1.00E-01	1.35E-02
AC_WGS_26	2.24E-02	1.62E-02	2.40E-02	0.00E+00
AC_WGS_27	6.35E-02	8.36E-02	6.01E-02	0.00E+00
AC_WGS_30	4.67E-02	1.13E-01	1.21E-01	3.62E-02
AC_WGS_32	5.52E-02	3.06E-01	3.08E-01	0.00E+00
AC_WGS_33	7.18E-01	5.81E-02	7.29E-01	0.00E+00
AC_WGS_34	6.21E-02	1.93E-01	1.88E-01	0.00E+00
AC_WGS_35	0.00E+00	0.00E+00	0.00E+00	0.00E+00
AC_WGS_36	9.61E-02	1.21E-01	1.32E-01	3.78E-02
AC_WGS_39	3.83E-02	1.13E-01	1.04E-01	4.51E-02
AC_WGS_41	1.13E-01	2.44E-01	2.60E-01	2.00E-03
AC_WGS_49	5.14E-02	7.63E-02	6.85E-02	1.70E-02
AC_WGS_50	9.22E-02	3.78E-01	3.50E-01	1.97E-01
AC_WGS_51	7.49E-02	1.17E-01	9.90E-02	5.63E-02
AC_WGS_52	1.15E-01	8.89E-02	1.19E-01	0.00E+00
AC_WGS_53	5.48E-02	4.19E-02	4.28E-02	4.21E-02
AC_WGS_11	6.36E-02	1.28E-01	1.27E-01	4.89E-03
AC_WGS_37	5.07E-02	6.07E-02	6.18E-02	2.82E-03
RC596TH1	8.74E-02	1.04E-01	1.28E-01	3.24E-02
RC597TH1	5.41E-02	6.09E-02	7.51E-02	1.47E-02
RC598TH1	5.50E-02	2.29E-02	4.50E-02	2.73E-02
RC599TH1	5.11E-02	1.04E-01	1.07E-01	0.00E+00
RC602TH1	1.01E-01	1.38E-01	9.65E-02	6.35E-02
RC603TH1	6.08E-01	3.97E-01	6.10E-01	9.02E-02
