Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
PGENE_1T	4	0	0	6	0
PGENE_2T	1	0	0	0	0
PGENE_4T	115	0	3	0	0
PGENE_5T	0	4	0	0	0
PGENE_8T	8	0	1	14	0
PGENE_9T	1	0	0	3	2
PGENE_10T	0	4	0	1	0
AC_WGS_1T	0	0	0	5	0
AC_WGS_2T	23	167	41	0	0
AC_WGS_4	15	5	0	0	0
AC_WGS_5	0	0	215	0	0
AC_WGS_6	7	3	2	12	6
AC_WGS_9T	0	7	0	7	0
AC_WGS_10	5	1	0	14	0
AC_WGS_44	0	0	0	0	1
AC_WGS_12	4	0	0	4	0
AC_WGS_13T	0	3	0	4	4
AC_WGS_15	2	0	0	1	0
AC_WGS_17	4	0	0	14	0
AC_WGS_22	1	0	0	3	0
AC_WGS_23	36	14	0	7	0
AC_WGS_25	2	2	0	0	5
AC_WGS_26	1	0	0	0	1
AC_WGS_27	2	3	0	4	0
AC_WGS_30	0	0	0	1	8
AC_WGS_32	1	10	0	0	16
AC_WGS_33	155	0	0	0	93
AC_WGS_34	2	10	0	8	4
AC_WGS_35	1	0	0	0	0
AC_WGS_36	2	3	0	6	2
AC_WGS_39	0	3	0	6	0
AC_WGS_41	8	10	0	0	21
AC_WGS_49	2	5	0	2	0
AC_WGS_50	4	22	12	9	12
AC_WGS_51	7	4	1	0	3
AC_WGS_52	9	0	0	9	1
AC_WGS_53	5	0	0	1	0
AC_WGS_11	1	4	0	6	1
AC_WGS_37	2	1	0	2	1
RC596TH1	1	0	0	9	0
RC597TH1	1	0	0	2	3
RC598TH1	4	0	0	2	0
RC599TH1	1	1	0	2	5
RC602TH1	10	4	0	3	2
RC603TH1	271	0	5	65	4
