Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
PGENE_1T	1.19E-01	5.15E-02	1.03E-01	7.66E-02	4.24E-03
PGENE_2T	1.41E-03	0.00E+00	0.00E+00	1.41E-03	0.00E+00
PGENE_4T	2.20E-01	3.74E-03	2.06E-02	2.25E-01	5.80E-02
PGENE_5T	2.20E-02	4.47E-02	2.43E-02	1.73E-03	3.47E-02
PGENE_8T	1.94E-01	1.65E-01	1.32E-01	1.09E-01	3.44E-02
PGENE_9T	7.13E-02	6.71E-02	6.99E-02	3.07E-02	2.07E-02
PGENE_10T	6.87E-02	6.88E-02	1.79E-02	0.00E+00	0.00E+00
AC_WGS_1T	7.00E-02	4.93E-02	6.25E-02	0.00E+00	5.56E-03
AC_WGS_2T	1.82E-01	5.23E-01	1.12E-01	3.44E-01	3.27E-01
AC_WGS_4	6.53E-02	9.16E-02	6.23E-02	9.11E-02	1.73E-02
AC_WGS_5	0.00E+00	0.00E+00	0.00E+00	3.16E-03	3.16E-03
AC_WGS_6	2.60E-01	1.50E-01	2.32E-01	9.44E-02	6.10E-02
AC_WGS_9T	1.51E-01	1.46E-01	9.86E-02	8.00E-03	1.66E-02
AC_WGS_10	1.83E-01	1.52E-01	1.12E-01	8.99E-02	2.49E-02
AC_WGS_44	1.42E-02	9.49E-03	1.54E-02	2.82E-03	0.00E+00
AC_WGS_12	6.56E-02	4.24E-02	3.84E-02	6.12E-02	2.59E-02
AC_WGS_13T	1.21E-01	1.16E-01	1.22E-01	0.00E+00	2.68E-02
AC_WGS_15	2.64E-02	0.00E+00	2.32E-02	2.92E-02	0.00E+00
AC_WGS_17	1.61E-01	1.20E-01	9.79E-02	7.15E-02	1.20E-02
AC_WGS_22	4.56E-02	4.67E-02	3.25E-02	3.12E-02	0.00E+00
AC_WGS_23	2.97E-01	2.27E-01	1.41E-01	1.83E-01	0.00E+00
AC_WGS_25	6.07E-02	8.79E-02	1.01E-01	5.31E-02	6.85E-03
AC_WGS_26	1.46E-02	1.44E-02	2.39E-02	2.24E-02	0.00E+00
AC_WGS_27	9.26E-02	1.04E-01	4.76E-02	5.50E-02	0.00E+00
AC_WGS_30	1.25E-01	5.84E-02	1.20E-01	1.37E-02	1.87E-02
AC_WGS_32	2.39E-01	2.68E-01	3.08E-01	5.30E-02	0.00E+00
AC_WGS_33	4.22E-01	0.00E+00	1.03E+00	1.00E+00	0.00E+00
AC_WGS_34	2.39E-01	2.39E-01	1.60E-01	5.48E-02	0.00E+00
AC_WGS_35	1.41E-03	0.00E+00	0.00E+00	1.41E-03	0.00E+00
AC_WGS_36	1.29E-01	1.04E-01	1.16E-01	8.21E-02	2.97E-02
AC_WGS_39	1.09E-01	1.16E-01	8.31E-02	2.36E-02	3.24E-02
AC_WGS_41	2.30E-01	2.70E-01	2.80E-01	1.17E-01	0.00E+00
AC_WGS_49	9.34E-02	9.04E-02	6.14E-02	4.60E-02	9.19E-03
AC_WGS_50	3.89E-01	3.48E-01	3.09E-01	8.50E-02	1.92E-01
AC_WGS_51	8.37E-02	1.18E-01	9.71E-02	7.16E-02	5.41E-02
AC_WGS_52	1.22E-01	6.30E-02	1.18E-01	1.08E-01	0.00E+00
AC_WGS_53	5.64E-02	3.23E-02	3.25E-02	5.32E-02	2.57E-02
AC_WGS_11	1.31E-01	1.17E-01	9.30E-02	4.52E-02	4.00E-03
AC_WGS_37	5.94E-02	4.95E-02	5.88E-02	4.61E-02	2.82E-03
RC596TH1	1.30E-01	6.08E-02	1.22E-01	4.72E-02	1.54E-02
RC597TH1	7.01E-02	3.64E-02	7.34E-02	4.07E-02	5.36E-03
RC598TH1	6.88E-02	1.24E-02	3.48E-02	6.76E-02	1.66E-02
RC599TH1	8.40E-02	9.48E-02	1.09E-01	4.24E-02	0.00E+00
RC602TH1	1.15E-01	1.36E-01	8.79E-02	1.02E-01	5.88E-02
RC603TH1	8.27E-01	2.37E-01	3.81E-01	7.16E-01	8.91E-02
