Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
PGENE_1T	4	0	0	6	0	0
PGENE_2T	1	0	0	0	0	0
PGENE_4T	109	3	0	0	0	6
PGENE_5T	0	0	4	0	0	0
PGENE_8T	7	1	0	0	0	15
PGENE_9T	0	0	0	4	2	0
PGENE_10T	0	0	3	0	0	2
AC_WGS_1T	0	0	0	0	0	5
AC_WGS_2T	20	39	172	0	0	0
AC_WGS_4	14	0	3	0	0	3
AC_WGS_5	0	215	0	0	0	0
AC_WGS_6	6	2	3	15	4	0
AC_WGS_9T	0	0	5	9	0	0
AC_WGS_10	5	0	1	13	0	1
AC_WGS_44	0	0	0	0	1	0
AC_WGS_12	4	0	0	0	0	4
AC_WGS_13T	0	0	3	5	3	0
AC_WGS_15	2	0	0	1	0	0
AC_WGS_17	4	0	0	14	0	0
AC_WGS_22	1	0	0	0	0	3
AC_WGS_23	34	0	11	5	0	7
AC_WGS_25	2	0	2	0	4	1
AC_WGS_26	1	0	0	0	1	0
AC_WGS_27	1	0	0	0	0	8
AC_WGS_30	0	0	0	1	8	0
AC_WGS_32	1	0	7	0	15	4
AC_WGS_33	151	0	0	0	97	0
AC_WGS_34	2	0	9	8	4	1
AC_WGS_35	1	0	0	0	0	0
AC_WGS_36	2	0	0	0	1	10
AC_WGS_39	0	0	0	0	0	9
AC_WGS_41	7	0	8	0	19	5
AC_WGS_49	2	0	3	0	0	4
AC_WGS_50	3	11	20	18	7	0
AC_WGS_51	7	0	4	1	3	0
AC_WGS_52	9	0	0	6	1	3
AC_WGS_53	5	0	0	1	0	0
AC_WGS_11	1	0	3	0	1	7
AC_WGS_37	2	0	1	2	1	0
RC596TH1	1	0	0	1	0	8
RC597TH1	1	0	0	1	2	2
RC598TH1	4	0	0	2	0	0
RC599TH1	1	0	0	0	3	5
RC602TH1	9	0	1	0	1	8
RC603TH1	265	5	0	72	3	0
