Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
PGENE_1T	9.18E-02	9.81E-02	4.17E-02	6.04E-02	3.74E-03	1.19E-01
PGENE_2T	0.00E+00	2.00E-03	0.00E+00	2.44E-03	0.00E+00	1.41E-03
PGENE_4T	2.86E-02	3.27E-01	1.00E-03	3.85E-01	5.72E-02	2.17E-01
PGENE_5T	2.48E-02	2.85E-02	4.63E-02	3.74E-03	2.94E-02	1.87E-02
PGENE_8T	1.04E-01	2.13E-01	1.33E-01	9.94E-02	3.52E-02	1.60E-01
PGENE_9T	6.51E-02	3.86E-02	6.08E-02	2.94E-02	1.81E-02	7.12E-02
PGENE_10T	1.33E-02	7.24E-02	7.11E-02	0.00E+00	0.00E+00	6.33E-02
AC_WGS_1T	5.68E-02	6.65E-02	3.41E-02	5.00E-03	2.00E-03	6.16E-02
AC_WGS_2T	7.17E-02	2.96E-01	6.87E-01	3.89E-01	3.56E-01	1.47E-01
AC_WGS_4	5.13E-02	9.07E-02	8.45E-02	9.26E-02	9.46E-03	4.99E-02
AC_WGS_5	0.00E+00	0.00E+00	0.00E+00	4.24E-03	4.24E-03	0.00E+00
AC_WGS_6	2.16E-01	1.83E-01	1.20E-01	9.10E-02	5.92E-02	2.64E-01
AC_WGS_9T	8.05E-02	1.24E-01	1.31E-01	4.00E-03	1.08E-02	1.51E-01
AC_WGS_10	9.86E-02	1.70E-01	1.18E-01	8.58E-02	1.77E-02	1.88E-01
AC_WGS_44	1.57E-02	8.73E-03	7.74E-03	2.82E-03	0.00E+00	1.43E-02
AC_WGS_12	2.88E-02	6.03E-02	3.13E-02	5.73E-02	2.43E-02	5.45E-02
AC_WGS_13T	1.10E-01	1.03E-01	1.12E-01	0.00E+00	1.97E-02	1.24E-01
AC_WGS_15	2.12E-02	1.85E-02	0.00E+00	2.87E-02	0.00E+00	2.46E-02
AC_WGS_17	7.58E-02	1.36E-01	8.43E-02	6.93E-02	1.38E-02	1.57E-01
AC_WGS_22	2.87E-02	4.68E-02	3.79E-02	2.89E-02	0.00E+00	3.73E-02
AC_WGS_23	1.12E-01	3.22E-01	1.93E-01	1.66E-01	0.00E+00	2.67E-01
AC_WGS_25	9.78E-02	7.77E-02	7.45E-02	5.33E-02	1.00E-03	5.16E-02
AC_WGS_26	2.39E-02	1.51E-02	1.16E-02	2.33E-02	0.00E+00	1.31E-02
AC_WGS_27	3.00E-02	1.03E-01	9.73E-02	4.78E-02	0.00E+00	6.90E-02
AC_WGS_30	1.06E-01	1.14E-01	4.59E-02	7.00E-03	1.53E-02	1.28E-01
AC_WGS_32	2.92E-01	2.85E-01	2.17E-01	4.90E-02	0.00E+00	2.40E-01
AC_WGS_33	1.19E+00	4.93E-01	0.00E+00	1.17E+00	0.00E+00	5.53E-01
AC_WGS_34	1.53E-01	2.47E-01	2.28E-01	4.83E-02	0.00E+00	2.32E-01
AC_WGS_35	0.00E+00	2.00E-03	0.00E+00	2.44E-03	0.00E+00	1.41E-03
AC_WGS_36	1.05E-01	1.33E-01	8.82E-02	6.71E-02	2.40E-02	1.07E-01
AC_WGS_39	6.24E-02	1.10E-01	9.21E-02	1.30E-02	2.73E-02	8.22E-02
AC_WGS_41	2.83E-01	3.00E-01	2.50E-01	1.26E-01	0.00E+00	2.09E-01
AC_WGS_49	5.13E-02	9.88E-02	8.66E-02	4.33E-02	8.87E-03	7.80E-02
AC_WGS_50	2.92E-01	3.24E-01	3.22E-01	7.92E-02	1.66E-01	4.29E-01
AC_WGS_51	8.66E-02	6.62E-02	1.19E-01	7.26E-02	4.12E-02	9.07E-02
AC_WGS_52	1.10E-01	1.02E-01	3.68E-02	1.02E-01	0.00E+00	1.17E-01
AC_WGS_53	2.53E-02	4.49E-02	2.54E-02	5.00E-02	2.09E-02	5.12E-02
AC_WGS_11	7.68E-02	1.35E-01	9.57E-02	3.53E-02	0.00E+00	1.24E-01
AC_WGS_37	5.50E-02	3.48E-02	4.44E-02	4.37E-02	3.00E-03	5.84E-02
RC596TH1	1.03E-01	1.23E-01	3.45E-02	4.11E-02	5.19E-03	1.21E-01
RC597TH1	6.79E-02	6.46E-02	2.62E-02	3.50E-02	5.83E-03	6.74E-02
RC598TH1	3.00E-02	5.62E-02	1.47E-02	6.40E-02	1.25E-02	6.61E-02
RC599TH1	1.06E-01	1.07E-01	8.71E-02	3.53E-02	2.00E-03	6.48E-02
RC602TH1	6.72E-02	1.22E-01	1.28E-01	9.57E-02	5.12E-02	8.95E-02
RC603TH1	3.62E-01	5.92E-01	1.86E-01	7.55E-01	8.81E-02	9.00E-01
