Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
PGENE_1T	3	0	0	3	0	4	0
PGENE_2T	1	0	0	0	0	0	0
PGENE_4T	106	3	0	0	0	0	9
PGENE_5T	0	0	4	0	0	0	0
PGENE_8T	7	1	0	0	0	0	15
PGENE_9T	0	0	0	5	1	0	0
PGENE_10T	0	0	0	0	0	5	0
AC_WGS_1T	0	0	0	0	0	5	0
AC_WGS_2T	17	35	176	0	0	0	3
AC_WGS_4	14	0	3	0	0	0	3
AC_WGS_5	0	215	0	0	0	0	0
AC_WGS_6	6	1	2	16	3	0	2
AC_WGS_9T	0	0	5	8	0	1	0
AC_WGS_10	5	0	0	12	0	1	2
AC_WGS_44	0	0	0	0	1	0	0
AC_WGS_12	4	0	0	0	0	4	0
AC_WGS_13T	0	0	2	4	2	3	0
AC_WGS_15	2	0	0	1	0	0	0
AC_WGS_17	3	0	0	10	0	5	0
AC_WGS_22	1	0	0	0	0	3	0
AC_WGS_23	31	0	3	0	0	23	0
AC_WGS_25	1	0	2	0	5	0	1
AC_WGS_26	1	0	0	0	1	0	0
AC_WGS_27	1	0	0	0	0	0	8
AC_WGS_30	0	0	0	1	7	1	0
AC_WGS_32	1	0	8	1	12	1	4
AC_WGS_33	148	0	0	0	100	0	0
AC_WGS_34	2	0	5	4	3	10	0
AC_WGS_35	1	0	0	0	0	0	0
AC_WGS_36	2	0	0	0	2	0	9
AC_WGS_39	0	0	0	0	0	2	7
AC_WGS_41	7	0	4	0	16	12	0
AC_WGS_49	2	0	0	0	0	7	0
AC_WGS_50	3	10	21	21	4	0	0
AC_WGS_51	7	0	4	2	2	0	0
AC_WGS_52	7	0	0	6	1	0	5
AC_WGS_53	4	0	0	1	0	1	0
AC_WGS_11	1	0	2	0	0	8	1
AC_WGS_37	2	0	1	3	0	0	0
RC596TH1	1	0	0	0	0	9	0
RC597TH1	1	0	0	1	2	1	1
RC598TH1	3	0	0	3	0	0	0
RC599TH1	1	0	0	0	2	0	6
RC602TH1	8	0	1	0	1	5	4
RC603TH1	260	4	0	65	1	13	2
