Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
PGENE_1T	7.09E-02	5.54E-02	1.09E-01	8.39E-02	2.23E-02	1.41E-03	1.14E-01
PGENE_2T	1.41E-03	1.41E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PGENE_4T	3.36E-01	3.43E-01	6.49E-02	1.22E-02	0.00E+00	5.92E-02	3.00E-02
PGENE_5T	2.87E-02	1.00E-03	2.53E-02	2.32E-02	4.82E-02	2.61E-02	2.01E-02
PGENE_8T	2.09E-01	9.75E-02	1.05E-01	7.42E-02	6.27E-02	3.26E-02	1.33E-01
PGENE_9T	3.33E-02	3.01E-02	4.90E-02	6.07E-02	5.36E-02	1.75E-02	7.09E-02
PGENE_10T	3.97E-02	0.00E+00	7.18E-02	9.63E-03	5.88E-02	0.00E+00	4.41E-02
AC_WGS_1T	5.36E-02	0.00E+00	6.82E-02	5.04E-02	2.23E-02	0.00E+00	5.21E-02
AC_WGS_2T	2.25E-01	4.00E-01	1.35E-01	4.50E-02	8.09E-01	4.88E-01	1.09E-01
AC_WGS_4	8.48E-02	8.49E-02	6.56E-02	3.91E-02	7.06E-02	7.26E-03	3.11E-02
AC_WGS_5	0.00E+00	3.31E-03	0.00E+00	0.00E+00	0.00E+00	3.31E-03	0.00E+00
AC_WGS_6	2.08E-01	8.61E-02	1.63E-01	2.01E-01	1.03E-01	5.41E-02	2.61E-01
AC_WGS_9T	8.99E-02	0.00E+00	1.38E-01	5.55E-02	1.21E-01	9.81E-03	1.50E-01
AC_WGS_10	1.63E-01	8.25E-02	1.60E-01	7.38E-02	8.20E-02	1.11E-02	1.76E-01
AC_WGS_44	8.96E-03	2.23E-03	8.33E-03	1.58E-02	6.70E-03	0.00E+00	1.47E-02
AC_WGS_12	4.78E-02	5.37E-02	6.01E-02	2.15E-02	2.34E-02	2.25E-02	4.61E-02
AC_WGS_13T	8.50E-02	0.00E+00	1.15E-01	1.13E-01	9.32E-02	1.57E-02	1.17E-01
AC_WGS_15	1.98E-02	2.67E-02	1.36E-02	1.68E-02	0.00E+00	0.00E+00	2.22E-02
AC_WGS_17	9.45E-02	6.55E-02	1.52E-01	6.05E-02	6.69E-02	7.03E-03	1.53E-01
AC_WGS_22	3.71E-02	2.79E-02	4.65E-02	2.19E-02	3.13E-02	0.00E+00	2.47E-02
AC_WGS_23	1.42E-01	1.72E-01	3.08E-01	9.99E-02	1.52E-01	0.00E+00	1.82E-01
AC_WGS_25	7.42E-02	4.85E-02	6.80E-02	9.07E-02	7.09E-02	0.00E+00	4.80E-02
AC_WGS_26	8.52E-03	2.33E-02	1.90E-02	2.36E-02	7.68E-03	0.00E+00	1.07E-02
AC_WGS_27	9.01E-02	4.48E-02	4.48E-02	1.69E-02	6.58E-02	0.00E+00	5.28E-02
AC_WGS_30	9.90E-02	8.00E-03	1.12E-01	9.35E-02	2.77E-02	3.60E-03	1.26E-01
AC_WGS_32	2.72E-01	4.57E-02	2.68E-01	2.75E-01	1.81E-01	0.00E+00	2.22E-01
AC_WGS_33	5.66E-01	1.37E+00	6.45E-01	1.41E+00	0.00E+00	0.00E+00	4.16E-01
AC_WGS_34	1.69E-01	4.79E-02	2.72E-01	1.22E-01	2.07E-01	0.00E+00	1.98E-01
AC_WGS_35	1.41E-03	1.41E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
AC_WGS_36	1.28E-01	5.29E-02	6.14E-02	9.58E-02	5.57E-02	2.21E-02	9.69E-02
AC_WGS_39	1.10E-01	0.00E+00	9.16E-02	4.72E-02	6.31E-02	2.18E-02	6.54E-02
AC_WGS_41	1.93E-01	1.26E-01	3.00E-01	2.81E-01	2.01E-01	0.00E+00	1.46E-01
AC_WGS_49	5.81E-02	4.30E-02	9.73E-02	4.04E-02	6.93E-02	2.24E-03	5.19E-02
AC_WGS_50	2.95E-01	7.43E-02	2.80E-01	2.56E-01	3.28E-01	1.61E-01	4.61E-01
AC_WGS_51	6.27E-02	7.19E-02	6.25E-02	7.84E-02	1.17E-01	3.56E-02	9.61E-02
AC_WGS_52	9.87E-02	9.67E-02	5.44E-02	1.05E-01	1.34E-02	0.00E+00	1.16E-01
AC_WGS_53	4.17E-02	4.80E-02	4.11E-02	1.88E-02	1.95E-02	1.52E-02	4.78E-02
AC_WGS_11	1.11E-01	3.12E-02	1.31E-01	5.57E-02	8.04E-02	0.00E+00	1.07E-01
AC_WGS_37	3.38E-02	4.34E-02	3.36E-02	4.71E-02	3.70E-02	0.00E+00	5.95E-02
RC596TH1	1.00E-01	3.39E-02	1.25E-01	8.60E-02	2.93E-02	5.00E-03	1.06E-01
RC597TH1	5.81E-02	3.20E-02	5.73E-02	5.97E-02	1.96E-02	4.35E-03	6.41E-02
RC598TH1	5.63E-02	5.77E-02	4.04E-02	2.06E-02	1.24E-02	1.02E-02	6.69E-02
RC599TH1	1.13E-01	3.42E-02	4.61E-02	1.05E-01	6.63E-02	0.00E+00	6.18E-02
RC602TH1	1.22E-01	9.31E-02	1.11E-01	5.05E-02	1.17E-01	4.40E-02	7.88E-02
RC603TH1	5.41E-01	8.22E-01	7.16E-01	3.72E-01	1.54E-01	8.74E-02	1.09E+00
