Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
PGENE_1T	4	0	0	0	2	3	1	0
PGENE_2T	1	0	0	0	0	0	0	0
PGENE_4T	106	3	0	0	0	0	0	9
PGENE_5T	0	0	4	0	0	0	0	0
PGENE_8T	7	1	0	0	1	0	0	14
PGENE_9T	0	0	0	1	5	0	0	0
PGENE_10T	0	0	0	0	0	5	0	0
AC_WGS_1T	0	0	0	0	0	0	5	0
AC_WGS_2T	14	29	184	0	0	0	0	4
AC_WGS_4	13	0	2	0	0	2	0	3
AC_WGS_5	0	214	0	0	0	1	0	0
AC_WGS_6	6	2	0	3	11	5	0	3
AC_WGS_9T	0	0	3	0	6	5	0	0
AC_WGS_10	5	0	0	0	9	4	0	2
AC_WGS_44	0	0	0	1	0	0	0	0
AC_WGS_12	3	0	0	0	0	0	5	0
AC_WGS_13T	0	0	0	2	4	5	0	0
AC_WGS_15	2	0	0	0	1	0	0	0
AC_WGS_17	3	0	0	0	9	2	4	0
AC_WGS_22	1	0	0	0	0	0	3	0
AC_WGS_23	31	0	0	0	0	23	3	0
AC_WGS_25	1	0	1	3	0	0	4	0
AC_WGS_26	1	0	0	1	0	0	0	0
AC_WGS_27	1	0	0	0	0	0	0	8
AC_WGS_30	0	0	0	7	0	2	0	0
AC_WGS_32	0	0	7	12	0	0	6	2
AC_WGS_33	143	0	0	105	0	0	0	0
AC_WGS_34	1	0	0	2	3	18	0	0
AC_WGS_35	1	0	0	0	0	0	0	0
AC_WGS_36	1	0	0	2	1	0	0	9
AC_WGS_39	0	0	0	0	0	0	5	4
AC_WGS_41	6	0	2	16	0	12	3	0
AC_WGS_49	2	0	0	0	0	6	1	0
AC_WGS_50	2	9	23	4	21	0	0	0
AC_WGS_51	6	0	4	2	3	0	0	0
AC_WGS_52	9	0	0	0	6	0	0	4
AC_WGS_53	4	0	0	0	1	1	0	0
AC_WGS_11	1	0	1	0	0	0	10	0
AC_WGS_37	2	0	1	0	3	0	0	0
RC596TH1	1	0	0	0	0	0	9	0
RC597TH1	1	0	0	3	0	0	1	1
RC598TH1	4	0	0	0	2	0	0	0
RC599TH1	1	0	0	3	0	0	0	5
RC602TH1	7	0	1	0	0	0	9	2
RC603TH1	255	4	0	1	59	3	21	2
