Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
PGENE_1T	1.07E-01	0.00E+00	4.81E-02	9.58E-02	5.76E-02	7.45E-02	1.73E-02	1.09E-01
PGENE_2T	0.00E+00	0.00E+00	2.23E-03	0.00E+00	2.23E-03	0.00E+00	0.00E+00	0.00E+00
PGENE_4T	6.97E-02	5.55E-02	3.93E-01	1.12E-01	3.86E-01	3.29E-02	1.81E-02	5.10E-02
PGENE_5T	3.19E-02	1.95E-02	0.00E+00	2.25E-02	2.66E-02	2.24E-02	4.89E-02	1.89E-02
PGENE_8T	9.60E-02	3.18E-02	9.32E-02	9.32E-02	1.98E-01	6.34E-02	2.19E-02	1.14E-01
PGENE_9T	5.18E-02	1.33E-02	2.82E-02	3.69E-02	3.27E-02	5.65E-02	4.48E-02	7.13E-02
PGENE_10T	6.89E-02	0.00E+00	0.00E+00	4.87E-02	2.50E-02	1.13E-02	4.46E-02	3.17E-02
AC_WGS_1T	5.05E-02	0.00E+00	0.00E+00	6.71E-02	4.18E-02	4.54E-02	1.51E-02	3.66E-02
AC_WGS_2T	3.69E-01	5.92E-01	4.03E-01	1.13E-01	1.53E-01	4.80E-02	1.00E+00	5.92E-02
AC_WGS_4	6.41E-02	6.40E-03	8.74E-02	5.25E-02	8.72E-02	4.72E-02	6.20E-02	2.67E-02
AC_WGS_5	4.00E-03	4.47E-03	2.00E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
AC_WGS_6	1.94E-01	5.15E-02	9.24E-02	1.47E-01	2.01E-01	1.94E-01	7.09E-02	2.57E-01
AC_WGS_9T	1.47E-01	7.50E-03	0.00E+00	9.08E-02	7.91E-02	6.43E-02	1.03E-01	1.49E-01
AC_WGS_10	1.67E-01	1.15E-02	7.95E-02	1.08E-01	1.58E-01	6.00E-02	6.14E-02	1.68E-01
AC_WGS_44	8.23E-03	0.00E+00	0.00E+00	9.32E-03	8.82E-03	1.55E-02	4.43E-03	1.48E-02
AC_WGS_12	3.13E-02	1.88E-02	5.43E-02	6.62E-02	3.43E-02	1.16E-02	2.05E-02	3.37E-02
AC_WGS_13T	1.23E-01	1.01E-02	0.00E+00	8.06E-02	7.58E-02	1.02E-01	8.24E-02	1.19E-01
AC_WGS_15	1.32E-02	0.00E+00	2.82E-02	1.65E-02	1.99E-02	1.69E-02	0.00E+00	2.09E-02
AC_WGS_17	1.38E-01	6.06E-03	6.57E-02	1.24E-01	8.09E-02	5.29E-02	3.69E-02	1.51E-01
AC_WGS_22	3.56E-02	0.00E+00	2.76E-02	4.55E-02	3.30E-02	1.89E-02	1.90E-02	1.75E-02
AC_WGS_23	3.00E-01	0.00E+00	1.86E-01	2.31E-01	7.51E-02	9.79E-02	1.01E-01	1.36E-01
AC_WGS_25	5.09E-02	1.00E-03	4.66E-02	8.42E-02	6.23E-02	8.75E-02	5.76E-02	3.86E-02
AC_WGS_26	2.12E-02	0.00E+00	2.36E-02	1.21E-02	7.07E-03	2.30E-02	7.33E-03	1.16E-02
AC_WGS_27	4.66E-02	0.00E+00	4.41E-02	3.44E-02	8.32E-02	9.85E-03	4.28E-02	4.14E-02
AC_WGS_30	1.14E-01	3.31E-03	0.00E+00	1.01E-01	8.71E-02	8.53E-02	2.28E-02	1.19E-01
AC_WGS_32	2.40E-01	0.00E+00	4.53E-02	2.97E-01	2.35E-01	2.52E-01	1.35E-01	1.94E-01
AC_WGS_33	1.21E+00	0.00E+00	1.75E+00	1.18E+00	9.43E-01	1.74E+00	0.00E+00	9.40E-01
AC_WGS_34	2.71E-01	0.00E+00	4.72E-02	1.40E-01	1.24E-01	1.19E-01	1.66E-01	1.73E-01
AC_WGS_35	0.00E+00	0.00E+00	2.23E-03	0.00E+00	2.23E-03	0.00E+00	0.00E+00	0.00E+00
AC_WGS_36	4.68E-02	2.00E-02	5.02E-02	8.20E-02	1.24E-01	8.29E-02	4.14E-02	9.00E-02
AC_WGS_39	4.71E-02	1.78E-02	0.00E+00	1.05E-01	1.03E-01	3.20E-02	4.47E-02	4.93E-02
AC_WGS_41	3.17E-01	0.00E+00	1.32E-01	2.46E-01	1.64E-01	3.09E-01	1.51E-01	1.44E-01
