Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
PGENE_1T	3	0	0	0	1	2	1	0	3
PGENE_2T	1	0	0	0	0	0	0	0	0
PGENE_4T	106	3	0	0	0	0	0	9	0
PGENE_5T	0	0	3	0	0	1	0	0	0
PGENE_8T	7	1	0	0	1	0	0	14	0
PGENE_9T	1	0	0	1	4	0	0	0	0
PGENE_10T	0	0	0	0	0	5	0	0	0
AC_WGS_1T	0	0	0	0	0	0	5	0	0
AC_WGS_2T	14	21	190	0	0	1	1	4	0
AC_WGS_4	13	0	2	0	0	2	0	3	0
AC_WGS_5	0	214	0	0	0	1	0	0	0
AC_WGS_6	6	2	0	3	12	5	0	2	0
AC_WGS_9T	0	0	3	0	6	5	0	0	0
AC_WGS_10	5	0	0	0	10	3	0	2	0
AC_WGS_44	0	0	0	1	0	0	0	0	0
AC_WGS_12	3	0	0	0	0	0	5	0	0
AC_WGS_13T	0	0	0	3	4	4	0	0	0
AC_WGS_15	2	0	0	0	0	0	0	0	1
AC_WGS_17	3	0	0	0	9	2	4	0	0
AC_WGS_22	1	0	0	0	0	0	3	0	0
AC_WGS_23	32	0	0	0	0	21	4	0	0
AC_WGS_25	1	0	1	2	0	0	2	0	3
AC_WGS_26	1	0	0	1	0	0	0	0	0
AC_WGS_27	1	0	0	0	0	1	0	7	0
AC_WGS_30	0	0	0	9	0	0	0	0	0
AC_WGS_32	0	0	4	12	0	0	2	1	8
AC_WGS_33	147	0	0	101	0	0	0	0	0
AC_WGS_34	2	0	0	4	3	15	0	0	0
AC_WGS_35	1	0	0	0	0	0	0	0	0
AC_WGS_36	2	0	0	2	1	0	0	8	0
AC_WGS_39	0	0	0	0	0	0	5	4	0
AC_WGS_41	8	0	1	17	0	10	3	0	0
AC_WGS_49	2	0	0	0	0	5	2	0	0
AC_WGS_50	0	8	20	0	17	0	0	0	14
AC_WGS_51	4	0	3	0	1	0	0	0	7
AC_WGS_52	8	0	0	0	6	0	1	4	0
AC_WGS_53	5	0	0	0	0	0	0	0	1
AC_WGS_11	1	0	3	0	0	0	8	0	0
AC_WGS_37	1	0	0	0	4	0	0	0	1
RC596TH1	1	0	0	0	0	0	9	0	0
RC597TH1	0	0	0	0	0	0	0	1	5
RC598TH1	4	0	0	0	1	0	0	0	1
RC599TH1	1	0	0	3	0	0	0	5	0
RC602TH1	8	0	2	1	0	0	6	2	0
RC603TH1	254	4	0	0	54	3	18	3	9
