Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
PGENE_1T	7.24E-02	9.32E-02	5.00E-02	9.43E-02	6.09E-02	0.00E+00	9.83E-02	8.98E-03	1.04E-01
PGENE_2T	1.00E-03	1.73E-03	2.64E-03	1.00E-03	1.41E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PGENE_4T	1.33E-01	3.61E-01	4.78E-01	1.48E-01	3.01E-01	5.66E-02	1.20E-01	1.00E-03	5.22E-02
PGENE_5T	2.33E-02	2.14E-02	1.00E-03	2.11E-02	2.72E-02	1.60E-02	2.07E-02	5.04E-02	3.33E-02
PGENE_8T	6.05E-02	1.26E-01	9.67E-02	8.28E-02	2.04E-01	3.32E-02	1.02E-01	2.05E-02	8.88E-02
PGENE_9T	5.21E-02	4.33E-02	2.96E-02	2.96E-02	2.96E-02	1.35E-02	7.10E-02	3.55E-02	5.06E-02
PGENE_10T	1.57E-02	2.38E-02	0.00E+00	4.75E-02	1.91E-02	0.00E+00	2.86E-02	3.49E-02	6.52E-02
AC_WGS_1T	4.25E-02	2.98E-02	0.00E+00	6.57E-02	3.83E-02	0.00E+00	3.25E-02	6.91E-03	4.34E-02
AC_WGS_2T	8.23E-02	6.51E-02	3.99E-01	7.32E-02	1.55E-01	6.09E-01	6.73E-02	1.05E+00	4.05E-01
AC_WGS_4	4.64E-02	7.01E-02	9.40E-02	4.72E-02	7.51E-02	3.16E-03	2.78E-02	5.49E-02	6.60E-02
AC_WGS_5	0.00E+00	0.00E+00	5.08E-03	4.00E-03	0.00E+00	6.45E-03	0.00E+00	0.00E+00	0.00E+00
AC_WGS_6	1.83E-01	2.00E-01	9.34E-02	1.06E-01	1.91E-01	5.05E-02	2.58E-01	5.36E-02	1.68E-01
AC_WGS_9T	8.68E-02	8.72E-02	0.00E+00	6.86E-02	6.31E-02	7.77E-03	1.48E-01	8.73E-02	1.41E-01
AC_WGS_10	8.09E-02	1.14E-01	7.64E-02	8.62E-02	1.57E-01	4.58E-03	1.67E-01	4.56E-02	1.52E-01
AC_WGS_44	1.44E-02	1.17E-02	0.00E+00	7.86E-03	9.58E-03	0.00E+00	1.42E-02	4.43E-03	8.18E-03
AC_WGS_12	1.54E-02	2.42E-02	5.23E-02	6.30E-02	2.97E-02	1.67E-02	2.81E-02	1.29E-02	2.22E-02
AC_WGS_13T	1.07E-01	8.13E-02	0.00E+00	8.05E-02	7.03E-02	7.71E-03	1.12E-01	7.66E-02	1.17E-01
AC_WGS_15	1.10E-02	1.98E-02	2.83E-02	1.46E-02	2.05E-02	0.00E+00	2.05E-02	1.41E-03	8.44E-03
AC_WGS_17	4.13E-02	8.16E-02	6.41E-02	1.19E-01	7.00E-02	5.81E-03	1.46E-01	2.35E-02	1.35E-01
AC_WGS_22	1.93E-02	2.14E-02	2.77E-02	4.52E-02	2.90E-02	0.00E+00	1.48E-02	1.26E-02	3.46E-02
AC_WGS_23	9.88E-02	1.39E-01	1.80E-01	2.11E-01	9.83E-02	0.00E+00	1.25E-01	6.21E-02	2.94E-01
AC_WGS_25	8.22E-02	8.11E-02	4.74E-02	8.00E-02	5.01E-02	1.00E-03	3.66E-02	4.78E-02	3.38E-02
