Samples	DBS78A	DBS78B	DBS78C
PGENE_1T	0	10	0
PGENE_2T	1	0	0
PGENE_4T	118	0	0
PGENE_5T	0	4	0
PGENE_8T	12	11	0
PGENE_9T	0	6	0
PGENE_10T	0	5	0
AC_WGS_1T	0	5	0
AC_WGS_2T	30	158	43
AC_WGS_4	20	0	0
AC_WGS_5	0	0	215
AC_WGS_6	11	19	0
AC_WGS_9T	0	14	0
AC_WGS_10	8	12	0
AC_WGS_44	0	1	0
AC_WGS_12	6	2	0
AC_WGS_13T	0	11	0
AC_WGS_15	3	0	0
AC_WGS_17	6	12	0
AC_WGS_22	2	2	0
AC_WGS_23	42	15	0
AC_WGS_25	3	6	0
AC_WGS_26	2	0	0
AC_WGS_27	2	7	0
AC_WGS_30	0	9	0
AC_WGS_32	0	27	0
AC_WGS_33	216	32	0
AC_WGS_34	3	21	0
AC_WGS_35	1	0	0
AC_WGS_36	4	9	0
AC_WGS_39	0	9	0
AC_WGS_41	13	26	0
AC_WGS_49	3	6	0
AC_WGS_50	6	39	14
AC_WGS_51	9	6	0
AC_WGS_52	14	5	0
AC_WGS_53	6	0	0
AC_WGS_11	2	10	0
AC_WGS_37	3	3	0
RC596TH1	0	10	0
RC597TH1	3	3	0
RC598TH1	6	0	0
RC599TH1	2	7	0
RC602TH1	12	7	0
RC603TH1	345	0	0
