Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.114	18.281	182.81%	3.894	112.41%	3.2668
PGENE_2T	1	0.996	0.682	68.2%	0.346	34.6%	0.4172
PGENE_4T	118	0.997	59.782	50.663%	19.477	20.245%	0.4668
PGENE_5T	4	0.439	6.445	161.125%	1.797	89.85%	1.9426
PGENE_8T	23	0.824	23.479	102.083%	5.242	57.538%	1.3603
PGENE_9T	6	0.489	9.728	162.133%	2.767	87.5%	2.0093
PGENE_10T	5	0.452	8.317	166.34%	2.361	89.237%	1.875
AC_WGS_1T	5	0.23	9.105	182.1%	2.623	99.14%	2.7995
AC_WGS_2T	231	0.942	92.931	40.23%	20.66	34.699%	0.1844
AC_WGS_4	20	0.986	11.844	59.22%	2.502	17.604%	0.7403
AC_WGS_5	215	0.998	27.886	12.97%	13.315	10.264%	0.019
AC_WGS_6	30	0.87	25.203	84.01%	4.35	51.992%	1.0467
AC_WGS_9T	14	0.759	14.29	102.071%	3.086	65.794%	1.0272
AC_WGS_10	20	0.842	18.565	92.825%	3.677	54.214%	0.9873
AC_WGS_44	1	0.055	1.976	197.6%	1.012	101.2%	4.4044
AC_WGS_12	8	0.869	7.352	91.9%	2.323	49.527%	1.1998
AC_WGS_13T	11	0.519	13.734	124.855%	2.923	88.132%	1.4848
AC_WGS_15	3	0.899	1.974	65.8%	0.979	43.782%	1.1141
AC_WGS_17	18	0.798	17.6	97.778%	3.715	60.265%	0.9235
AC_WGS_22	4	0.573	5.385	134.625%	1.663	83.15%	1.7447
AC_WGS_23	57	0.986	29.873	52.409%	6.144	19.285%	0.3812
AC_WGS_25	9	0.7	10.821	120.233%	2.574	71.39%	1.3532
AC_WGS_26	2	0.72	1.942	97.1%	1.028	72.691%	1.6318
AC_WGS_27	9	0.581	11.124	123.6%	3.962	82.613%	1.343
AC_WGS_30	9	0.193	15.537	172.633%	3.524	106.253%	2.6019
AC_WGS_32	27	0.725	25.854	95.756%	5.389	68.999%	0.953
AC_WGS_33	248	0.995	78.64	31.71%	14.965	10.917%	0.1646
AC_WGS_34	24	0.795	20.981	87.421%	3.751	60.849%	0.7172
AC_WGS_35	1	0.996	0.682	68.2%	0.346	34.6%	0.4172
AC_WGS_36	13	0.629	14.89	114.538%	3.602	78.602%	1.313
AC_WGS_39	9	0.424	13.563	150.7%	3.298	91.47%	1.8695
AC_WGS_41	39	0.894	28.98	74.308%	5.727	45.135%	0.6016
AC_WGS_49	9	0.709	10.578	117.533%	2.545	70.586%	1.3106
AC_WGS_50	59	0.87	39.823	67.497%	7.089	49.755%	0.4599
AC_WGS_51	15	0.929	13.434	89.56%	3.087	39.525%	0.8833
AC_WGS_52	19	0.94	14.929	78.574%	3.365	34.166%	0.7835
AC_WGS_53	6	0.868	5.84	97.333%	1.968	56.811%	1.674
AC_WGS_11	12	0.525	15.267	127.225%	3.258	87.074%	1.4304
AC_WGS_37	6	0.789	6.449	107.483%	1.742	61.589%	1.2413
RC596TH1	10	0.185	17.96	179.6%	3.98	106.37%	2.6839
RC597TH1	6	0.457	9.189	153.15%	2.403	98.102%	2.2433
RC598TH1	6	0.718	7.702	128.367%	2.764	97.722%	2.1246
RC599TH1	9	0.43	13.537	150.411%	3.069	92.534%	1.8309
RC602TH1	19	0.933	14.763	77.7%	3.207	36.082%	0.8066
RC603TH1	345	0.999	72.79	21.099%	14.978	6.898%	0.1512
