Samples	DBS1	DBS2	DBS4	DBS5	DBS6	DBS9	DBS11	DBS78C
PGENE_1T	0	0	0	0	0	3	7	0
PGENE_2T	1	0	0	0	0	0	0	0
PGENE_4T	118	0	0	0	0	0	0	0
PGENE_5T	0	0	2	2	0	0	0	0
PGENE_8T	0	0	0	0	0	0	23	0
PGENE_9T	0	0	0	0	4	0	2	0
PGENE_10T	0	0	2	0	0	3	0	0
AC_WGS_1T	0	0	4	0	0	1	0	0
AC_WGS_2T	0	35	34	60	0	0	74	28
AC_WGS_4	15	0	0	0	0	0	5	0
AC_WGS_5	0	0	0	0	0	0	0	215
AC_WGS_6	0	2	4	0	5	0	19	0
AC_WGS_9T	0	4	4	0	3	3	0	0
AC_WGS_10	0	0	0	0	2	3	15	0
AC_WGS_44	0	0	0	0	0	0	1	0
AC_WGS_12	5	0	3	0	0	0	0	0
AC_WGS_13T	0	0	3	0	4	4	0	0
AC_WGS_15	2	0	0	0	0	0	1	0
AC_WGS_17	0	0	5	0	0	0	13	0
AC_WGS_22	0	0	1	0	0	0	3	0
AC_WGS_23	38	3	10	0	6	0	0	0
AC_WGS_25	0	3	1	0	0	0	5	0
AC_WGS_26	1	0	0	0	1	0	0	0
AC_WGS_27	0	0	0	0	0	0	9	0
AC_WGS_30	0	0	0	0	7	2	0	0
AC_WGS_32	0	8	0	0	7	4	8	0
AC_WGS_33	156	0	0	0	45	0	47	0
AC_WGS_34	0	0	5	0	5	5	9	0
AC_WGS_35	1	0	0	0	0	0	0	0
AC_WGS_36	0	2	0	0	2	0	9	0
AC_WGS_39	0	3	4	0	0	0	2	0
AC_WGS_41	12	6	7	0	14	0	0	0
AC_WGS_49	2	0	5	0	2	0	0	0
AC_WGS_50	0	10	0	11	10	0	16	12
AC_WGS_51	9	3	0	0	3	0	0	0
AC_WGS_52	10	0	2	0	0	0	7	0
AC_WGS_53	3	0	0	0	0	3	0	0
AC_WGS_11	1	2	3	0	0	6	0	0
AC_WGS_37	0	1	0	0	0	0	5	0
RC596TH1	1	0	3	0	0	6	0	0
RC597TH1	0	0	0	0	0	2	4	0
RC598TH1	0	0	0	0	0	0	6	0
RC599TH1	0	0	0	0	0	2	7	0
RC602TH1	10	2	3	0	0	4	0	0
RC603TH1	270	0	0	0	19	0	56	0
