Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	10	0.591	13.786	137.86%	2.896	83.6%	2.1469
PGENE_2T	1	0.999	0.284	28.4%	0.147	14.7%	0.1529
PGENE_4T	118	0.998	35.681	30.238%	8.504	8.839%	0.5319
PGENE_5T	4	0.647	4.107	102.675%	1.541	77.05%	1.6657
PGENE_8T	23	0.904	15.275	66.413%	3.9	42.808%	0.5797
PGENE_9T	6	0.589	8.068	134.467%	2.562	81.018%	1.7313
PGENE_10T	5	0.655	7.073	141.46%	2.048	77.407%	1.329
AC_WGS_1T	5	0.487	7.251	145.02%	2.443	92.337%	9.292
AC_WGS_2T	231	0.955	96.048	41.579%	18.278	30.699%	0.3114
AC_WGS_4	20	0.986	10.118	50.59%	2.419	17.02%	1.2486
AC_WGS_5	215	0.998	27.886	12.97%	13.315	10.264%	0.019
AC_WGS_6	30	0.844	24.777	82.59%	4.561	54.514%	0.8042
AC_WGS_9T	14	0.618	17.002	121.443%	3.846	81.997%	4.3079
AC_WGS_10	20	0.776	20.81	104.05%	4.312	63.577%	1.1604
AC_WGS_44	1	0.008	1.994	199.4%	1.064	106.4%	5.8126
AC_WGS_12	8	0.901	5.73	71.625%	2.063	43.983%	0.973
AC_WGS_13T	11	0.447	15.364	139.673%	3.146	94.855%	2.2218
AC_WGS_15	3	0.898	1.925	64.167%	0.986	44.095%	1.0794
AC_WGS_17	18	0.775	17.296	96.089%	3.957	64.191%	1.0833
AC_WGS_22	4	0.683	4.64	116.0%	1.468	73.4%	1.2117
AC_WGS_23	57	0.992	22.724	39.867%	4.344	13.635%	0.4295
AC_WGS_25	9	0.799	8.958	99.533%	2.171	60.213%	1.6114
AC_WGS_26	2	0.856	1.73	86.5%	0.78	55.154%	0.7185
AC_WGS_27	9	0.573	10.794	119.933%	3.975	82.884%	1.6632
AC_WGS_30	9	0.486	12.449	138.322%	3.087	93.077%	5.7543
AC_WGS_32	27	0.827	25.423	94.159%	4.5	57.617%	0.9065
AC_WGS_33	248	0.995	98.354	39.659%	19.815	14.455%	0.4392
AC_WGS_34	24	0.714	24.974	104.058%	4.383	71.102%	2.3795
AC_WGS_35	1	0.999	0.284	28.4%	0.147	14.7%	0.1529
AC_WGS_36	13	0.672	13.785	106.038%	3.465	75.612%	1.1245
AC_WGS_39	9	0.467	12.789	142.1%	3.503	97.156%	2.1885
AC_WGS_41	39	0.925	22.716	58.246%	5.012	39.5%	0.6984
AC_WGS_49	9	0.831	7.296	81.067%	2.023	56.108%	1.3784
AC_WGS_50	59	0.873	42.558	72.132%	7.738	54.31%	0.6698
AC_WGS_51	15	0.947	8.742	58.28%	2.627	33.635%	0.7387
AC_WGS_52	19	0.932	15.804	83.179%	4.033	40.949%	0.8927
AC_WGS_53	6	0.887	5.852	97.533%	1.646	47.516%	1.1699
AC_WGS_11	12	0.627	13.804	115.033%	2.949	78.815%	1.4092
AC_WGS_37	6	0.825	5.96	99.333%	1.633	57.735%	1.2083
RC596TH1	10	0.529	13.011	130.11%	3.194	85.363%	1.5238
RC597TH1	6	0.548	8.268	137.8%	2.07	84.507%	1.8116
RC598TH1	6	0.672	7.528	125.467%	2.119	74.918%	2.4347
RC599TH1	9	0.534	12.397	137.744%	2.96	89.247%	5.431
RC602TH1	19	0.924	15.452	81.326%	3.47	39.041%	1.04
RC603TH1	345	0.998	114.044	33.056%	36.832	16.963%	0.2476
