Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
PGENE_1T	576	32	203	0	0	0	0	0	0	0
PGENE_2T	880	125	0	0	0	0	0	0	0	0
PGENE_4T	812	68	193	2	0	0	0	0	0	0
PGENE_5T	7	213	703	0	0	0	0	0	0	0
PGENE_6T	380	157	238	0	0	0	0	0	0	0
PGENE_8T	36	94	514	0	0	0	0	0	0	0
PGENE_9T	499	126	331	0	0	0	0	0	0	0
PGENE_10T	654	78	363	0	0	0	0	0	0	0
AC_WGS_1T	1031	239	181	0	0	0	0	0	0	0
AC_WGS_2T	501	107	737	204	0	0	0	0	0	0
AC_WGS_4	624	151	539	0	0	0	0	0	0	0
AC_WGS_5	180	179	0	0	280	668	44	169	0	0
AC_WGS_6	1221	150	394	0	0	0	0	0	0	0
AC_WGS_9T	1513	0	260	0	0	12	0	0	0	0
AC_WGS_10	460	301	375	0	0	0	67	0	0	0
AC_WGS_44	1037	171	93	0	0	0	0	0	0	0
AC_WGS_12	826	244	0	0	0	0	0	0	0	0
AC_WGS_13T	914	298	0	61	0	0	0	0	0	0
AC_WGS_15	1253	247	11	0	0	0	0	0	0	0
AC_WGS_17	906	214	140	0	0	0	0	0	0	0
AC_WGS_18T	1070	308	0	0	0	0	0	0	0	0
AC_WGS_20T	809	272	65	0	0	0	0	0	0	0
AC_WGS_22	483	212	294	0	0	0	47	0	0	0
AC_WGS_23	982	140	215	0	0	0	222	0	0	0
AC_WGS_24	375	209	0	0	0	0	0	0	0	0
AC_WGS_25	1072	216	0	0	0	0	0	0	0	0
AC_WGS_26	850	329	0	0	0	0	0	0	0	0
AC_WGS_27	781	276	196	0	0	0	0	0	0	0
AC_WGS_30	1102	0	0	0	0	0	201	55	0	0
AC_WGS_31	1415	151	0	0	0	0	0	0	0	0
AC_WGS_32	1297	119	190	0	0	0	0	0	0	0
AC_WGS_33	397	133	778	214	0	0	0	0	0	0
AC_WGS_34	1494	174	0	0	0	0	0	0	0	0
AC_WGS_35	1188	128	46	0	0	0	0	0	0	0
AC_WGS_36	1078	237	545	0	0	0	0	0	0	0
AC_WGS_39	1494	117	201	0	0	0	21	0	0	0
AC_WGS_40	678	302	128	0	0	0	0	0	0	0
AC_WGS_41	702	218	0	58	213	0	0	0	359	0
AC_WGS_42	747	291	0	0	0	0	0	0	0	0
AC_WGS_43	1134	292	0	0	0	0	0	0	0	0
AC_WGS_45	937	166	132	0	0	0	0	0	0	0
AC_WGS_46	922	236	111	0	0	0	0	0	0	0
AC_WGS_49	690	266	108	0	0	0	0	0	0	0
AC_WGS_50	226	293	517	100	0	0	0	0	0	0
AC_WGS_51	564	159	487	0	0	0	0	0	0	0
AC_WGS_52	315	224	538	0	0	0	0	0	0	0
AC_WGS_53	621	312	52	0	0	0	0	0	0	0
AC_WGS_11	705	327	285	0	0	0	0	0	0	0
AC_WGS_37	777	221	111	0	0	0	0	0	0	0
RC596TH1	114	454	30	0	0	0	0	0	0	0
RC597TH1	0	420	191	0	0	0	0	0	0	0
RC598TH1	66	237	0	0	0	0	0	0	0	0
RC599TH1	0	0	186	4	0	0	15	229	0	0
RC602TH1	72	457	30	0	0	0	0	0	0	0
RC603TH1	193	0	0	553	253	0	38	82	0	0
