Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
PGENE_1T	2.55E+00	5.95E+00	7.24E+00	5.84E-01	3.75E+00	4.25E+00	4.89E+00	1.19E+00	1.62E+00	1.09E+00
PGENE_2T	2.21E+00	1.24E+01	1.33E+01	2.62E-01	2.22E+00	6.15E+00	6.91E+00	9.32E-01	3.32E+00	1.62E+00
PGENE_4T	3.29E+00	7.12E+00	8.32E+00	9.45E-01	4.16E+00	4.95E+00	5.31E+00	1.42E+00	2.13E+00	1.25E+00
PGENE_5T	5.93E+00	5.05E+00	4.89E+00	9.76E-01	6.62E+00	3.79E+00	5.00E+00	2.85E+00	3.99E+00	2.57E+00
PGENE_6T	2.91E+00	6.93E+00	7.17E+00	2.74E-01	3.12E+00	3.36E+00	3.99E+00	1.05E+00	2.64E+00	1.52E+00
PGENE_8T	3.41E+00	3.66E+00	3.86E+00	5.38E-01	4.60E+00	2.63E+00	3.63E+00	1.53E+00	2.45E+00	1.43E+00
PGENE_9T	3.24E+00	8.92E+00	9.52E+00	3.20E-01	4.65E+00	4.49E+00	5.69E+00	1.17E+00	2.61E+00	1.50E+00
PGENE_10T	3.50E+00	1.22E+01	1.30E+01	4.82E-01	5.01E+00	5.53E+00	6.86E+00	1.05E+00	3.05E+00	1.39E+00
AC_WGS_1T	4.20E+00	9.74E+00	1.05E+01	9.02E-01	4.80E+00	6.54E+00	6.73E+00	1.75E+00	3.79E+00	2.29E+00
AC_WGS_2T	8.05E+00	9.51E+00	8.92E+00	4.31E+00	1.11E+01	8.08E+00	9.33E+00	4.06E+00	4.50E+00	3.25E+00
AC_WGS_4	4.98E+00	1.05E+01	1.15E+01	5.26E-01	6.25E+00	5.51E+00	7.24E+00	1.78E+00	3.51E+00	1.93E+00
AC_WGS_5	5.37E+00	7.81E+00	8.22E+00	1.76E+00	5.81E+00	7.14E+00	7.65E+00	2.80E+00	3.46E+00	2.71E+00
AC_WGS_6	4.26E+00	1.07E+01	1.36E+01	1.26E+00	5.86E+00	8.19E+00	8.74E+00	1.91E+00	3.96E+00	2.25E+00
AC_WGS_9T	3.70E+00	1.23E+01	1.65E+01	7.33E-01	5.97E+00	9.72E+00	1.10E+01	1.68E+00	3.49E+00	1.53E+00
AC_WGS_10	4.93E+00	7.18E+00	7.84E+00	9.23E-01	4.94E+00	4.77E+00	5.58E+00	2.49E+00	4.11E+00	2.90E+00
AC_WGS_44	3.86E+00	1.63E+01	1.71E+01	1.05E-01	4.10E+00	7.40E+00	8.76E+00	1.36E+00	4.29E+00	2.19E+00
AC_WGS_12	3.15E+00	9.88E+00	1.04E+01	5.90E-01	2.93E+00	5.32E+00	5.53E+00	1.20E+00	3.49E+00	2.11E+00
AC_WGS_13T	3.92E+00	7.67E+00	8.32E+00	1.46E+00	4.29E+00	5.25E+00	5.50E+00	1.73E+00	3.54E+00	2.33E+00
AC_WGS_15	5.00E+00	1.42E+01	1.55E+01	5.08E-01	5.56E+00	8.24E+00	8.93E+00	1.47E+00	5.21E+00	2.67E+00
AC_WGS_17	2.99E+00	1.18E+01	1.31E+01	7.82E-01	3.27E+00	6.36E+00	7.04E+00	1.22E+00	3.46E+00	1.86E+00
AC_WGS_18T	3.73E+00	1.51E+01	1.59E+01	3.67E-01	3.51E+00	7.88E+00	8.29E+00	1.44E+00	5.11E+00	3.07E+00
AC_WGS_20T	3.49E+00	1.29E+01	1.32E+01	5.83E-01	2.88E+00	5.90E+00	6.65E+00	1.27E+00	4.39E+00	2.41E+00
AC_WGS_22	5.12E+00	6.71E+00	6.51E+00	8.61E-01	5.55E+00	4.46E+00	5.23E+00	2.05E+00	3.22E+00	2.37E+00
AC_WGS_23	6.21E+00	9.68E+00	9.30E+00	1.82E+00	7.78E+00	7.05E+00	7.92E+00	3.04E+00	4.47E+00	3.06E+00
AC_WGS_24	1.96E+00	5.47E+00	5.62E+00	1.93E-01	1.64E+00	2.56E+00	2.89E+00	6.31E-01	3.05E+00	1.70E+00
AC_WGS_25	3.42E+00	1.31E+01	1.39E+01	4.68E-01	2.87E+00	6.74E+00	7.28E+00	1.19E+00	3.70E+00	2.08E+00
AC_WGS_26	3.96E+00	1.06E+01	1.16E+01	4.41E-01	3.52E+00	6.16E+00	6.31E+00	1.39E+00	5.44E+00	3.04E+00
AC_WGS_27	3.66E+00	9.58E+00	1.10E+01	8.08E-01	4.14E+00	5.92E+00	6.26E+00	1.39E+00	4.44E+00	2.42E+00
AC_WGS_30	4.75E+00	9.54E+00	1.02E+01	1.31E+00	5.09E+00	6.52E+00	7.11E+00	2.49E+00	3.31E+00	2.46E+00
AC_WGS_31	3.63E+00	1.67E+01	1.88E+01	2.85E-01	3.46E+00	9.65E+00	1.03E+01	1.18E+00	4.72E+00	2.22E+00
AC_WGS_32	4.05E+00	1.03E+01	1.24E+01	9.79E-01	5.00E+00	8.25E+00	9.05E+00	1.74E+00	3.25E+00	2.00E+00
AC_WGS_33	5.91E+00	9.62E+00	9.78E+00	3.97E+00	7.84E+00	5.41E+00	6.65E+00	3.56E+00	4.21E+00	2.40E+00
AC_WGS_34	4.03E+00	1.22E+01	1.43E+01	1.10E+00	4.62E+00	8.72E+00	9.09E+00	1.77E+00	3.75E+00	2.23E+00
AC_WGS_35	3.20E+00	1.57E+01	1.71E+01	5.44E-01	3.32E+00	7.84E+00	8.81E+00	1.18E+00	3.32E+00	1.90E+00
AC_WGS_36	5.35E+00	1.53E+01	1.57E+01	1.17E+00	6.28E+00	8.25E+00	9.13E+00	2.51E+00	4.22E+00	2.66E+00
AC_WGS_39	4.83E+00	1.20E+01	1.50E+01	9.62E-01	5.14E+00	9.35E+00	1.01E+01	2.02E+00	3.58E+00	2.20E+00
AC_WGS_40	3.74E+00	1.29E+01	1.30E+01	2.12E-01	3.27E+00	5.52E+00	6.42E+00	1.56E+00	4.70E+00	2.76E+00
AC_WGS_41	4.40E+00	8.28E+00	9.20E+00	1.54E+00	4.90E+00	6.76E+00	6.95E+00	2.13E+00	3.14E+00	2.35E+00
AC_WGS_42	3.49E+00	1.14E+01	1.16E+01	2.03E-01	2.76E+00	4.94E+00	5.79E+00	1.04E+00	4.75E+00	2.54E+00
