MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
1:Del:C:1	1.21E-03	1.04E-03	7.39E-04	2.34E-03	1.23E-03	9.66E-04	1.06E-03	1.54E-03	9.62E-04	9.59E-04
1:Del:C:2	3.46E-04	3.16E-04	2.32E-04	5.27E-04	3.07E-04	2.71E-04	2.86E-04	5.51E-04	3.87E-04	4.86E-04
1:Del:C:3	1.72E-04	1.86E-04	1.02E-04	3.58E-04	1.68E-04	1.35E-04	1.39E-04	2.68E-04	1.92E-04	2.62E-04
1:Del:C:4	1.24E-04	9.47E-05	9.42E-05	2.05E-04	1.07E-04	1.09E-04	1.00E-04	2.19E-04	1.15E-04	1.76E-04
1:Del:C:5	1.39E-04	1.12E-04	9.86E-05	1.73E-04	1.20E-04	1.14E-04	1.08E-04	2.56E-04	1.49E-04	2.82E-04
1:Del:T:0	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
1:Del:T:1	7.72E-04	6.74E-04	5.61E-04	1.79E-03	8.01E-04	7.02E-04	7.61E-04	1.14E-03	7.24E-04	9.85E-04
1:Del:T:2	4.43E-04	4.01E-04	3.23E-04	8.21E-04	4.00E-04	4.04E-04	3.74E-04	7.31E-04	4.75E-04	5.94E-04
1:Del:T:3	3.79E-04	3.46E-04	2.80E-04	7.03E-04	3.34E-04	3.19E-04	3.29E-04	5.82E-04	3.62E-04	4.64E-04
1:Del:T:4	3.57E-04	3.40E-04	3.22E-04	6.25E-04	3.56E-04	2.98E-04	2.76E-04	6.19E-04	4.17E-04	6.02E-04
1:Del:T:5	3.12E-03	2.28E-03	1.63E-03	3.08E-03	2.38E-03	1.83E-03	2.00E-03	4.50E-03	3.71E-03	4.91E-03
1:Ins:C:0	2.52E-04	2.20E-04	1.55E-04	3.38E-04	1.95E-04	1.77E-04	1.88E-04	3.69E-04	2.31E-04	2.99E-04
1:Ins:C:1	1.34E-04	1.27E-04	1.07E-04	2.15E-04	1.12E-04	1.26E-04	1.19E-04	1.84E-04	9.99E-05	1.61E-04
1:Ins:C:2	1.45E-04	1.30E-04	1.05E-04	1.97E-04	1.03E-04	1.12E-04	1.21E-04	2.07E-04	1.76E-04	1.96E-04
1:Ins:C:3	1.21E-04	9.75E-05	8.24E-05	1.60E-04	8.14E-05	9.90E-05	8.48E-05	1.63E-04	1.08E-04	1.37E-04
1:Ins:C:4	1.14E-04	1.13E-04	9.33E-05	1.79E-04	8.49E-05	8.05E-05	8.40E-05	1.85E-04	1.38E-04	1.71E-04
1:Ins:C:5	5.67E-04	5.15E-04	4.17E-04	7.33E-04	5.37E-04	4.97E-04	5.31E-04	9.23E-04	6.31E-04	8.40E-04
1:Ins:T:0	3.46E-04	2.76E-04	2.18E-04	4.69E-04	2.70E-04	3.04E-04	2.52E-04	4.43E-04	3.36E-04	3.97E-04
1:Ins:T:1	4.86E-04	4.34E-04	3.44E-04	7.51E-04	4.36E-04	4.59E-04	4.48E-04	6.18E-04	4.97E-04	4.19E-04
1:Ins:T:2	2.89E-04	2.24E-04	1.66E-04	3.58E-04	2.17E-04	2.38E-04	1.89E-04	3.55E-04	2.62E-04	3.08E-04
1:Ins:T:3	2.55E-04	2.26E-04	1.80E-04	4.01E-04	2.33E-04	2.79E-04	1.96E-04	4.09E-04	2.49E-04	3.94E-04
1:Ins:T:4	2.32E-04	2.23E-04	1.56E-04	3.88E-04	1.96E-04	2.23E-04	1.95E-04	3.54E-04	2.30E-04	2.93E-04
1:Ins:T:5	4.69E-03	5.15E-03	4.51E-03	3.71E-03	4.39E-03	4.99E-03	4.57E-03	4.18E-03	4.11E-03	3.16E-03
2:Del:R:0	3.04E-03	2.21E-03	1.73E-03	3.05E-03	2.12E-03	1.73E-03	1.56E-03	4.00E-03	3.98E-03	4.76E-03
2:Del:R:1	9.87E-05	8.31E-05	5.36E-05	1.48E-04	6.92E-05	7.32E-05	6.30E-05	1.35E-04	9.63E-05	1.38E-04
2:Del:R:2	3.44E-05	2.06E-05	2.34E-05	9.12E-05	3.85E-05	2.47E-05	2.77E-05	6.30E-05	2.96E-05	4.47E-05
2:Del:R:3	1.03E-05	8.21E-06	9.76E-06	1.54E-05	9.40E-06	7.30E-06	5.59E-06	1.95E-05	1.80E-05	2.19E-05
2:Del:R:4	7.87E-06	9.50E-06	5.50E-06	1.47E-05	5.99E-06	4.87E-06	4.54E-06	1.04E-05	8.44E-06	1.13E-05
2:Del:R:5	5.97E-05	4.98E-05	3.75E-05	6.29E-05	4.55E-05	4.58E-05	4.80E-05	1.10E-04	1.10E-04	9.74E-05
3:Del:R:0	4.23E-04	3.07E-04	2.44E-04	4.53E-04	3.28E-04	2.68E-04	2.76E-04	6.79E-04	3.58E-04	4.92E-04
3:Del:R:1	9.25E-05	7.00E-05	6.03E-05	9.08E-05	6.30E-05	6.23E-05	5.56E-05	1.66E-04	8.08E-05	9.99E-05
3:Del:R:2	2.74E-05	1.60E-05	1.57E-05	4.50E-05	2.45E-05	1.86E-05	2.34E-05	4.29E-05	1.76E-05	3.13E-05
3:Del:R:3	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
3:Del:R:4	8.83E-06	6.47E-06	5.45E-06	9.45E-06	6.95E-06	7.24E-06	4.54E-06	1.46E-05	6.60E-06	9.26E-06
3:Del:R:5	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
4:Del:R:0	2.94E-04	2.33E-04	2.30E-04	3.92E-04	2.61E-04	2.65E-04	2.03E-04	4.77E-04	3.29E-04	4.31E-04
4:Del:R:1	2.15E-05	2.42E-05	2.09E-05	4.70E-05	2.14E-05	2.03E-05	2.20E-05	4.88E-05	2.80E-05	3.97E-05
4:Del:R:2	1.16E-05	8.45E-06	7.60E-06	1.17E-05	7.80E-06	1.22E-05	9.25E-06	2.01E-05	1.01E-05	1.65E-05
4:Del:R:3	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
4:Del:R:4	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
4:Del:R:5	2.08E-09	1.47E-09	1.14E-09	2.26E-09	1.60E-09	1.07E-09	1.23E-09	3.16E-09	2.57E-09	3.20E-09
5:Del:R:0	7.17E-04	5.88E-04	4.70E-04	9.23E-04	6.28E-04	4.90E-04	5.23E-04	1.09E-03	6.73E-04	8.80E-04
