Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
PGENE_1T	596	141	0	74	0	0	0	0	0	0	0
PGENE_2T	982	0	23	0	0	0	0	0	0	0	0
PGENE_4T	868	159	0	0	44	4	0	0	0	0	0
PGENE_5T	0	606	178	139	0	0	0	0	0	0	0
PGENE_6T	464	230	81	0	0	0	0	0	0	0	0
PGENE_8T	0	411	95	138	0	0	0	0	0	0	0
PGENE_9T	581	321	54	0	0	0	0	0	0	0	0
PGENE_10T	738	342	15	0	0	0	0	0	0	0	0
AC_WGS_1T	1002	0	146	303	0	0	0	0	0	0	0
AC_WGS_2T	422	0	160	640	44	283	0	0	0	0	0
AC_WGS_4	744	503	67	0	0	0	0	0	0	0	0
AC_WGS_5	164	132	250	24	0	0	810	140	0	0	0
AC_WGS_6	1003	0	137	620	0	5	0	0	0	0	0
AC_WGS_9T	1242	0	0	543	0	0	0	0	0	0	0
AC_WGS_10	650	305	137	0	0	0	0	111	0	0	0
AC_WGS_44	1170	86	45	0	0	0	0	0	0	0	0
AC_WGS_12	962	0	94	0	0	0	0	0	14	0	0
AC_WGS_13T	794	0	167	0	256	36	0	0	20	0	0
AC_WGS_15	1415	0	80	16	0	0	0	0	0	0	0
AC_WGS_17	1055	125	80	0	0	0	0	0	0	0	0
AC_WGS_18T	1247	0	121	0	0	0	0	0	10	0	0
AC_WGS_20T	957	65	124	0	0	0	0	0	0	0	0
AC_WGS_22	663	202	72	0	0	0	0	99	0	0	0
AC_WGS_23	1010	0	20	254	0	0	0	275	0	0	0
AC_WGS_24	472	0	112	0	0	0	0	0	0	0	0
AC_WGS_25	1221	0	67	0	0	0	0	0	0	0	0
AC_WGS_26	982	0	87	0	0	0	0	0	110	0	0
AC_WGS_27	951	171	131	0	0	0	0	0	0	0	0
AC_WGS_30	1020	0	0	22	0	0	114	202	0	0	0
AC_WGS_31	1562	0	4	0	0	0	0	0	0	0	0
AC_WGS_32	1249	0	51	306	0	0	0	0	0	0	0
AC_WGS_33	767	405	53	0	0	297	0	0	0	0	0
AC_WGS_34	1651	0	1	0	0	0	0	0	16	0	0
AC_WGS_35	1315	43	4	0	0	0	0	0	0	0	0
AC_WGS_36	1243	528	89	0	0	0	0	0	0	0	0
AC_WGS_39	1443	0	32	327	0	0	0	31	0	0	0
AC_WGS_40	829	125	154	0	0	0	0	0	0	0	0
AC_WGS_41	606	0	173	0	732	39	0	0	0	0	0
AC_WGS_42	898	0	140	0	0	0	0	0	0	0	0
AC_WGS_43	1312	0	114	0	0	0	0	0	0	0	0
AC_WGS_45	1061	125	49	0	0	0	0	0	0	0	0
AC_WGS_46	1064	111	94	0	0	0	0	0	0	0	0
AC_WGS_49	730	0	161	166	0	0	7	0	0	0	0
AC_WGS_50	544	255	167	0	0	170	0	0	0	0	0
AC_WGS_51	417	232	153	408	0	0	0	0	0	0	0
AC_WGS_52	0	103	268	706	0	0	0	0	0	0	0
AC_WGS_53	778	43	164	0	0	0	0	0	0	0	0
AC_WGS_11	663	63	238	353	0	0	0	0	0	0	0
AC_WGS_37	914	101	94	0	0	0	0	0	0	0	0
RC596TH1	287	0	263	0	0	0	0	33	15	0	0
RC597TH1	74	252	285	0	0	0	0	0	0	0	0
RC598TH1	115	0	155	0	27	0	0	0	6	0	0
RC599TH1	61	75	136	0	0	16	0	85	61	0	0
RC602TH1	197	0	316	46	0	0	0	0	0	0	0
RC603TH1	0	0	0	0	328	475	126	0	190	0	0
