Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
PGENE_1T	3.87E+00	5.50E+00	2.17E+00	6.79E+00	1.00E+00	1.40E+00	4.90E+00	1.17E+00	6.29E-01	3.11E+00	3.96E+00
PGENE_2T	3.18E+00	8.67E+00	3.09E+00	1.34E+01	9.19E-01	2.73E+00	8.32E+00	1.01E+00	2.11E-01	4.63E+00	5.98E+00
PGENE_4T	4.55E+00	6.13E+00	2.68E+00	7.83E+00	1.13E+00	1.56E+00	5.83E+00	1.56E+00	9.34E-01	4.08E+00	4.57E+00
PGENE_5T	6.26E+00	5.23E+00	5.05E+00	4.22E+00	1.39E+00	3.29E+00	3.77E+00	2.73E+00	1.26E+00	5.50E+00	3.76E+00
PGENE_6T	3.25E+00	5.04E+00	2.95E+00	7.29E+00	5.94E-01	2.11E+00	4.21E+00	1.16E+00	3.49E-01	3.62E+00	3.41E+00
PGENE_8T	4.41E+00	3.70E+00	2.84E+00	3.80E+00	7.87E-01	2.03E+00	2.69E+00	1.53E+00	7.70E-01	3.26E+00	2.47E+00
PGENE_9T	4.53E+00	6.76E+00	3.30E+00	9.77E+00	6.94E-01	2.16E+00	5.61E+00	1.37E+00	4.41E-01	4.33E+00	4.49E+00
PGENE_10T	5.57E+00	8.68E+00	3.73E+00	1.31E+01	7.02E-01	2.62E+00	7.02E+00	1.39E+00	6.93E-01	5.04E+00	5.77E+00
AC_WGS_1T	5.04E+00	7.32E+00	3.99E+00	1.04E+01	1.69E+00	3.32E+00	7.26E+00	1.78E+00	8.73E-01	6.18E+00	6.26E+00
AC_WGS_2T	1.05E+01	8.62E+00	6.48E+00	8.78E+00	3.25E+00	3.91E+00	8.85E+00	4.03E+00	4.46E+00	8.52E+00	7.33E+00
AC_WGS_4	6.49E+00	8.59E+00	4.39E+00	1.15E+01	9.41E-01	3.05E+00	6.58E+00	1.62E+00	9.38E-01	5.46E+00	5.56E+00
AC_WGS_5	6.12E+00	7.55E+00	4.07E+00	7.43E+00	2.56E+00	2.83E+00	6.62E+00	2.80E+00	1.76E+00	6.09E+00	6.88E+00
AC_WGS_6	5.87E+00	9.74E+00	4.45E+00	1.28E+01	1.86E+00	3.25E+00	8.92E+00	2.08E+00	1.34E+00	6.46E+00	7.60E+00
AC_WGS_9T	5.65E+00	1.29E+01	3.73E+00	1.55E+01	1.17E+00	2.44E+00	1.13E+01	1.66E+00	8.91E-01	5.35E+00	8.96E+00
AC_WGS_10	5.19E+00	6.37E+00	4.39E+00	7.59E+00	1.81E+00	3.52E+00	5.18E+00	2.70E+00	1.15E+00	5.37E+00	4.38E+00
AC_WGS_44	5.98E+00	1.13E+01	4.60E+00	1.74E+01	1.13E+00	3.60E+00	1.00E+01	1.59E+00	3.48E-01	6.33E+00	7.19E+00
AC_WGS_12	2.90E+00	6.71E+00	3.35E+00	1.05E+01	1.22E+00	2.92E+00	6.95E+00	1.38E+00	6.40E-01	5.23E+00	4.91E+00
AC_WGS_13T	4.26E+00	5.95E+00	3.75E+00	8.36E+00	1.87E+00	3.01E+00	5.94E+00	1.81E+00	1.37E+00	5.33E+00	4.88E+00
AC_WGS_15	6.09E+00	1.08E+01	5.72E+00	1.54E+01	1.70E+00	4.25E+00	1.04E+01	1.77E+00	3.04E-01	7.62E+00	7.80E+00
AC_WGS_17	3.73E+00	8.72E+00	3.50E+00	1.32E+01	1.08E+00	2.84E+00	8.08E+00	1.52E+00	7.82E-01	4.61E+00	5.91E+00
AC_WGS_18T	3.46E+00	1.04E+01	4.70E+00	1.64E+01	1.68E+00	4.15E+00	1.04E+01	1.59E+00	2.53E-01	6.81E+00	7.33E+00
AC_WGS_20T	3.73E+00	8.65E+00	4.20E+00	1.33E+01	1.16E+00	3.65E+00	7.85E+00	1.56E+00	2.30E-01	5.54E+00	5.77E+00
