MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
1:Del:C:1	1.11E-03	1.04E-03	1.20E-03	8.38E-04	1.46E-03	7.76E-04	1.08E-03	1.31E-03	2.42E-03	1.11E-03	9.72E-04
1:Del:C:2	3.29E-04	2.66E-04	4.08E-04	2.78E-04	6.37E-04	2.67E-04	2.92E-04	5.55E-04	5.66E-04	3.14E-04	3.44E-04
1:Del:C:3	1.53E-04	1.31E-04	2.06E-04	1.56E-04	3.82E-04	1.41E-04	1.95E-04	2.54E-04	3.60E-04	1.86E-04	1.57E-04
1:Del:C:4	1.15E-04	8.78E-05	1.34E-04	8.36E-05	2.21E-04	9.10E-05	1.26E-04	2.08E-04	2.07E-04	1.04E-04	1.05E-04
1:Del:C:5	1.38E-04	1.09E-04	2.29E-04	8.88E-05	2.41E-04	1.41E-04	1.17E-04	2.45E-04	1.93E-04	1.77E-04	1.31E-04
1:Del:T:0	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
1:Del:T:1	8.05E-04	6.59E-04	9.50E-04	7.24E-04	1.69E-03	6.40E-04	8.86E-04	1.29E-03	1.90E-03	8.82E-04	7.24E-04
1:Del:T:2	4.23E-04	3.39E-04	5.27E-04	3.18E-04	8.39E-04	3.98E-04	4.27E-04	7.47E-04	8.17E-04	4.13E-04	4.76E-04
1:Del:T:3	3.80E-04	2.93E-04	4.57E-04	3.27E-04	6.65E-04	2.20E-04	3.52E-04	5.31E-04	7.19E-04	3.34E-04	3.53E-04
1:Del:T:4	3.52E-04	2.53E-04	4.37E-04	3.02E-04	7.37E-04	2.94E-04	3.40E-04	6.37E-04	6.37E-04	3.61E-04	3.33E-04
1:Del:T:5	2.37E-03	1.81E-03	3.46E-03	1.87E-03	3.58E-03	3.09E-03	1.99E-03	4.52E-03	4.20E-03	2.75E-03	1.80E-03
1:Ins:C:0	1.89E-04	1.60E-04	2.92E-04	1.65E-04	4.54E-04	2.06E-04	2.10E-04	4.08E-04	4.12E-04	2.64E-04	1.81E-04
1:Ins:C:1	1.27E-04	1.22E-04	1.54E-04	9.41E-05	1.93E-04	8.40E-05	1.18E-04	1.59E-04	2.18E-04	1.31E-04	1.56E-04
1:Ins:C:2	1.00E-04	9.30E-05	1.52E-04	9.64E-05	2.60E-04	7.66E-05	1.18E-04	1.78E-04	1.88E-04	1.33E-04	1.44E-04
1:Ins:C:3	8.05E-05	8.33E-05	1.13E-04	9.52E-05	1.97E-04	8.63E-05	1.24E-04	1.62E-04	1.25E-04	9.57E-05	1.27E-04
1:Ins:C:4	8.82E-05	7.48E-05	1.37E-04	7.51E-05	2.04E-04	7.26E-05	9.00E-05	1.88E-04	1.83E-04	1.16E-04	1.04E-04
1:Ins:C:5	5.71E-04	4.44E-04	6.55E-04	4.32E-04	9.44E-04	3.54E-04	5.59E-04	8.83E-04	8.20E-04	4.79E-04	5.68E-04
1:Ins:T:0	2.82E-04	2.46E-04	5.02E-04	2.45E-04	5.76E-04	2.59E-04	3.17E-04	4.35E-04	4.69E-04	3.06E-04	2.89E-04
1:Ins:T:1	4.06E-04	4.41E-04	5.52E-04	3.41E-04	7.12E-04	2.82E-04	4.49E-04	6.01E-04	7.39E-04	5.15E-04	4.97E-04
1:Ins:T:2	2.13E-04	2.13E-04	3.13E-04	1.91E-04	4.88E-04	2.25E-04	2.46E-04	3.49E-04	3.87E-04	2.57E-04	2.88E-04
1:Ins:T:3	2.18E-04	2.53E-04	2.75E-04	1.74E-04	5.29E-04	1.73E-04	2.66E-04	3.59E-04	3.95E-04	2.67E-04	2.66E-04
1:Ins:T:4	2.23E-04	1.85E-04	2.41E-04	2.09E-04	4.45E-04	1.75E-04	2.58E-04	3.54E-04	3.75E-04	2.40E-04	2.38E-04
1:Ins:T:5	4.60E-03	4.59E-03	4.54E-03	4.84E-03	4.24E-03	3.98E-03	5.16E-03	4.26E-03	3.63E-03	4.84E-03	5.70E-03
2:Del:R:0	1.92E-03	1.58E-03	3.39E-03	1.85E-03	5.17E-03	3.57E-03	2.12E-03	4.13E-03	2.39E-03	2.91E-03	1.67E-03
2:Del:R:1	6.37E-05	5.75E-05	9.30E-05	7.92E-05	1.71E-04	7.22E-05	7.39E-05	1.29E-04	1.47E-04	8.17E-05	9.32E-05
2:Del:R:2	3.73E-05	2.52E-05	3.74E-05	2.90E-05	7.19E-05	2.94E-05	3.89E-05	5.64E-05	1.04E-04	3.99E-05	3.32E-05
2:Del:R:3	1.22E-05	6.52E-06	1.28E-05	6.95E-06	2.97E-05	1.92E-05	1.34E-05	1.76E-05	1.73E-05	1.28E-05	6.16E-06
2:Del:R:4	6.69E-06	5.05E-06	7.54E-06	4.53E-06	1.83E-05	6.00E-06	7.12E-06	1.20E-05	1.27E-05	6.18E-06	5.82E-06
2:Del:R:5	7.57E-05	4.14E-05	6.53E-05	4.27E-05	1.21E-04	5.95E-05	5.85E-05	1.49E-04	5.76E-05	6.08E-05	4.86E-05
3:Del:R:0	3.67E-04	3.15E-04	4.16E-04	2.29E-04	6.42E-04	3.62E-04	3.00E-04	6.37E-04	5.26E-04	4.00E-04	2.84E-04
3:Del:R:1	8.58E-05	7.21E-05	6.15E-05	6.51E-05	1.38E-04	6.21E-05	8.19E-05	1.41E-04	1.12E-04	8.12E-05	7.84E-05
3:Del:R:2	2.05E-05	1.87E-05	2.29E-05	1.44E-05	4.24E-05	1.95E-05	2.31E-05	4.17E-05	4.14E-05	2.96E-05	2.13E-05
3:Del:R:3	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
3:Del:R:4	6.69E-06	6.43E-06	7.02E-06	6.21E-06	1.29E-05	5.82E-06	7.12E-06	1.56E-05	1.02E-05	9.20E-06	5.60E-06
3:Del:R:5	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
4:Del:R:0	2.65E-04	2.60E-04	3.02E-04	2.35E-04	5.85E-04	2.27E-04	2.73E-04	4.64E-04	4.55E-04	2.63E-04	2.58E-04
4:Del:R:1	2.21E-05	2.39E-05	3.07E-05	2.41E-05	5.23E-05	2.05E-05	2.86E-05	4.80E-05	4.17E-05	2.80E-05	2.48E-05
4:Del:R:2	9.01E-06	9.16E-06	1.12E-05	9.28E-06	1.66E-05	1.11E-05	1.60E-05	1.86E-05	1.39E-05	1.22E-05	1.41E-05
4:Del:R:3	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
4:Del:R:4	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
4:Del:R:5	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
5:Del:R:0	6.39E-04	5.41E-04	7.55E-04	4.88E-04	1.03E-03	5.45E-04	6.05E-04	9.53E-04	9.96E-04	6.00E-04	5.40E-04
5:Del:R:1	5.60E-06	3.39E-06	1.16E-05	4.44E-06	1.51E-05	3.56E-06	6.29E-06	7.68E-06	2.09E-05	5.26E-06	5.88E-06
5:Del:R:2	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
5:Del:R:3	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
5:Del:R:4	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
5:Del:R:5	1.67E-09	1.21E-09	2.23E-09	1.18E-09	3.21E-09	2.38E-09	1.29E-09	3.22E-09	2.55E-09	1.82E-09	1.24E-09
2:Ins:R:0	2.57E-04	2.23E-04	3.62E-04	2.05E-04	5.36E-04	2.50E-04	2.30E-04	4.92E-04	4.23E-04	2.63E-04	2.15E-04
2:Ins:R:1	1.49E-04	1.33E-04	1.75E-04	1.20E-04	2.92E-04	1.34E-04	1.44E-04	2.50E-04	2.64E-04	1.61E-04	1.51E-04
2:Ins:R:2	9.23E-05	1.24E-04	1.39E-04	1.15E-04	1.75E-04	9.00E-05	1.12E-04	1.63E-04	1.44E-04	1.26E-04	1.26E-04
