Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
PGENE_1T	663	7	0	141	0	0	0	0	0	0	0	0
PGENE_2T	265	600	140	0	0	0	0	0	0	0	0	0
PGENE_4T	979	0	3	93	0	0	0	0	0	0	0	0
PGENE_5T	0	0	245	619	59	0	0	0	0	0	0	0
PGENE_6T	489	0	91	122	73	0	0	0	0	0	0	0
PGENE_8T	4	0	145	495	0	0	0	0	0	0	0	0
PGENE_9T	696	0	0	59	201	0	0	0	0	0	0	0
PGENE_10T	740	0	51	304	0	0	0	0	0	0	0	0
AC_WGS_1T	1242	0	126	83	0	0	0	0	0	0	0	0
AC_WGS_2T	0	476	218	658	0	197	0	0	0	0	0	0
AC_WGS_4	706	0	138	470	0	0	0	0	0	0	0	0
AC_WGS_5	0	320	0	0	0	0	581	152	46	421	0	0
AC_WGS_6	1459	0	58	248	0	0	0	0	0	0	0	0
AC_WGS_9T	934	564	0	287	0	0	0	0	0	0	0	0
AC_WGS_10	704	0	116	0	367	0	0	0	16	0	0	0
AC_WGS_44	1222	0	58	21	0	0	0	0	0	0	0	0
AC_WGS_12	67	734	269	0	0	0	0	0	0	0	0	0
AC_WGS_13T	573	415	258	0	0	27	0	0	0	0	0	0
AC_WGS_15	1415	0	96	0	0	0	0	0	0	0	0	0
AC_WGS_17	1092	0	112	56	0	0	0	0	0	0	0	0
AC_WGS_18T	0	1022	356	0	0	0	0	0	0	0	0	0
AC_WGS_20T	971	0	162	13	0	0	0	0	0	0	0	0
AC_WGS_22	686	0	68	0	282	0	0	0	0	0	0	0
AC_WGS_23	1295	0	0	41	0	0	0	0	223	0	0	0
AC_WGS_24	366	63	155	0	0	0	0	0	0	0	0	0
AC_WGS_25	389	685	214	0	0	0	0	0	0	0	0	0
AC_WGS_26	0	891	89	0	0	0	0	199	0	0	0	0
AC_WGS_27	954	0	184	115	0	0	0	0	0	0	0	0
AC_WGS_30	739	418	14	0	0	0	0	6	181	0	0	0
AC_WGS_31	620	796	150	0	0	0	0	0	0	0	0	0
AC_WGS_32	1545	0	0	61	0	0	0	0	0	0	0	0
AC_WGS_33	542	0	154	606	0	220	0	0	0	0	0	0
AC_WGS_34	646	850	172	0	0	0	0	0	0	0	0	0
AC_WGS_35	1359	0	3	0	0	0	0	0	0	0	0	0
AC_WGS_36	1469	0	0	61	330	0	0	0	0	0	0	0
AC_WGS_39	1733	0	0	100	0	0	0	0	0	0	0	0
AC_WGS_40	862	0	170	0	76	0	0	0	0	0	0	0
AC_WGS_41	527	767	193	0	0	63	0	0	0	0	0	0
AC_WGS_42	860	0	178	0	0	0	0	0	0	0	0	0
AC_WGS_43	1059	188	179	0	0	0	0	0	0	0	0	0
AC_WGS_45	1100	0	69	66	0	0	0	0	0	0	0	0
AC_WGS_46	1121	0	104	0	44	0	0	0	0	0	0	0
AC_WGS_49	856	0	172	36	0	0	0	0	0	0	0	0
AC_WGS_50	0	242	333	460	0	101	0	0	0	0	0	0
AC_WGS_51	635	0	144	431	0	0	0	0	0	0	0	0
AC_WGS_52	366	0	230	481	0	0	0	0	0	0	0	0
AC_WGS_53	761	0	212	12	0	0	0	0	0	0	0	0
AC_WGS_11	859	0	246	212	0	0	0	0	0	0	0	0
AC_WGS_37	929	0	127	53	0	0	0	0	0	0	0	0
RC596TH1	205	0	368	0	25	0	0	0	0	0	0	0
RC597TH1	0	0	367	201	43	0	0	0	0	0	0	0
RC598TH1	55	43	205	0	0	0	0	0	0	0	0	0
RC599TH1	0	0	0	133	78	5	0	189	29	0	0	0
RC602TH1	140	0	388	31	0	0	0	0	0	0	0	0
RC603TH1	0	255	0	0	0	489	166	0	27	0	182	0
