MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	1.33E-09	1.64E-09	3.27E-09	3.38E-09	1.23E-09	2.53E-09	1.52E-09	2.94E-09	2.59E-09	1.04E-09	2.31E-09	1.73E-09
1:Del:C:1	9.96E-04	1.23E-03	1.07E-03	1.38E-03	8.14E-04	2.50E-03	9.81E-04	1.63E-03	1.06E-03	9.68E-04	1.29E-03	9.49E-04
1:Del:C:2	2.90E-04	3.34E-04	4.94E-04	5.11E-04	2.84E-04	6.31E-04	3.59E-04	5.70E-04	4.06E-04	3.03E-04	3.78E-04	3.61E-04
1:Del:C:3	1.37E-04	1.84E-04	2.89E-04	2.71E-04	1.82E-04	4.10E-04	1.69E-04	3.50E-04	1.88E-04	1.65E-04	1.95E-04	1.97E-04
1:Del:C:4	1.07E-04	1.10E-04	1.74E-04	2.39E-04	9.92E-05	2.17E-04	9.05E-05	1.90E-04	1.23E-04	1.07E-04	1.53E-04	1.50E-04
1:Del:C:5	1.24E-04	1.92E-04	2.32E-04	3.06E-04	9.43E-05	1.85E-04	1.31E-04	2.65E-04	2.10E-04	1.31E-04	2.03E-04	1.53E-04
1:Del:T:0	1.33E-09	1.64E-09	3.27E-09	3.38E-09	1.23E-09	2.53E-09	1.52E-09	2.94E-09	2.59E-09	1.04E-09	2.31E-09	1.73E-09
1:Del:T:1	7.92E-04	8.29E-04	1.18E-03	1.20E-03	5.76E-04	2.07E-03	7.14E-04	1.38E-03	7.78E-04	6.68E-04	8.57E-04	7.66E-04
1:Del:T:2	4.08E-04	5.23E-04	6.79E-04	7.52E-04	4.20E-04	8.42E-04	4.96E-04	8.00E-04	5.48E-04	4.44E-04	4.99E-04	4.61E-04
1:Del:T:3	3.50E-04	3.86E-04	4.61E-04	6.40E-04	2.59E-04	7.56E-04	3.29E-04	6.08E-04	3.75E-04	3.36E-04	4.28E-04	3.92E-04
1:Del:T:4	3.72E-04	3.60E-04	5.81E-04	6.45E-04	2.83E-04	6.87E-04	2.80E-04	6.71E-04	4.25E-04	3.25E-04	4.76E-04	3.94E-04
