Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
PGENE_1T	540	201	70	0	0	0	0	0	0	0	0	0	0
PGENE_2T	864	0	26	115	0	0	0	0	0	0	0	0	0
PGENE_4T	751	198	126	0	0	0	0	0	0	0	0	0	0
PGENE_5T	149	556	218	0	0	0	0	0	0	0	0	0	0
PGENE_6T	378	218	179	0	0	0	0	0	0	0	0	0	0
PGENE_8T	133	411	100	0	0	0	0	0	0	0	0	0	0
PGENE_9T	490	312	154	0	0	0	0	0	0	0	0	0	0
PGENE_10T	628	350	117	0	0	0	0	0	0	0	0	0	0
AC_WGS_1T	939	207	305	0	0	0	0	0	0	0	0	0	0
AC_WGS_2T	0	845	0	121	0	498	0	85	0	0	0	0	0
AC_WGS_4	646	477	191	0	0	0	0	0	0	0	0	0	0
AC_WGS_5	0	326	0	274	246	0	674	0	0	0	0	0	0
AC_WGS_6	1145	387	233	0	0	0	0	0	0	0	0	0	0
AC_WGS_9T	1346	362	77	0	0	0	0	0	0	0	0	0	0
AC_WGS_10	435	398	370	0	0	0	0	0	0	0	0	0	0
AC_WGS_44	912	157	232	0	0	0	0	0	0	0	0	0	0
AC_WGS_12	862	0	2	206	0	0	0	0	0	0	0	0	0
AC_WGS_13T	835	46	388	0	0	0	0	4	0	0	0	0	0
AC_WGS_15	1094	93	324	0	0	0	0	0	0	0	0	0	0
AC_WGS_17	823	165	272	0	0	0	0	0	0	0	0	0	0
AC_WGS_18T	1115	0	0	263	0	0	0	0	0	0	0	0	0
AC_WGS_20T	722	106	318	0	0	0	0	0	0	0	0	0	0
AC_WGS_22	455	310	271	0	0	0	0	0	0	0	0	0	0
AC_WGS_23	893	251	299	0	0	0	0	0	116	0	0	0	0
AC_WGS_24	353	0	222	9	0	0	0	0	0	0	0	0	0
AC_WGS_25	1042	0	131	115	0	0	0	0	0	0	0	0	0
AC_WGS_26	904	0	0	243	0	0	0	32	0	0	0	0	0
AC_WGS_27	737	188	328	0	0	0	0	0	0	0	0	0	0
AC_WGS_30	7	24	0	0	1291	0	0	0	36	0	0	0	0
AC_WGS_31	1327	0	180	59	0	0	0	0	0	0	0	0	0
AC_WGS_32	1164	239	203	0	0	0	0	0	0	0	0	0	0
AC_WGS_33	297	1033	0	0	0	7	0	185	0	0	0	0	0
AC_WGS_34	1370	0	298	0	0	0	0	0	0	0	0	0	0
AC_WGS_35	1028	136	198	0	0	0	0	0	0	0	0	0	0
AC_WGS_36	1037	520	303	0	0	0	0	0	0	0	0	0	0
AC_WGS_39	1307	305	221	0	0	0	0	0	0	0	0	0	0
AC_WGS_40	622	146	340	0	0	0	0	0	0	0	0	0	0
AC_WGS_41	935	173	0	197	20	203	0	22	0	0	0	0	0
AC_WGS_42	673	25	340	0	0	0	0	0	0	0	0	0	0
AC_WGS_43	1044	0	382	0	0	0	0	0	0	0	0	0	0
AC_WGS_45	833	182	220	0	0	0	0	0	0	0	0	0	0
AC_WGS_46	819	161	289	0	0	0	0	0	0	0	0	0	0
AC_WGS_49	643	109	312	0	0	0	0	0	0	0	0	0	0
AC_WGS_50	0	426	400	0	0	303	0	7	0	0	0	0	0
AC_WGS_51	583	433	194	0	0	0	0	0	0	0	0	0	0
AC_WGS_52	398	428	251	0	0	0	0	0	0	0	0	0	0
AC_WGS_53	569	67	349	0	0	0	0	0	0	0	0	0	0
AC_WGS_11	692	250	375	0	0	0	0	0	0	0	0	0	0
AC_WGS_37	701	141	267	0	0	0	0	0	0	0	0	0	0
RC596TH1	141	0	457	0	0	0	0	0	0	0	0	0	0
RC597TH1	36	168	407	0	0	0	0	0	0	0	0	0	0
RC598TH1	104	0	127	72	0	0	0	0	0	0	0	0	0
RC599TH1	35	77	0	157	68	0	0	0	0	97	0	0	0
RC602TH1	103	0	456	0	0	0	0	0	0	0	0	0	0
RC603TH1	0	0	0	0	0	519	0	270	330	0	0	0	0
