Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
PGENE_1T	4.21E+00	3.16E+00	1.72E+00	2.39E+00	9.04E-01	4.50E+00	2.07E+00	3.86E+00	6.63E+00	5.54E+00	1.11E+00	1.20E+00	7.94E-01
PGENE_2T	4.69E+00	2.39E+00	3.22E+00	3.83E+00	3.43E-01	6.98E+00	2.76E+00	5.53E+00	1.20E+01	1.14E+01	2.06E+00	9.36E-01	7.59E-01
PGENE_4T	4.51E+00	3.69E+00	2.01E+00	3.41E+00	1.03E+00	5.13E+00	2.36E+00	4.33E+00	7.20E+00	6.72E+00	1.42E+00	1.29E+00	1.03E+00
PGENE_5T	5.14E+00	6.19E+00	3.47E+00	3.84E+00	2.27E+00	3.62E+00	4.81E+00	3.33E+00	4.32E+00	4.44E+00	2.28E+00	2.21E+00	8.53E-01
PGENE_6T	3.46E+00	3.29E+00	2.49E+00	2.46E+00	8.22E-01	4.09E+00	2.46E+00	3.06E+00	6.53E+00	6.60E+00	1.60E+00	1.06E+00	5.00E-01
PGENE_8T	3.67E+00	3.90E+00	2.23E+00	2.00E+00	1.14E+00	2.38E+00	2.88E+00	2.51E+00	3.57E+00	3.34E+00	1.35E+00	1.04E+00	4.92E-01
PGENE_9T	4.51E+00	4.04E+00	2.64E+00	2.93E+00	9.75E-01	5.44E+00	2.96E+00	4.13E+00	8.86E+00	8.99E+00	1.65E+00	1.35E+00	5.50E-01
PGENE_10T	6.04E+00	4.78E+00	3.20E+00	3.39E+00	1.04E+00	6.62E+00	3.23E+00	5.33E+00	1.14E+01	1.15E+01	1.81E+00	1.19E+00	5.71E-01
AC_WGS_1T	5.16E+00	4.38E+00	3.60E+00	4.91E+00	1.16E+00	7.00E+00	3.77E+00	5.62E+00	9.97E+00	9.31E+00	2.53E+00	1.50E+00	1.38E+00
AC_WGS_2T	9.64E+00	9.00E+00	4.17E+00	6.38E+00	3.93E+00	6.50E+00	5.86E+00	8.38E+00	8.34E+00	7.73E+00	2.97E+00	3.65E+00	2.92E+00
AC_WGS_4	6.11E+00	5.78E+00	3.80E+00	3.73E+00	1.33E+00	6.59E+00	4.24E+00	5.60E+00	1.03E+01	1.04E+01	2.13E+00	1.49E+00	7.80E-01
AC_WGS_5	6.43E+00	5.01E+00	2.80E+00	4.96E+00	1.93E+00	7.10E+00	3.49E+00	6.24E+00	7.25E+00	6.95E+00	2.47E+00	2.66E+00	2.20E+00
AC_WGS_6	6.82E+00	4.91E+00	3.78E+00	4.95E+00	1.54E+00	8.43E+00	4.00E+00	6.68E+00	1.27E+01	1.01E+01	2.42E+00	1.72E+00	1.44E+00
AC_WGS_9T	8.26E+00	5.59E+00	3.08E+00	4.48E+00	1.24E+00	1.02E+01	3.63E+00	7.92E+00	1.55E+01	1.24E+01	1.82E+00	1.64E+00	1.13E+00
AC_WGS_10	4.76E+00	4.76E+00	3.81E+00	4.16E+00	1.79E+00	4.97E+00	4.20E+00	4.23E+00	6.68E+00	6.91E+00	2.78E+00	2.56E+00	1.39E+00
AC_WGS_44	6.33E+00	4.82E+00	4.52E+00	4.89E+00	7.22E-01	8.59E+00	4.20E+00	7.06E+00	1.51E+01	1.48E+01	2.79E+00	1.58E+00	7.75E-01
AC_WGS_12	3.82E+00	2.91E+00	3.57E+00	4.23E+00	5.64E-01	5.69E+00	2.73E+00	4.57E+00	9.19E+00	9.08E+00	2.24E+00	1.26E+00	1.20E+00
AC_WGS_13T	4.35E+00	3.73E+00	3.29E+00	4.78E+00	1.20E+00	5.20E+00	3.05E+00	4.57E+00	7.94E+00	7.28E+00	2.29E+00	1.96E+00	1.80E+00
AC_WGS_15	6.27E+00	4.50E+00	5.57E+00	6.43E+00	1.15E+00	8.97E+00	4.72E+00	7.41E+00	1.45E+01	1.33E+01	3.27E+00	1.48E+00	1.29E+00
AC_WGS_17	5.03E+00	3.64E+00	3.65E+00	3.81E+00	9.19E-01	7.14E+00	2.84E+00	5.18E+00	1.20E+01	1.14E+01	2.16E+00	1.36E+00	9.47E-01
AC_WGS_18T	5.52E+00	3.39E+00	5.00E+00	6.18E+00	5.56E-01	8.88E+00	3.44E+00	6.55E+00	1.43E+01	1.43E+01	3.40E+00	1.64E+00	1.41E+00
AC_WGS_20T	4.76E+00	3.77E+00	4.36E+00	4.33E+00	7.71E-01	7.04E+00	3.45E+00	5.13E+00	1.16E+01	1.17E+01	2.73E+00	1.35E+00	8.21E-01
AC_WGS_22	4.54E+00	4.87E+00	3.10E+00	4.72E+00	1.45E+00	4.57E+00	3.16E+00	4.10E+00	6.20E+00	6.87E+00	2.37E+00	2.19E+00	1.34E+00
AC_WGS_23	6.70E+00	6.28E+00	3.83E+00	5.71E+00	2.40E+00	7.04E+00	4.88E+00	6.11E+00	8.73E+00	8.63E+00	2.83E+00	2.92E+00	1.99E+00
AC_WGS_24	2.13E+00	1.73E+00	2.90E+00	2.33E+00	3.40E-01	2.95E+00	1.94E+00	2.28E+00	5.05E+00	5.01E+00	1.83E+00	8.08E-01	5.57E-01
AC_WGS_25	5.24E+00	3.44E+00	3.60E+00	4.83E+00	5.28E-01	7.69E+00	3.03E+00	5.59E+00	1.24E+01	1.24E+01	2.47E+00	1.47E+00	1.07E+00
