MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	1.55E-09	1.90E-09	2.68E-09	2.04E-09	3.31E-09	1.16E-09	2.59E-09	1.45E-09	1.12E-09	1.46E-09	3.43E-09	3.32E-09	3.29E-09
1:Del:C:1	1.19E-03	1.54E-03	1.35E-03	1.43E-03	2.36E-03	1.03E-03	1.67E-03	1.21E-03	1.11E-03	1.26E-03	1.41E-03	2.01E-03	2.02E-03
1:Del:C:2	3.15E-04	3.62E-04	4.39E-04	4.12E-04	6.58E-04	3.14E-04	4.39E-04	3.64E-04	2.53E-04	3.80E-04	5.26E-04	5.89E-04	6.95E-04
1:Del:C:3	1.59E-04	2.06E-04	2.23E-04	2.53E-04	3.69E-04	1.67E-04	2.67E-04	1.96E-04	1.31E-04	1.77E-04	2.58E-04	3.32E-04	3.98E-04
1:Del:C:4	1.13E-04	1.39E-04	1.37E-04	1.35E-04	2.78E-04	1.17E-04	1.61E-04	1.09E-04	9.41E-05	1.23E-04	1.44E-04	2.09E-04	1.98E-04
1:Del:C:5	1.54E-04	1.65E-04	2.09E-04	2.21E-04	2.69E-04	1.44E-04	2.02E-04	1.53E-04	1.21E-04	1.52E-04	3.44E-04	2.72E-04	2.99E-04
1:Del:T:0	1.55E-09	1.90E-09	2.68E-09	2.04E-09	3.31E-09	1.16E-09	2.59E-09	1.45E-09	1.12E-09	1.46E-09	3.43E-09	3.32E-09	3.29E-09
1:Del:T:1	9.54E-04	1.12E-03	1.26E-03	1.21E-03	1.72E-03	8.53E-04	1.30E-03	9.21E-04	8.07E-04	1.14E-03	1.18E-03	1.64E-03	1.95E-03
1:Del:T:2	4.76E-04	5.45E-04	6.55E-04	6.33E-04	8.49E-04	4.69E-04	6.26E-04	4.79E-04	3.95E-04	5.22E-04	6.40E-04	7.82E-04	9.41E-04
1:Del:T:3	4.02E-04	4.92E-04	5.38E-04	5.46E-04	7.41E-04	3.98E-04	5.30E-04	4.13E-04	3.61E-04	4.27E-04	5.07E-04	6.29E-04	7.41E-04
1:Del:T:4	3.64E-04	3.66E-04	4.96E-04	4.89E-04	7.31E-04	3.94E-04	4.95E-04	3.21E-04	3.28E-04	4.06E-04	4.69E-04	6.46E-04	7.90E-04
1:Del:T:5	2.08E-03	2.74E-03	4.01E-03	2.90E-03	5.34E-03	1.58E-03	3.65E-03	2.01E-03	1.82E-03	2.22E-03	4.70E-03	4.78E-03	2.68E-03
1:Ins:C:0	1.83E-04	2.84E-04	3.42E-04	2.79E-04	5.04E-04	2.72E-04	3.24E-04	2.06E-04	1.91E-04	1.78E-04	3.72E-04	4.37E-04	5.13E-04
1:Ins:C:1	1.26E-04	1.62E-04	1.25E-04	1.55E-04	2.20E-04	1.50E-04	1.57E-04	1.37E-04	9.51E-05	1.40E-04	1.93E-04	1.85E-04	2.38E-04
1:Ins:C:2	1.09E-04	1.30E-04	1.68E-04	1.49E-04	2.16E-04	1.37E-04	1.77E-04	1.39E-04	8.97E-05	1.84E-04	1.97E-04	1.89E-04	2.83E-04
1:Ins:C:3	9.58E-05	1.15E-04	1.58E-04	1.28E-04	1.53E-04	1.17E-04	1.15E-04	1.15E-04	1.01E-04	9.48E-05	1.24E-04	1.62E-04	2.28E-04
1:Ins:C:4	9.64E-05	1.18E-04	1.57E-04	1.35E-04	1.89E-04	8.37E-05	1.39E-04	9.64E-05	8.03E-05	1.34E-04	1.49E-04	1.82E-04	2.41E-04
1:Ins:C:5	5.70E-04	5.14E-04	6.49E-04	6.90E-04	9.75E-04	6.23E-04	7.79E-04	5.63E-04	5.06E-04	4.64E-04	7.47E-04	9.03E-04	9.07E-04
1:Ins:T:0	3.27E-04	3.50E-04	4.20E-04	4.44E-04	5.02E-04	3.23E-04	3.86E-04	3.56E-04	2.77E-04	3.30E-04	5.13E-04	4.41E-04	6.36E-04
1:Ins:T:1	5.17E-04	5.80E-04	4.85E-04	5.99E-04	8.25E-04	5.14E-04	6.07E-04	5.59E-04	3.25E-04	4.35E-04	5.33E-04	6.89E-04	7.52E-04
1:Ins:T:2	2.49E-04	2.79E-04	3.35E-04	2.89E-04	4.05E-04	2.61E-04	3.05E-04	2.80E-04	2.26E-04	2.46E-04	3.96E-04	3.76E-04	5.33E-04
1:Ins:T:3	2.01E-04	2.95E-04	3.47E-04	3.39E-04	4.19E-04	2.37E-04	3.80E-04	2.76E-04	2.47E-04	2.82E-04	4.51E-04	4.25E-04	5.61E-04
1:Ins:T:4	2.49E-04	2.39E-04	2.80E-04	3.29E-04	4.11E-04	2.79E-04	3.06E-04	2.47E-04	2.53E-04	1.85E-04	3.03E-04	4.06E-04	4.81E-04
1:Ins:T:5	5.02E-03	5.45E-03	4.34E-03	5.83E-03	3.31E-03	6.07E-03	5.15E-03	5.33E-03	5.08E-03	5.97E-03	3.32E-03	3.35E-03	3.66E-03
2:Del:R:0	1.65E-03	2.18E-03	4.26E-03	3.05E-03	2.88E-03	1.51E-03	3.46E-03	1.94E-03	1.88E-03	2.15E-03	5.15E-03	4.27E-03	5.65E-03
2:Del:R:1	8.45E-05	1.04E-04	1.02E-04	1.13E-04	1.47E-04	9.31E-05	9.67E-05	8.14E-05	9.67E-05	9.07E-05	1.50E-04	1.61E-04	1.91E-04
2:Del:R:2	3.86E-05	5.83E-05	5.15E-05	5.92E-05	8.87E-05	3.32E-05	5.75E-05	3.52E-05	2.93E-05	4.51E-05	4.89E-05	7.34E-05	8.31E-05
2:Del:R:3	8.80E-06	1.03E-05	1.78E-05	1.54E-05	2.11E-05	1.15E-05	1.80E-05	1.26E-05	1.93E-05	9.13E-06	3.32E-05	2.53E-05	3.14E-05
2:Del:R:4	5.50E-06	8.44E-06	7.50E-06	1.19E-05	8.22E-06	7.04E-06	9.94E-06	5.98E-06	7.29E-06	9.47E-06	9.86E-06	1.41E-05	2.02E-05
2:Del:R:5	4.52E-05	8.63E-05	7.90E-05	1.25E-04	1.22E-04	5.60E-05	7.82E-05	7.35E-05	6.56E-05	5.37E-05	1.36E-04	1.52E-04	1.17E-04
3:Del:R:0	3.21E-04	4.12E-04	4.79E-04	5.13E-04	7.57E-04	3.34E-04	4.91E-04	4.03E-04	2.56E-04	3.58E-04	5.99E-04	6.55E-04	6.91E-04
3:Del:R:1	7.55E-05	7.97E-05	1.09E-04	9.40E-05	1.58E-04	9.41E-05	1.16E-04	8.75E-05	8.47E-05	6.06E-05	1.25E-04	1.34E-04	1.36E-04
3:Del:R:2	2.38E-05	2.98E-05	2.77E-05	2.38E-05	4.65E-05	2.53E-05	2.97E-05	2.76E-05	1.51E-05	2.81E-05	2.27E-05	4.75E-05	4.17E-05
3:Del:R:3	1.55E-09	1.90E-09	2.68E-09	2.04E-09	3.31E-09	1.16E-09	2.59E-09	1.45E-09	1.12E-09	1.46E-09	3.43E-09	3.32E-09	3.29E-09
