Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
PGENE_1T	578	158	0	0	0	0	0	75	0	0	0	0	0	0
PGENE_2T	922	0	83	0	0	0	0	0	0	0	0	0	0	0
PGENE_4T	831	126	0	0	0	0	0	118	0	0	0	0	0	0
PGENE_5T	83	653	187	0	0	0	0	0	0	0	0	0	0	0
PGENE_6T	420	239	116	0	0	0	0	0	0	0	0	0	0	0
PGENE_8T	63	451	64	0	0	0	0	66	0	0	0	0	0	0
PGENE_9T	523	327	106	0	0	0	0	0	0	0	0	0	0	0
PGENE_10T	664	349	82	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_1T	1097	188	166	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_2T	676	524	129	0	0	220	0	0	0	0	0	0	0	0
AC_WGS_4	672	502	140	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_5	265	0	142	0	0	0	365	0	635	113	0	0	0	0
AC_WGS_6	1288	344	133	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_9T	1482	275	28	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_10	448	42	121	247	0	0	345	0	0	0	0	0	0	0
AC_WGS_44	1051	132	118	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_12	837	0	163	0	70	0	0	0	0	0	0	0	0	0
AC_WGS_13T	1031	0	194	0	12	36	0	0	0	0	0	0	0	0
AC_WGS_15	1297	56	158	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_17	968	146	146	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_18T	1184	0	192	0	0	0	0	0	0	0	0	2	0	0
AC_WGS_20T	864	109	173	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_22	185	0	0	628	0	0	140	83	0	0	0	0	0	0
AC_WGS_23	987	0	92	311	0	0	0	0	0	0	169	0	0	0
AC_WGS_24	456	0	128	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_25	1150	0	138	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_26	0	0	313	0	838	0	0	0	0	0	0	28	0	0
AC_WGS_27	876	190	187	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_30	1127	0	48	0	0	0	0	0	0	93	90	0	0	0
AC_WGS_31	1462	0	104	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_32	1329	179	98	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_33	565	581	147	0	0	229	0	0	0	0	0	0	0	0
AC_WGS_34	1551	0	117	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_35	1190	82	90	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_36	1137	528	195	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_39	1465	0	39	131	0	0	198	0	0	0	0	0	0	0
AC_WGS_40	748	165	195	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_41	910	26	189	0	367	58	0	0	0	0	0	0	0	0
AC_WGS_42	831	28	179	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_43	1242	0	184	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_45	954	164	117	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_46	959	153	157	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_49	783	109	172	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_50	345	279	0	0	0	118	0	394	0	0	0	0	0	0
AC_WGS_51	607	464	139	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_52	414	482	181	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_53	703	88	194	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_11	817	277	223	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_37	825	138	146	0	0	0	0	0	0	0	0	0	0	0
RC596TH1	265	57	276	0	0	0	0	0	0	0	0	0	0	0
RC597TH1	73	271	267	0	0	0	0	0	0	0	0	0	0	0
RC598TH1	159	0	144	0	0	0	0	0	0	0	0	0	0	0
RC599TH1	67	0	23	0	0	23	0	197	0	124	0	0	0	0
RC602TH1	215	51	257	0	0	0	0	36	0	0	0	0	0	0
RC603TH1	272	0	0	0	0	481	0	0	171	0	69	116	10	0
