MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	1.98E-09	3.34E-09	1.44E-09	3.05E-09	3.74E-09	3.60E-09	1.48E-09	2.50E-09	1.39E-09	1.59E-09	2.35E-09	2.14E-09	2.34E-09	1.05E-09
1:Del:C:1	1.03E-03	1.48E-03	1.09E-03	7.86E-04	1.74E-03	1.47E-03	8.99E-04	2.68E-03	1.06E-03	1.21E-03	1.35E-03	1.21E-03	1.08E-03	9.89E-04
1:Del:C:2	3.60E-04	5.76E-04	3.69E-04	3.84E-04	6.78E-04	6.91E-04	3.21E-04	6.44E-04	3.14E-04	3.55E-04	5.03E-04	4.19E-04	4.48E-04	3.41E-04
1:Del:C:3	1.85E-04	2.96E-04	1.73E-04	1.68E-04	3.15E-04	3.83E-04	1.58E-04	4.21E-04	2.02E-04	1.62E-04	2.49E-04	2.22E-04	2.28E-04	1.77E-04
1:Del:C:4	1.18E-04	2.32E-04	1.35E-04	1.42E-04	2.61E-04	2.04E-04	9.53E-05	2.26E-04	1.11E-04	1.20E-04	1.53E-04	1.51E-04	1.24E-04	1.01E-04
1:Del:C:5	2.13E-04	2.85E-04	1.45E-04	2.29E-04	3.47E-04	3.58E-04	1.33E-04	2.19E-04	1.38E-04	1.35E-04	1.76E-04	1.83E-04	2.13E-04	1.51E-04
1:Del:T:0	1.98E-09	3.34E-09	1.44E-09	3.05E-09	3.74E-09	3.60E-09	1.48E-09	2.50E-09	1.39E-09	1.59E-09	2.35E-09	2.14E-09	2.34E-09	1.05E-09
1:Del:T:1	7.87E-04	1.11E-03	7.41E-04	7.74E-04	1.30E-03	1.51E-03	6.64E-04	2.20E-03	6.36E-04	6.82E-04	1.17E-03	9.92E-04	6.90E-04	7.38E-04
1:Del:T:2	3.85E-04	7.65E-04	4.75E-04	4.91E-04	8.36E-04	8.83E-04	4.10E-04	9.14E-04	4.90E-04	4.62E-04	6.33E-04	5.11E-04	5.47E-04	4.68E-04
1:Del:T:3	3.66E-04	5.99E-04	3.56E-04	4.32E-04	6.91E-04	7.03E-04	2.79E-04	8.31E-04	4.50E-04	3.96E-04	5.51E-04	5.18E-04	4.08E-04	3.96E-04
1:Del:T:4	3.41E-04	6.07E-04	3.39E-04	4.76E-04	7.02E-04	7.36E-04	3.10E-04	7.49E-04	3.62E-04	3.81E-04	5.45E-04	4.27E-04	5.26E-04	3.15E-04
1:Del:T:5	2.62E-03	4.73E-03	2.19E-03	4.09E-03	5.44E-03	3.09E-03	1.79E-03	3.46E-03	1.94E-03	2.46E-03	3.08E-03	3.29E-03	3.85E-03	1.55E-03
1:Ins:C:0	3.67E-04	4.45E-04	3.09E-04	3.37E-04	4.49E-04	5.21E-04	2.13E-04	4.79E-04	2.50E-04	1.93E-04	3.14E-04	2.95E-04	2.73E-04	1.85E-04
1:Ins:C:1	1.46E-04	2.12E-04	1.30E-04	1.35E-04	2.04E-04	2.32E-04	1.17E-04	2.74E-04	1.01E-04	1.31E-04	2.01E-04	1.55E-04	1.52E-04	1.37E-04
1:Ins:C:2	1.33E-04	2.22E-04	1.13E-04	1.45E-04	2.29E-04	2.80E-04	1.61E-04	1.79E-04	1.43E-04	1.44E-04	2.27E-04	1.79E-04	1.78E-04	1.18E-04
1:Ins:C:3	1.24E-04	1.98E-04	1.07E-04	1.21E-04	1.60E-04	2.24E-04	1.04E-04	1.54E-04	1.17E-04	9.11E-05	1.48E-04	1.26E-04	1.20E-04	1.16E-04
1:Ins:C:4	1.28E-04	1.94E-04	9.77E-05	1.23E-04	1.97E-04	2.23E-04	9.63E-05	1.86E-04	8.26E-05	1.04E-04	1.42E-04	1.11E-04	1.23E-04	9.81E-05
