Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
PGENE_1T	466	259	9	77	0	0	0	0	0	0	0	0	0	0	0
PGENE_2T	0	845	0	0	160	0	0	0	0	0	0	0	0	0	0
PGENE_4T	836	204	0	0	0	0	0	35	0	0	0	0	0	0	0
PGENE_5T	0	206	238	479	0	0	0	0	0	0	0	0	0	0	0
PGENE_6T	578	63	0	67	0	67	0	0	0	0	0	0	0	0	0
PGENE_8T	0	171	118	355	0	0	0	0	0	0	0	0	0	0	0
PGENE_9T	282	444	0	107	0	123	0	0	0	0	0	0	0	0	0
PGENE_10T	723	171	0	201	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_1T	1095	238	118	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_2T	759	0	160	0	0	0	205	425	0	0	0	0	0	0	0
AC_WGS_4	999	0	7	308	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_5	516	0	0	12	33	259	0	128	168	0	404	0	0	0	0
AC_WGS_6	1209	386	44	126	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_9T	754	921	20	90	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_10	136	700	0	15	0	352	0	0	0	0	0	0	0	0	0
AC_WGS_44	1210	91	0	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_12	0	836	0	0	234	0	0	0	0	0	0	0	0	0	0
AC_WGS_13T	1036	0	51	0	59	0	0	0	0	127	0	0	0	0	0
AC_WGS_15	34	1112	338	0	27	0	0	0	0	0	0	0	0	0	0
AC_WGS_17	1226	0	34	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_18T	0	1079	0	0	299	0	0	0	0	0	0	0	0	0	0
AC_WGS_20T	542	374	230	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_22	315	472	0	28	0	221	0	0	0	0	0	0	0	0	0
AC_WGS_23	128	1047	9	0	110	152	0	0	0	0	0	0	113	0	0
AC_WGS_24	482	19	0	0	83	0	0	0	0	0	0	0	0	0	0
AC_WGS_25	0	1051	0	0	237	0	0	0	0	0	0	0	0	0	0
AC_WGS_26	0	701	0	0	260	0	0	0	0	218	0	0	0	0	0
AC_WGS_27	1137	0	116	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_30	0	873	0	0	57	257	0	0	171	0	0	0	0	0	0
AC_WGS_31	0	1343	0	0	223	0	0	0	0	0	0	0	0	0	0
AC_WGS_32	957	575	74	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_33	874	0	31	401	0	0	216	0	0	0	0	0	0	0	0
AC_WGS_34	0	1422	0	0	246	0	0	0	0	0	0	0	0	0	0
AC_WGS_35	778	508	76	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_36	119	1353	0	40	0	348	0	0	0	0	0	0	0	0	0
AC_WGS_39	0	1499	241	0	0	93	0	0	0	0	0	0	0	0	0
AC_WGS_40	951	0	157	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_41	1249	20	0	0	0	0	24	16	0	241	0	0	0	0	0
AC_WGS_42	933	0	63	0	42	0	0	0	0	0	0	0	0	0	0
AC_WGS_43	616	621	31	0	158	0	0	0	0	0	0	0	0	0	0
AC_WGS_45	1189	46	0	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_46	1218	0	51	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_49	496	344	197	0	27	0	0	0	0	0	0	0	0	0	0
AC_WGS_50	491	0	310	0	0	0	106	229	0	0	0	0	0	0	0
AC_WGS_51	907	0	27	276	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_52	646	0	133	298	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_53	814	0	171	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_11	1092	0	174	51	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_37	1046	0	63	0	0	0	0	0	0	0	0	0	0	0	0
RC596TH1	254	0	262	0	82	0	0	0	0	0	0	0	0	0	0
RC597TH1	137	0	382	92	0	0	0	0	0	0	0	0	0	0	0
RC598TH1	145	0	81	0	77	0	0	0	0	0	0	0	0	0	0
RC599TH1	134	0	0	0	81	119	22	0	0	0	0	0	0	78	0
RC602TH1	0	139	375	0	45	0	0	0	0	0	0	0	0	0	0
RC603TH1	0	0	0	0	0	109	478	0	415	0	0	117	0	0	0
