Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
PGENE_1T	5.72E-01	2.04E+00	8.11E-01	6.03E+00	1.16E+00	2.25E+00	8.15E-01	2.94E+00	4.93E+00	5.80E+00	3.91E+00	1.60E+00	2.91E+00	1.04E+00	2.82E+00
PGENE_2T	2.14E-01	3.39E+00	4.37E-01	1.09E+01	1.44E+00	2.90E+00	1.01E+00	3.31E+00	7.78E+00	1.12E+01	3.94E+00	3.02E+00	3.94E+00	1.73E+00	4.54E+00
PGENE_4T	7.79E-01	2.42E+00	1.11E+00	7.08E+00	1.35E+00	3.00E+00	1.10E+00	3.29E+00	5.84E+00	6.86E+00	4.33E+00	1.87E+00	3.86E+00	1.34E+00	3.56E+00
PGENE_5T	7.55E-01	3.66E+00	2.18E+00	4.24E+00	2.38E+00	4.48E+00	1.12E+00	5.55E+00	3.99E+00	4.05E+00	5.04E+00	3.14E+00	2.88E+00	1.93E+00	2.56E+00
PGENE_6T	2.44E-01	2.58E+00	7.77E-01	6.16E+00	1.64E+00	2.73E+00	5.65E-01	3.00E+00	4.83E+00	6.61E+00	3.22E+00	2.33E+00	2.19E+00	1.49E+00	2.25E+00
PGENE_8T	4.99E-01	2.27E+00	1.18E+00	3.41E+00	1.35E+00	2.60E+00	5.39E-01	3.89E+00	2.88E+00	3.48E+00	3.55E+00	2.04E+00	1.63E+00	1.16E+00	1.66E+00
PGENE_9T	2.22E-01	2.99E+00	9.72E-01	8.47E+00	1.79E+00	2.90E+00	6.29E-01	4.50E+00	6.29E+00	8.90E+00	3.99E+00	2.56E+00	2.77E+00	1.36E+00	3.03E+00
PGENE_10T	4.89E-01	3.43E+00	8.83E-01	1.06E+01	1.71E+00	3.50E+00	5.41E-01	4.75E+00	7.77E+00	1.12E+01	5.02E+00	2.93E+00	3.31E+00	1.60E+00	3.53E+00
AC_WGS_1T	6.51E-01	3.68E+00	1.28E+00	9.22E+00	2.23E+00	4.13E+00	1.35E+00	4.45E+00	7.69E+00	8.94E+00	4.87E+00	3.36E+00	4.71E+00	2.14E+00	4.64E+00
AC_WGS_2T	3.44E+00	4.95E+00	3.77E+00	7.81E+00	3.07E+00	5.55E+00	2.61E+00	8.45E+00	7.30E+00	7.71E+00	8.72E+00	4.29E+00	6.62E+00	3.04E+00	6.34E+00
AC_WGS_4	5.54E-01	4.14E+00	1.29E+00	9.53E+00	2.17E+00	4.11E+00	6.72E-01	5.79E+00	7.75E+00	9.96E+00	5.82E+00	3.32E+00	3.53E+00	1.68E+00	3.15E+00
AC_WGS_5	1.41E+00	3.27E+00	2.15E+00	7.50E+00	2.30E+00	4.50E+00	2.15E+00	4.76E+00	6.79E+00	6.77E+00	6.30E+00	2.63E+00	5.77E+00	2.34E+00	4.72E+00
AC_WGS_6	1.17E+00	4.08E+00	1.54E+00	1.18E+01	2.20E+00	4.23E+00	1.56E+00	4.61E+00	9.41E+00	1.09E+01	6.28E+00	3.35E+00	5.61E+00	2.06E+00	5.05E+00
AC_WGS_9T	7.36E-01	3.45E+00	1.28E+00	1.47E+01	1.84E+00	3.75E+00	1.12E+00	5.23E+00	1.16E+01	1.30E+01	6.89E+00	2.91E+00	6.25E+00	1.75E+00	5.19E+00
AC_WGS_10	7.97E-01	4.07E+00	1.78E+00	6.38E+00	2.83E+00	4.52E+00	1.28E+00	4.67E+00	5.59E+00	6.92E+00	5.02E+00	3.59E+00	3.40E+00	2.52E+00	3.52E+00
AC_WGS_44	2.19E-01	4.84E+00	8.59E-01	1.34E+01	2.32E+00	5.07E+00	9.98E-01	5.62E+00	9.84E+00	1.47E+01	5.38E+00	4.03E+00	4.45E+00	2.17E+00	4.89E+00
AC_WGS_12	6.56E-01	3.34E+00	6.77E-01	8.60E+00	1.86E+00	3.10E+00	1.36E+00	2.42E+00	6.50E+00	8.75E+00	3.34E+00	3.22E+00	3.81E+00	2.15E+00	4.70E+00
AC_WGS_13T	1.25E+00	3.38E+00	1.30E+00	7.09E+00	2.04E+00	4.00E+00	1.79E+00	3.80E+00	5.91E+00	7.49E+00	3.83E+00	3.13E+00	4.08E+00	2.21E+00	4.99E+00
AC_WGS_15	5.19E-01	5.43E+00	8.55E-01	1.31E+01	2.33E+00	4.78E+00	1.67E+00	4.90E+00	9.99E+00	1.36E+01	5.73E+00	4.99E+00	5.77E+00	2.61E+00	6.33E+00
AC_WGS_17	6.76E-01	3.57E+00	9.10E-01	1.13E+01	1.84E+00	2.88E+00	1.08E+00	3.56E+00	8.34E+00	1.14E+01	4.67E+00	3.37E+00	4.31E+00	2.03E+00	4.62E+00
AC_WGS_18T	7.83E-01	4.85E+00	5.75E-01	1.36E+01	2.41E+00	3.91E+00	1.63E+00	3.99E+00	9.93E+00	1.40E+01	4.96E+00	4.56E+00	5.08E+00	3.01E+00	7.18E+00
AC_WGS_20T	3.70E-01	4.20E+00	7.80E-01	1.08E+01	2.41E+00	3.59E+00	1.08E+00	3.91E+00	8.00E+00	1.14E+01	4.18E+00	4.06E+00	3.82E+00	2.49E+00	4.48E+00
AC_WGS_22	7.23E-01	3.30E+00	1.61E+00	6.40E+00	2.47E+00	4.39E+00	1.38E+00	4.49E+00	5.21E+00	6.83E+00	4.36E+00	2.76E+00	3.17E+00	2.09E+00	3.67E+00
AC_WGS_23	1.40E+00	4.26E+00	2.56E+00	8.23E+00	3.36E+00	5.23E+00	2.08E+00	6.41E+00	7.66E+00	7.97E+00	6.35E+00	3.66E+00	5.58E+00	2.72E+00	5.06E+00
AC_WGS_24	2.67E-01	2.51E+00	3.66E-01	4.65E+00	1.43E+00	2.06E+00	6.85E-01	1.74E+00	3.52E+00	4.87E+00	1.78E+00	2.55E+00	1.79E+00	1.60E+00	2.15E+00
