MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
1:Del:C:1	2.69E-03	1.31E-03	2.01E-03	7.97E-04	1.32E-03	1.25E-03	1.35E-03	1.34E-03	8.49E-04	9.96E-04	1.28E-03	1.23E-03	9.83E-04	1.38E-03	1.23E-03
1:Del:C:2	6.78E-04	4.42E-04	6.62E-04	2.91E-04	5.66E-04	4.99E-04	6.92E-04	3.47E-04	3.05E-04	3.21E-04	3.57E-04	4.26E-04	3.04E-04	5.67E-04	4.82E-04
1:Del:C:3	4.62E-04	2.87E-04	3.14E-04	1.39E-04	2.20E-04	2.50E-04	3.80E-04	1.88E-04	1.26E-04	1.69E-04	1.87E-04	2.34E-04	2.03E-04	2.82E-04	2.55E-04
1:Del:C:4	2.14E-04	1.77E-04	2.69E-04	8.98E-05	2.10E-04	1.41E-04	2.44E-04	1.72E-04	9.82E-05	1.23E-04	1.10E-04	1.64E-04	1.23E-04	1.75E-04	1.28E-04
1:Del:C:5	2.00E-04	2.14E-04	3.14E-04	1.23E-04	3.20E-04	1.91E-04	3.31E-04	1.69E-04	1.68E-04	1.33E-04	1.40E-04	2.57E-04	1.56E-04	3.55E-04	2.00E-04
1:Del:T:0	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
1:Del:T:1	2.37E-03	8.69E-04	1.22E-03	6.58E-04	1.07E-03	1.05E-03	1.45E-03	9.24E-04	8.60E-04	9.15E-04	7.43E-04	8.04E-04	8.43E-04	1.04E-03	1.16E-03
1:Del:T:2	9.84E-04	6.42E-04	8.63E-04	3.46E-04	7.17E-04	6.57E-04	8.91E-04	6.36E-04	3.97E-04	6.10E-04	5.04E-04	5.83E-04	4.67E-04	7.34E-04	6.20E-04
1:Del:T:3	8.46E-04	4.57E-04	8.10E-04	3.02E-04	5.39E-04	5.08E-04	6.20E-04	4.86E-04	3.82E-04	4.21E-04	4.24E-04	4.32E-04	3.79E-04	5.11E-04	5.39E-04
1:Del:T:4	7.52E-04	5.58E-04	7.47E-04	2.67E-04	6.31E-04	4.86E-04	7.72E-04	3.76E-04	4.12E-04	4.47E-04	3.61E-04	5.43E-04	3.91E-04	6.50E-04	4.46E-04
1:Del:T:5	3.67E-03	4.19E-03	5.42E-03	1.65E-03	4.77E-03	3.59E-03	3.04E-03	2.89E-03	1.56E-03	2.23E-03	2.22E-03	4.18E-03	1.40E-03	4.43E-03	2.42E-03
1:Ins:C:0	4.96E-04	3.03E-04	5.58E-04	1.42E-04	3.74E-04	3.12E-04	5.93E-04	4.70E-04	1.92E-04	2.69E-04	2.63E-04	3.08E-04	2.34E-04	3.90E-04	3.95E-04
1:Ins:C:1	2.76E-04	1.84E-04	2.06E-04	1.16E-04	1.99E-04	1.88E-04	2.33E-04	1.63E-04	1.08E-04	1.32E-04	1.38E-04	1.84E-04	1.46E-04	1.88E-04	1.85E-04
1:Ins:C:2	2.11E-04	1.93E-04	2.15E-04	9.35E-05	2.21E-04	1.91E-04	2.75E-04	1.21E-04	1.40E-04	1.43E-04	1.67E-04	1.59E-04	1.45E-04	1.52E-04	1.90E-04
1:Ins:C:3	1.34E-04	1.57E-04	1.72E-04	1.17E-04	1.41E-04	1.33E-04	2.55E-04	1.17E-04	1.10E-04	8.30E-05	9.04E-05	1.60E-04	1.51E-04	1.75E-04	1.41E-04
1:Ins:C:4	2.05E-04	1.42E-04	2.16E-04	8.73E-05	2.09E-04	1.12E-04	2.19E-04	1.62E-04	8.88E-05	1.07E-04	1.10E-04	1.53E-04	1.15E-04	1.73E-04	1.24E-04
1:Ins:C:5	7.57E-04	6.40E-04	1.08E-03	6.04E-04	8.36E-04	6.83E-04	9.69E-04	7.06E-04	5.32E-04	5.14E-04	5.55E-04	7.40E-04	6.45E-04	8.39E-04	6.78E-04
1:Ins:T:0	5.69E-04	4.16E-04	5.99E-04	2.74E-04	4.90E-04	4.78E-04	7.05E-04	3.30E-04	3.67E-04	3.91E-04	3.68E-04	4.41E-04	3.75E-04	4.90E-04	4.78E-04
1:Ins:T:1	9.63E-04	5.80E-04	7.26E-04	3.90E-04	6.38E-04	6.06E-04	7.25E-04	5.67E-04	4.37E-04	3.99E-04	5.18E-04	6.41E-04	5.24E-04	7.55E-04	5.76E-04
1:Ins:T:2	4.47E-04	3.80E-04	4.26E-04	2.16E-04	3.98E-04	3.54E-04	5.53E-04	3.87E-04	2.27E-04	2.65E-04	2.93E-04	3.18E-04	2.62E-04	3.95E-04	3.61E-04
1:Ins:T:3	4.77E-04	3.66E-04	4.77E-04	2.08E-04	4.53E-04	3.64E-04	6.64E-04	2.77E-04	3.02E-04	2.49E-04	2.42E-04	4.13E-04	2.68E-04	5.01E-04	3.73E-04
1:Ins:T:4	4.57E-04	3.03E-04	4.53E-04	1.97E-04	3.58E-04	3.65E-04	4.82E-04	3.10E-04	2.66E-04	2.28E-04	2.24E-04	2.78E-04	2.66E-04	3.92E-04	3.10E-04
1:Ins:T:5	3.37E-03	5.32E-03	3.90E-03	4.78E-03	3.40E-03	5.79E-03	4.20E-03	5.68E-03	5.32E-03	5.77E-03	5.31E-03	4.76E-03	5.80E-03	2.91E-03	6.20E-03
2:Del:R:0	2.91E-03	3.95E-03	3.41E-03	1.58E-03	4.82E-03	3.39E-03	6.06E-03	2.50E-03	1.54E-03	2.48E-03	1.53E-03	4.52E-03	1.90E-03	5.42E-03	3.12E-03
2:Del:R:1	1.68E-04	1.17E-04	1.62E-04	6.50E-05	1.46E-04	1.11E-04	1.95E-04	1.04E-04	6.71E-05	8.96E-05	7.88E-05	1.12E-04	9.72E-05	1.51E-04	1.25E-04
2:Del:R:2	1.25E-04	5.51E-05	6.61E-05	3.02E-05	4.59E-05	4.41E-05	6.93E-05	4.45E-05	2.71E-05	3.16E-05	4.54E-05	4.46E-05	4.06E-05	4.67E-05	4.68E-05
2:Del:R:3	1.69E-05	2.21E-05	1.63E-05	7.33E-06	2.90E-05	2.28E-05	3.76E-05	8.91E-06	9.74E-06	1.55E-05	1.07E-05	1.93E-05	1.71E-05	3.24E-05	1.95E-05
2:Del:R:4	1.27E-05	1.07E-05	1.37E-05	4.32E-06	9.46E-06	7.31E-06	1.50E-05	5.94E-06	3.42E-06	9.79E-06	4.11E-06	8.78E-06	6.92E-06	1.25E-05	1.10E-05
2:Del:R:5	5.74E-05	1.72E-04	1.75E-04	7.71E-05	1.43E-04	1.05E-04	1.82E-04	7.38E-05	5.91E-05	9.46E-05	5.62E-05	1.10E-04	7.76E-05	1.55E-04	8.02E-05
3:Del:R:0	5.26E-04	5.35E-04	7.60E-04	4.01E-04	5.99E-04	5.29E-04	8.14E-04	4.57E-04	2.82E-04	4.01E-04	3.48E-04	5.40E-04	3.79E-04	6.11E-04	5.00E-04
3:Del:R:1	9.21E-05	1.20E-04	1.93E-04	7.24E-05	1.34E-04	1.12E-04	1.61E-04	1.14E-04	8.23E-05	9.44E-05	9.06E-05	9.60E-05	7.82E-05	1.32E-04	1.08E-04
3:Del:R:2	4.69E-05	3.29E-05	5.24E-05	2.02E-05	3.32E-05	3.53E-05	4.48E-05	2.65E-05	1.77E-05	2.22E-05	1.99E-05	3.31E-05	2.65E-05	4.08E-05	3.07E-05
3:Del:R:3	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
3:Del:R:4	9.18E-06	9.99E-06	1.74E-05	6.52E-06	1.08E-05	8.42E-06	1.76E-05	1.25E-05	6.09E-06	6.53E-06	1.07E-05	1.09E-05	9.22E-06	1.47E-05	8.82E-06
3:Del:R:5	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
4:Del:R:0	4.14E-04	4.18E-04	4.57E-04	2.48E-04	5.07E-04	4.09E-04	6.60E-04	3.11E-04	2.60E-04	3.78E-04	2.95E-04	4.29E-04	3.43E-04	5.39E-04	4.25E-04
4:Del:R:1	4.66E-05	4.06E-05	5.99E-05	2.49E-05	5.55E-05	4.21E-05	5.66E-05	2.14E-05	2.16E-05	1.94E-05	2.77E-05	3.32E-05	3.29E-05	5.54E-05	2.60E-05
4:Del:R:2	9.77E-06	1.58E-05	2.54E-05	6.62E-06	1.78E-05	1.56E-05	2.41E-05	1.31E-05	1.09E-05	1.45E-05	1.41E-05	2.12E-05	1.13E-05	2.52E-05	1.36E-05
4:Del:R:3	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
4:Del:R:4	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
4:Del:R:5	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
5:Del:R:0	1.14E-03	9.60E-04	1.16E-03	4.71E-04	1.09E-03	7.03E-04	1.12E-03	6.28E-04	4.73E-04	5.33E-04	6.73E-04	9.40E-04	6.32E-04	8.90E-04	8.68E-04
5:Del:R:1	3.13E-05	8.81E-06	8.95E-06	5.41E-06	9.19E-06	7.88E-06	1.40E-05	7.03E-06	3.40E-06	5.66E-06	3.68E-06	8.14E-06	1.54E-05	9.02E-06	1.07E-05
5:Del:R:2	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
5:Del:R:3	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
5:Del:R:4	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
5:Del:R:5	2.69E-09	2.54E-09	3.68E-09	1.17E-09	3.47E-09	2.21E-09	3.55E-09	2.12E-09	1.20E-09	1.78E-09	1.72E-09	2.86E-09	1.59E-09	3.56E-09	2.16E-09
2:Ins:R:0	4.76E-04	3.91E-04	5.84E-04	1.95E-04	4.94E-04	4.07E-04	5.92E-04	3.02E-04	2.90E-04	3.37E-04	2.49E-04	5.79E-04	2.44E-04	4.87E-04	3.21E-04
2:Ins:R:1	2.77E-04	2.15E-04	3.30E-04	9.96E-05	2.73E-04	1.97E-04	3.37E-04	1.77E-04	1.14E-04	1.46E-04	1.62E-04	2.23E-04	1.80E-04	2.83E-04	2.12E-04
2:Ins:R:2	1.89E-04	1.67E-04	1.53E-04	1.20E-04	1.83E-04	1.86E-04	2.80E-04	1.26E-04	1.13E-04	1.15E-04	9.69E-05	1.92E-04	1.50E-04	2.10E-04	2.00E-04
2:Ins:R:3	1.06E-04	5.43E-05	8.42E-05	3.47E-05	5.93E-05	6.00E-05	9.20E-05	4.80E-05	2.99E-05	4.24E-05	5.58E-05	6.12E-05	5.48E-05	6.65E-05	6.86E-05
