Samples	ID83A
PGENE_1T	811
PGENE_2T	1005
PGENE_4T	1075
PGENE_5T	923
PGENE_6T	775
PGENE_8T	644
PGENE_9T	956
PGENE_10T	1095
AC_WGS_1T	1451
AC_WGS_2T	1549
AC_WGS_4	1314
AC_WGS_5	1520
AC_WGS_6	1765
AC_WGS_9T	1785
AC_WGS_10	1203
AC_WGS_44	1301
AC_WGS_12	1070
AC_WGS_13T	1273
AC_WGS_15	1511
AC_WGS_17	1260
AC_WGS_18T	1378
AC_WGS_20T	1146
AC_WGS_22	1036
AC_WGS_23	1559
AC_WGS_24	584
AC_WGS_25	1288
AC_WGS_26	1179
AC_WGS_27	1253
AC_WGS_30	1358
AC_WGS_31	1566
AC_WGS_32	1606
AC_WGS_33	1522
AC_WGS_34	1668
AC_WGS_35	1362
AC_WGS_36	1860
AC_WGS_39	1833
AC_WGS_40	1108
AC_WGS_41	1550
AC_WGS_42	1038
AC_WGS_43	1426
AC_WGS_45	1235
AC_WGS_46	1269
AC_WGS_49	1064
AC_WGS_50	1136
AC_WGS_51	1210
AC_WGS_52	1077
AC_WGS_53	985
AC_WGS_11	1317
AC_WGS_37	1109
RC596TH1	598
RC597TH1	611
RC598TH1	303
RC599TH1	434
RC602TH1	559
RC603TH1	1119
