MutationType	ID83A
1:Del:C:0	5.56E-17
1:Del:C:1	1.27E-05
1:Del:C:2	6.25E-06
1:Del:C:3	4.39E-06
1:Del:C:4	3.34E-06
1:Del:C:5	4.75E-06
1:Del:T:0	5.56E-17
1:Del:T:1	9.80E-06
1:Del:T:2	7.60E-06
1:Del:T:3	6.77E-06
1:Del:T:4	6.02E-06
1:Del:T:5	4.59E-05
1:Ins:C:0	5.13E-06
1:Ins:C:1	3.72E-06
1:Ins:C:2	3.15E-06
1:Ins:C:3	2.55E-06
1:Ins:C:4	3.04E-06
1:Ins:C:5	7.47E-06
1:Ins:T:0	7.89E-06
1:Ins:T:1	7.46E-06
1:Ins:T:2	5.93E-06
1:Ins:T:3	5.36E-06
1:Ins:T:4	5.17E-06
1:Ins:T:5	6.00E-05
2:Del:R:0	4.28E-05
2:Del:R:1	2.44E-06
2:Del:R:2	1.71E-06
2:Del:R:3	1.11E-06
2:Del:R:4	5.01E-07
2:Del:R:5	2.71E-06
3:Del:R:0	9.51E-06
3:Del:R:1	2.69E-06
3:Del:R:2	1.10E-06
3:Del:R:3	5.56E-17
3:Del:R:4	5.15E-07
3:Del:R:5	5.56E-17
4:Del:R:0	5.67E-06
4:Del:R:1	1.17E-06
4:Del:R:2	7.01E-07
4:Del:R:3	5.56E-17
4:Del:R:4	5.56E-17
4:Del:R:5	5.56E-17
5:Del:R:0	8.26E-06
5:Del:R:1	4.99E-07
5:Del:R:2	5.56E-17
5:Del:R:3	5.56E-17
5:Del:R:4	5.56E-17
5:Del:R:5	5.56E-17
2:Ins:R:0	6.94E-06
2:Ins:R:1	3.67E-06
2:Ins:R:2	2.98E-06
2:Ins:R:3	1.77E-06
2:Ins:R:4	2.71E-06
2:Ins:R:5	1.74E-05
3:Ins:R:0	3.00E-06
3:Ins:R:1	3.27E-06
3:Ins:R:2	1.23E-06
3:Ins:R:3	5.56E-17
3:Ins:R:4	4.68E-07
3:Ins:R:5	1.77E-06
4:Ins:R:0	2.50E-06
4:Ins:R:1	3.64E-06
4:Ins:R:2	8.49E-07
4:Ins:R:3	5.56E-17
4:Ins:R:4	8.49E-07
4:Ins:R:5	1.40E-06
5:Ins:R:0	3.57E-06
5:Ins:R:1	4.67E-06
5:Ins:R:2	6.96E-07
5:Ins:R:3	4.74E-07
5:Ins:R:4	6.68E-07
5:Ins:R:5	4.81E-07
2:Del:M:1	5.66E-06
3:Del:M:1	1.28E-05
3:Del:M:2	4.95E-06
4:Del:M:1	4.53E-06
4:Del:M:2	5.11E-06
4:Del:M:3	1.79E-06
5:Del:M:1	6.47E-06
5:Del:M:2	4.05E-06
5:Del:M:3	2.53E-06
5:Del:M:4	1.22E-06
5:Del:M:5	1.16E-06
