Samples	ID83A	ID83B
PGENE_1T	811	0
PGENE_2T	1005	0
PGENE_4T	1061	14
PGENE_5T	681	242
PGENE_6T	698	77
PGENE_8T	513	131
PGENE_9T	905	51
PGENE_10T	1095	0
AC_WGS_1T	1379	72
AC_WGS_2T	1176	373
AC_WGS_4	1228	86
AC_WGS_5	1334	186
AC_WGS_6	1702	63
AC_WGS_9T	1785	0
AC_WGS_10	938	265
AC_WGS_44	1301	0
AC_WGS_12	1034	36
AC_WGS_13T	1101	172
AC_WGS_15	1511	0
AC_WGS_17	1204	56
AC_WGS_18T	1364	14
AC_WGS_20T	1088	58
AC_WGS_22	847	189
AC_WGS_23	1302	257
AC_WGS_24	513	71
AC_WGS_25	1288	0
AC_WGS_26	1140	39
AC_WGS_27	1128	125
AC_WGS_30	1224	134
AC_WGS_31	1566	0
AC_WGS_32	1606	0
AC_WGS_33	1117	405
AC_WGS_34	1668	0
AC_WGS_35	1362	0
AC_WGS_36	1747	113
AC_WGS_39	1833	0
AC_WGS_40	1000	108
AC_WGS_41	1436	114
AC_WGS_42	971	67
AC_WGS_43	1417	9
AC_WGS_45	1235	0
AC_WGS_46	1243	26
AC_WGS_49	936	128
AC_WGS_50	774	362
AC_WGS_51	1123	87
AC_WGS_52	869	208
AC_WGS_53	877	108
AC_WGS_11	1144	173
AC_WGS_37	1066	43
RC596TH1	341	257
RC597TH1	354	257
RC598TH1	175	128
RC599TH1	177	257
RC602TH1	311	248
RC603TH1	542	577
