Samples	ID83A	ID83B
PGENE_1T	3.35E-01	3.35E-01
PGENE_2T	7.41E-03	7.41E-03
PGENE_4T	4.34E-01	4.33E-01
PGENE_5T	5.40E-01	5.40E-01
PGENE_6T	2.42E-01	2.42E-01
PGENE_8T	3.37E-01	3.37E-01
PGENE_9T	2.54E-01	2.54E-01
PGENE_10T	2.31E-01	2.31E-01
AC_WGS_1T	4.48E-01	4.48E-01
AC_WGS_2T	7.86E-01	7.86E-01
AC_WGS_4	3.49E-01	3.49E-01
AC_WGS_5	7.44E-01	7.44E-01
AC_WGS_6	5.58E-01	5.58E-01
AC_WGS_9T	4.52E-01	4.51E-01
AC_WGS_10	5.30E-01	5.30E-01
AC_WGS_44	0.00E+00	0.00E+00
AC_WGS_12	3.16E-01	3.16E-01
AC_WGS_13T	5.67E-01	5.67E-01
AC_WGS_15	2.68E-01	2.68E-01
AC_WGS_17	3.17E-01	3.17E-01
AC_WGS_18T	9.14E-02	9.16E-02
AC_WGS_20T	5.84E-02	5.84E-02
AC_WGS_22	4.99E-01	4.99E-01
AC_WGS_23	7.09E-01	7.09E-01
AC_WGS_24	1.63E-01	1.63E-01
AC_WGS_25	2.73E-01	2.73E-01
AC_WGS_26	2.30E-01	2.30E-01
AC_WGS_27	3.70E-01	3.69E-01
AC_WGS_30	5.75E-01	5.75E-01
AC_WGS_31	1.58E-01	1.58E-01
AC_WGS_32	4.80E-01	4.80E-01
AC_WGS_33	7.84E-01	7.84E-01
AC_WGS_34	4.57E-01	4.57E-01
AC_WGS_35	1.84E-01	1.84E-01
AC_WGS_36	5.38E-01	5.37E-01
AC_WGS_39	5.30E-01	5.30E-01
AC_WGS_40	1.60E-01	1.60E-01
AC_WGS_41	6.57E-01	6.57E-01
AC_WGS_42	1.29E-01	1.29E-01
AC_WGS_43	1.79E-01	1.79E-01
AC_WGS_45	2.27E-02	2.27E-02
AC_WGS_46	6.35E-02	6.36E-02
AC_WGS_49	4.26E-01	4.26E-01
AC_WGS_50	7.09E-01	7.09E-01
AC_WGS_51	3.81E-01	3.81E-01
AC_WGS_52	4.83E-01	4.83E-01
AC_WGS_53	2.10E-01	2.10E-01
AC_WGS_11	4.51E-01	4.51E-01
AC_WGS_37	2.39E-01	2.39E-01
RC596TH1	4.74E-01	4.74E-01
RC597TH1	2.19E-01	2.19E-01
RC598TH1	2.73E-01	2.73E-01
RC599TH1	5.93E-01	5.93E-01
RC602TH1	3.35E-01	3.35E-01
RC603TH1	9.21E-01	9.21E-01
