Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	162.661	15.803	57.225	10.514	0.054
2	162.669	15.662	58.31	10.522	0.052
3	161.158	15.358	55.497	9.907	0.052
4	169.759	16.255	61.304	11.042	0.053
5	159.53	15.685	56.278	10.523	0.056
6	159.23	15.353	56.434	10.169	0.052
7	160.872	15.44	55.969	10.185	0.052
8	162.559	15.762	57.145	10.484	0.054
9	156.225	15.376	54.216	10.205	0.054
10	168.499	16.098	61.29	10.891	0.053
11	151.59	14.797	52.914	9.63	0.051
12	159.487	15.472	55.399	10.308	0.052
13	157.13	15.202	54.622	10.018	0.054
14	158.3	15.364	55.959	10.239	0.052
15	148.492	14.408	51.202	9.429	0.051
16	163.432	15.774	57.813	10.42	0.053
17	162.869	15.719	56.488	10.356	0.055
18	159.047	15.357	57.068	10.335	0.052
19	159.981	15.497	55.186	10.194	0.053
20	160.969	15.374	55.912	10.044	0.052
21	164.19	15.844	57.609	10.562	0.052
22	154.959	14.925	53.705	9.743	0.051
23	159.683	15.552	55.715	10.331	0.054
24	163.666	15.728	57.763	10.427	0.053
25	162.269	15.826	57.459	10.476	0.053
26	157.375	15.202	55.803	10.217	0.052
27	159.377	15.487	55.592	10.333	0.052
28	158.607	15.397	56.525	10.4	0.053
29	156.821	15.124	53.91	9.763	0.051
30	160.214	15.529	56.084	10.279	0.055
31	157.792	15.274	54.23	10.056	0.055
32	162.311	15.883	57.491	10.722	0.054
33	159.824	15.649	56.107	10.268	0.053
34	152.558	14.984	52.484	9.91	0.052
35	162.422	15.74	57.947	10.631	0.053
36	156.484	15.214	56.031	10.254	0.051
37	162.977	15.751	58.551	10.705	0.053
38	160.816	15.621	57.177	10.39	0.052
39	160.466	15.771	56.028	10.553	0.056
40	158.813	15.311	53.808	9.886	0.052
41	163.74	15.841	58.321	10.717	0.054
42	156.861	15.239	55.705	10.221	0.05
43	158.921	15.423	55.167	10.145	0.052
44	162.7	15.629	57.799	10.362	0.052
45	161.62	15.608	56.233	10.338	0.054
46	160.713	15.661	56.391	10.399	0.054
47	157.696	15.291	55.328	9.981	0.052
48	151.66	14.883	51.755	9.723	0.052
49	155.607	15.15	54.307	10.111	0.051
50	158.525	15.4	55.953	10.128	0.052
51	163.302	15.874	58.797	10.832	0.054
52	156.474	15.443	55.547	10.419	0.053
53	160.677	15.727	57.175	10.657	0.053
54	161.297	15.781	56.443	10.561	0.054
55	156.687	15.082	56.365	10.168	0.051
56	157.713	15.337	55.881	10.363	0.051
57	159.107	15.417	56.034	10.174	0.053
58	159.177	15.233	55.965	9.988	0.053
59	154.728	15.062	53.04	9.761	0.052
60	158.571	15.383	55.403	10.104	0.053
61	153.146	14.898	52.427	9.726	0.051
62	159.43	15.461	56.428	10.45	0.053
63	159.498	15.349	56.821	10.38	0.051
64	153.785	14.918	52.291	9.737	0.052
65	153.117	14.827	54.146	9.938	0.049
66	169.019	16.378	61.538	11.107	0.054
67	155.702	14.92	53.356	9.583	0.052
68	157.835	15.231	54.379	9.814	0.054
69	162.497	15.444	58.348	10.304	0.05
70	166.96	16.111	60.043	10.973	0.053
71	161.899	15.621	57.359	10.341	0.052
72	155.519	15.21	53.997	9.891	0.053
73	157.856	15.456	53.568	10.046	0.054
74	160.934	15.777	56.379	10.482	0.054
75	162.074	15.701	58.563	10.609	0.053
76	160.471	15.473	56.18	10.176	0.052
77	155.56	15.259	53.444	10.039	0.054
78	160.454	15.373	57.421	10.313	0.051
79	160.636	15.444	56.293	10.165	0.051
80	160.653	15.656	57.572	10.526	0.053
81	161.705	15.706	56.943	10.506	0.054
82	158.059	15.432	55.435	10.254	0.053
83	163.473	15.838	58.285	10.731	0.054
84	156.841	15.176	54.54	10.019	0.052
85	159.966	15.317	56.97	10.235	0.051
86	163.739	15.607	58.306	10.395	0.052
87	160.574	15.407	55.661	9.903	0.053
88	162.861	15.736	57.072	10.404	0.053
89	160.511	15.773	57.995	10.694	0.053
90	165.883	15.793	59.678	10.608	0.053
91	160.713	15.378	55.79	9.967	0.054
92	164.103	15.805	59.463	10.769	0.052
93	161.237	15.454	56.815	10.277	0.053
94	157.985	15.443	56.115	10.298	0.053
95	161.931	15.584	56.338	10.273	0.053
96	155.134	15.025	53.282	9.79	0.053
97	154.713	15.051	53.335	10.029	0.053
98	160.25	15.435	56.589	10.049	0.051
99	157.914	15.124	55.431	9.983	0.051
100	167.109	16.122	60.746	10.838	0.053
101	164.915	16.004	58.25	10.784	0.055
102	158.721	15.506	56.293	10.59	0.052
103	157.63	15.202	57.293	10.462	0.05
104	160.789	15.581	55.907	10.227	0.053
105	155.122	14.937	53.597	9.782	0.05
106	161.503	15.533	57.784	10.43	0.052
107	155.924	15.128	54.795	10.062	0.051
108	158.213	15.324	55.783	10.266	0.053
109	154.737	14.972	54.245	9.918	0.05
110	159.897	15.491	56.157	10.262	0.053
111	156.774	15.552	55.55	10.558	0.054
112	155.559	15.143	54.343	9.979	0.053
113	159.99	15.657	55.741	10.311	0.055
114	157.607	15.342	54.478	9.983	0.052
115	160.687	15.491	57.067	10.325	0.051
116	156.401	15.074	53.29	9.724	0.052
117	161.799	15.742	57.829	10.523	0.054
118	159.82	15.482	54.957	10.128	0.053
119	159.134	15.439	56.462	10.43	0.052
120	159.769	15.537	55.785	10.335	0.053
121	156.776	15.096	54.336	9.919	0.053
122	153.149	14.756	53.228	9.697	0.05
123	159.591	15.352	56.668	10.18	0.052
124	160.677	15.595	58.735	10.639	0.052
125	166.033	16.102	59.102	10.896	0.056
126	157.841	15.349	54.41	9.993	0.053
127	153.87	14.865	53.365	9.758	0.051
128	155.283	15.07	53.941	9.95	0.052
129	156.116	15.123	54.682	10.008	0.052
130	164.447	15.902	58.774	10.69	0.053
131	155.692	15.051	54.666	10.063	0.051
132	151.518	14.659	52.139	9.646	0.051
133	157.88	15.534	55.459	10.452	0.053
134	158.478	15.455	54.887	10.085	0.054
135	159.477	15.305	55.194	9.921	0.052
136	159.872	15.411	56.616	10.257	0.052
137	159.667	15.444	55.472	10.18	0.052
138	161.834	15.772	57.365	10.651	0.054
139	162.189	15.528	58.456	10.428	0.052
140	159.901	15.458	56.606	10.218	0.052
141	155.041	15.09	53.847	10.01	0.051
142	160.421	15.597	57.688	10.466	0.052
143	162.183	15.637	57.774	10.486	0.052
144	163.046	15.695	57.984	10.481	0.052
145	159.233	15.568	56.245	10.454	0.052
146	157.244	15.293	54.81	10.125	0.053
147	156.284	15.216	53.73	10.026	0.052
148	156.448	15.239	54.702	10.099	0.052
149	158.56	15.478	55.582	10.262	0.053
150	162.74	15.879	56.141	10.506	0.055
151	160.654	15.398	56.132	10.195	0.052
152	161.588	15.853	56.953	10.618	0.054
153	157.942	15.457	55.147	10.317	0.052
154	163.619	15.866	57.899	10.574	0.054
155	166.872	16.037	60.898	10.957	0.052
156	160.179	15.597	57.234	10.434	0.052
157	158.858	15.488	55.917	10.432	0.053
158	160.069	15.553	55.552	10.261	0.053
159	156.191	15.188	56.134	10.251	0.05
160	156.284	15.311	54.829	10.3	0.053
161	164.072	15.795	59.572	10.64	0.051
162	150.942	14.833	51.37	9.7	0.052
163	165.469	15.973	59.092	10.761	0.053
164	159.719	15.405	56.043	10.108	0.053
