MutationType	ID83A	ID83B
1:Del:C:0	8.257649027674975e-08	9.583908648179673e-08
1:Del:C:1	0.0002139982540232594	0.11756536713303616
1:Del:C:2	2.069517136059317e-05	0.027781706836216113
1:Del:C:3	3.302608305109616e-07	0.01368327030365118
1:Del:C:4	1.9435732479212103e-08	0.008016718099573846
1:Del:C:5	0.0011515750959810523	0.004759777920333708
1:Del:T:0	8.257649027674975e-08	9.583908648179673e-08
1:Del:T:1	0.00040210843617049857	0.06396407658140023
1:Del:T:2	0.00019433772684942678	0.0391949011524783
1:Del:T:3	2.0527211022079986e-05	0.03412841271585249
1:Del:T:4	0.00018129644821632818	0.026920914453086787
1:Del:T:5	0.18293868649654785	0.1169246473533888
1:Ins:C:0	0.0006084802796593168	0.012849086082946513
1:Ins:C:1	0.00010556206657327355	0.008837812920615957
1:Ins:C:2	4.2473530147618986e-05	0.00662304033398079
1:Ins:C:3	2.858435174828684e-05	0.004696008569061263
1:Ins:C:4	2.9219396339233134e-06	0.006283846898294562
1:Ins:C:5	0.0006234322225787388	0.0341196666325141
1:Ins:T:0	0.002859690598476913	0.018615350837994503
1:Ins:T:1	0.0005127837663780491	0.0349986312522496
1:Ins:T:2	0.0008754415709529524	0.016682211254971945
1:Ins:T:3	0.0005939168383535002	0.014846478731610392
1:Ins:T:4	0.0004588247954499369	0.01537034516168171
1:Ins:T:5	0.6116075369686002	0.0004128674919236102
2:Del:R:0	0.15377296645018693	0.05924760176185047
2:Del:R:1	4.515378406359145e-06	0.004148393030694443
2:Del:R:2	2.8236209235767995e-06	0.001966519675396956
2:Del:R:3	7.866635042338864e-05	6.206373658358887e-05
2:Del:R:4	4.382525249346954e-08	0.00017452463298616233
2:Del:R:5	0.0005336594308288612	0.00022575430331546142
3:Del:R:0	0.005057327242142165	0.012317326249858694
3:Del:R:1	0.0003843435626221563	0.0018069717613569307
3:Del:R:2	1.2931941254628546e-05	0.0007209882425412553
3:Del:R:3	8.257649027674975e-08	9.583908648179673e-08
3:Del:R:4	4.023501089357283e-08	0.00016739471988564398
3:Del:R:5	8.257649027674975e-08	9.583908648179673e-08
4:Del:R:0	0.0007435165557485882	0.01403363636558112
4:Del:R:1	1.0683355442167741e-06	0.000990091116329634
4:Del:R:2	3.1574249984967174e-05	2.0935187407647007e-05
4:Del:R:3	8.257649027674975e-08	9.583908648179673e-08
4:Del:R:4	8.257649027674975e-08	9.583908648179673e-08
4:Del:R:5	8.257649027674975e-08	9.583908648179673e-08
5:Del:R:0	0.00019929345225713568	0.05054456750024143
5:Del:R:1	3.723179235057187e-08	0.0001662818684240594
5:Del:R:2	8.257649027674975e-08	9.583908648179673e-08
5:Del:R:3	8.257649027674975e-08	9.583908648179673e-08
5:Del:R:4	8.257649027674975e-08	9.583908648179673e-08
5:Del:R:5	8.257649027674975e-08	9.583908648179673e-08
2:Ins:R:0	0.001672812526230991	0.016351592079499763
2:Ins:R:1	3.469378015856189e-06	0.009960148380216177
2:Ins:R:2	0.0003180223188567104	0.0031776908238814166
2:Ins:R:3	3.299113208948425e-05	0.0018490651448314827
2:Ins:R:4	0.0002772110103029249	0.002418583226538229
2:Ins:R:5	0.018804589609987255	0.047210190469309396
3:Ins:R:0	0.0002691269281156348	0.003694676231624763
3:Ins:R:1	3.1960907437345445e-05	0.007845752389109284
3:Ins:R:2	3.2640013248663925e-05	0.0008594288129969474
3:Ins:R:3	8.257649027674975e-08	9.583908648179673e-08
3:Ins:R:4	8.800990559017865e-07	0.00015353089326655976
3:Ins:R:5	9.375974219311051e-05	0.0012498609370575676
4:Ins:R:0	2.1450651692770237e-05	0.004645715652099659
4:Ins:R:1	1.6613356334119846e-06	0.0100220861361879
4:Ins:R:2	7.285335230592762e-07	0.0004902986332453921
4:Ins:R:3	8.257649027674975e-08	9.583908648179673e-08
4:Ins:R:4	2.596323037486324e-06	0.00046954400921725144
4:Ins:R:5	5.04985338673722e-07	0.001343024045652038
5:Ins:R:0	2.1961917941838418e-05	0.009080522146260123
5:Ins:R:1	5.606389813375585e-05	0.014977309283968019
5:Ins:R:2	4.538250883870693e-08	0.00032479235805881596
5:Ins:R:3	1.5156291938477426e-05	1.2563380034217122e-05
5:Ins:R:4	2.0166924724736587e-08	0.00034479955686662423
5:Ins:R:5	4.8238997162456686e-08	0.00018255149649242875
2:Del:M:1	0.0004769232062920664	0.018036265972584616
3:Del:M:1	0.009486274498549576	0.007414830654099846
3:Del:M:2	0.0015237605985247006	0.00288308557794254
4:Del:M:1	0.000693071683140007	0.008468021870283242
4:Del:M:2	0.0017373496386833894	0.0027748490329796115
4:Del:M:3	5.349907070879124e-05	0.0018329065698766533
5:Del:M:1	1.380136680363862e-07	0.03101666167071666
5:Del:M:2	4.036412242989876e-06	0.011498673096541056
5:Del:M:3	9.407232841072952e-05	0.0035932786243404796
5:Del:M:4	5.079976364480766e-06	0.0009534566525346994
5:Del:M:5	9.883601721533452e-07	0.000994809414246207
