MutationType	ID83A	ID83B
1:Del:C:0	2.15E-11	2.04E-10
1:Del:C:1	8.04E-06	2.10E-04
1:Del:C:2	1.48E-06	7.73E-05
1:Del:C:3	1.45E-07	4.97E-05
1:Del:C:4	2.39E-10	3.83E-05
1:Del:C:5	6.49E-06	5.48E-05
1:Del:T:0	2.15E-11	2.04E-10
1:Del:T:1	5.79E-06	1.44E-04
1:Del:T:2	4.64E-06	1.01E-04
1:Del:T:3	1.97E-06	8.80E-05
1:Del:T:4	4.24E-06	8.18E-05
1:Del:T:5	7.24E-05	5.90E-04
1:Ins:C:0	5.47E-06	6.34E-05
1:Ins:C:1	3.43E-06	5.14E-05
1:Ins:C:2	1.63E-06	3.68E-05
1:Ins:C:3	1.79E-06	3.47E-05
1:Ins:C:4	5.16E-07	3.41E-05
1:Ins:C:5	7.42E-06	1.05E-04
1:Ins:T:0	1.12E-05	1.02E-04
1:Ins:T:1	6.63E-06	1.07E-04
1:Ins:T:2	6.91E-06	7.97E-05
1:Ins:T:3	5.56E-06	6.93E-05
1:Ins:T:4	5.73E-06	7.37E-05
1:Ins:T:5	1.01E-04	3.00E-04
2:Del:R:0	6.66E-05	5.39E-04
2:Del:R:1	5.26E-07	2.80E-05
2:Del:R:2	4.23E-07	1.90E-05
2:Del:R:3	1.31E-06	5.19E-06
2:Del:R:4	9.37E-10	5.61E-06
2:Del:R:5	3.42E-06	1.40E-05
3:Del:R:0	1.35E-05	1.05E-04
3:Del:R:1	4.19E-06	3.51E-05
3:Del:R:2	8.80E-07	1.46E-05
3:Del:R:3	2.15E-11	2.04E-10
3:Del:R:4	9.81E-10	5.09E-06
3:Del:R:5	2.15E-11	2.04E-10
4:Del:R:0	6.47E-06	7.11E-05
4:Del:R:1	2.32E-07	1.36E-05
4:Del:R:2	7.84E-07	3.06E-06
4:Del:R:3	2.15E-11	2.04E-10
4:Del:R:4	2.15E-11	2.04E-10
4:Del:R:5	2.15E-11	2.04E-10
5:Del:R:0	5.17E-06	1.20E-04
5:Del:R:1	1.12E-09	5.33E-06
5:Del:R:2	2.15E-11	2.04E-10
5:Del:R:3	2.15E-11	2.04E-10
5:Del:R:4	2.15E-11	2.04E-10
5:Del:R:5	2.15E-11	2.04E-10
2:Ins:R:0	8.24E-06	8.15E-05
2:Ins:R:1	6.50E-07	4.36E-05
2:Ins:R:2	3.95E-06	4.04E-05
2:Ins:R:3	1.31E-06	2.21E-05
2:Ins:R:4	3.16E-06	3.18E-05
2:Ins:R:5	2.50E-05	1.93E-04
3:Ins:R:0	4.33E-06	4.51E-05
3:Ins:R:1	1.91E-06	4.22E-05
3:Ins:R:2	1.41E-06	1.70E-05
3:Ins:R:3	2.15E-11	2.04E-10
3:Ins:R:4	1.50E-07	5.19E-06
3:Ins:R:5	2.24E-06	2.41E-05
4:Ins:R:0	1.29E-06	3.10E-05
4:Ins:R:1	4.24E-07	4.23E-05
4:Ins:R:2	1.55E-07	9.11E-06
4:Ins:R:3	2.15E-11	2.04E-10
4:Ins:R:4	2.75E-07	9.65E-06
4:Ins:R:5	1.88E-07	1.60E-05
5:Ins:R:0	1.29E-06	4.33E-05
5:Ins:R:1	2.55E-06	5.91E-05
5:Ins:R:2	1.68E-08	7.25E-06
5:Ins:R:3	5.14E-07	1.97E-06
5:Ins:R:4	7.60E-10	7.59E-06
5:Ins:R:5	8.60E-10	5.70E-06
2:Del:M:1	4.74E-06	7.14E-05
3:Del:M:1	1.76E-05	1.24E-04
3:Del:M:2	7.83E-06	6.38E-05
4:Del:M:1	6.85E-06	7.11E-05
4:Del:M:2	6.99E-06	5.04E-05
4:Del:M:3	1.72E-06	2.31E-05
5:Del:M:1	1.05E-07	8.14E-05
5:Del:M:2	8.36E-07	4.61E-05
5:Del:M:3	2.50E-06	3.20E-05
5:Del:M:4	6.06E-07	1.50E-05
5:Del:M:5	2.63E-07	1.35E-05
