Samples	ID83A	ID83B	ID83C
PGENE_1T	715	0	96
PGENE_2T	989	16	0
PGENE_4T	923	5	147
PGENE_5T	499	256	168
PGENE_6T	605	126	44
PGENE_8T	403	132	109
PGENE_9T	800	96	60
PGENE_10T	993	42	60
AC_WGS_1T	1207	126	118
AC_WGS_2T	838	207	504
AC_WGS_4	1073	127	114
AC_WGS_5	1074	105	341
AC_WGS_6	1471	56	238
AC_WGS_9T	1599	0	186
AC_WGS_10	725	309	169
AC_WGS_44	1245	56	0
AC_WGS_12	927	127	16
AC_WGS_13T	903	192	178
AC_WGS_15	1398	93	20
AC_WGS_17	1060	112	88
AC_WGS_18T	1222	156	0
AC_WGS_20T	979	167	0
AC_WGS_22	674	202	160
AC_WGS_23	1036	227	296
AC_WGS_24	436	148	0
AC_WGS_25	1195	76	17
AC_WGS_26	986	193	0
AC_WGS_27	966	184	103
AC_WGS_30	1024	126	208
AC_WGS_31	1566	0	0
AC_WGS_32	1447	0	159
AC_WGS_33	772	246	504
AC_WGS_34	1548	2	118
AC_WGS_35	1326	0	36
AC_WGS_36	1518	157	185
AC_WGS_39	1658	0	175
AC_WGS_40	877	215	16
AC_WGS_41	1202	79	269
AC_WGS_42	854	184	0
AC_WGS_43	1285	141	0
AC_WGS_45	1170	65	0
AC_WGS_46	1128	127	14
AC_WGS_49	787	173	104
AC_WGS_50	503	317	316
AC_WGS_51	982	135	93
AC_WGS_52	685	216	176
AC_WGS_53	763	222	0
AC_WGS_11	963	246	108
AC_WGS_37	958	129	22
RC596TH1	166	392	40
RC597TH1	184	417	10
RC598TH1	88	207	8
RC599TH1	0	323	111
RC602TH1	143	416	0
RC603TH1	144	245	730
